max 3.08x + 8.51y + -8.4z
0.16x + 5.76y + 9.82z <= 349.75
-1.54x + 7.7y + -7.08z <= 133.35
8.28x + 8.82y + -9.75z <= 749.06
-0.45x + 3.87y + -9.85z <= 408.57
-3.46x + -6.06y + -5.48z <= 920.04
-1.88x + 6.8y + -1.14z <= 829.97
5.86x + 1.89y + -0.97z <= 749.37
4.99x + 8.83y + -2.57z <= 287.31
-4.23x + -1.4y + 8.77z <= 607.6
2.54x + 8.41y + -7.88z <= 123.42
-0.96x + -2.16y + -0.96z <= 516.82
-5.21x + 6.03y + -9.43z <= 570.06
-0.66x + 8.43y + 3.58z <= 490.88
-1.19x + 7.71y + 9.89z <= 416.68
8.63x + 9.84y + 1.06z <= 455.87
-4.36x + -0.89y + -1.41z <= 592.78
2.84x + -6.31y + 0.54z <= 590.19
0.01x + 8.25y + -4.76z <= 393.98
2.51x + -7.33y + -3.02z <= 416.46
-4.23x + 6.45y + 1.97z <= 103.01
5.33x + 2.81y + -9.29z <= 258.34
3.4x + 1.33y + -2.04z <= 363.84
6.09x + -2.99y + 2.5z <= 222.69
-5.29x + 0.33y + -5.29z <= 812.44
9.54x + 9.34y + -0.1z <= 677.37
6.62x + -3.55y + -1.32z <= 377.48
-6.85x + -1.01y + -7.85z <= 761.69
1.63x + 8.26y + -0.05z <= 115.51
5.6x + 4.1y + 6.83z <= 171.17
0.36x + 4.37y + 5.29z <= 897.14
5.61x + -5.27y + -2.07z <= 881.25
1.58x + -2.63y + 7.73z <= 310.02
-4.52x + 5.35y + -6.79z <= 641.3
-9.42x + 3.04y + 0.95z <= 632.64
-0.61x + -1.24y + 8.79z <= 956.97
7.06x + 3.22y + 3.67z <= 264.85
-4.03x + 2.68y + -5.46z <= 657.36
-7.93x + 8.14y + -1.77z <= 733.83
4.28x + -3.76y + 0.45z <= 850.81
-0.72x + 8.16y + 4.27z <= 991.46
-8.08x + -8.98y + -1.63z <= 204.08
-2.39x + -2.09y + 5.11z <= 539.36
-1.77x + 7.09y + 7.65z <= 954.46
-0.09x + -8.66y + 3.08z <= 810.65
-9.94x + 2.79y + 4.83z <= 818.02
1.24x + -1.45y + 5.85z <= 440.53
1.3x + -3.1y + 0.21z <= 962.84
-8.34x + 0.1y + 9.44z <= 587.0
8.89x + -8.68y + -9.12z <= 787.4
5.73x + -0.38y + 9.04z <= 289.78
-4.71x + -9.8y + -4.17z <= 660.8
2.9x + -7.58y + -7.18z <= 896.07
-6.0x + -4.83y + 4.85z <= 157.71
2.11x + 5.52y + -2.03z <= 360.0
-5.04x + -1.37y + 7.89z <= 686.94
-2.77x + 4.96y + -4.15z <= 830.52
-2.14x + 2.19y + -8.97z <= 589.82
-8.6x + -9.58y + 0.04z <= 268.12
5.34x + 0.85y + -3.16z <= 439.28
5.57x + 4.21y + 8.14z <= 394.91
-6.66x + -2.17y + -7.94z <= 516.26
-7.69x + 5.71y + 6.55z <= 969.56
6.88x + 8.74y + 5.07z <= 933.96
5.56x + 4.26y + 4.14z <= 949.65
3.75x + -9.86y + 0.25z <= 952.84
-0.07x + -3.15y + -8.09z <= 233.76
-5.64x + 1.58y + 9.6z <= 274.99
1.6x + 7.32y + -3.57z <= 458.34
9.13x + 2.16y + -3.54z <= 466.98
-0.4x + 7.59y + -8.86z <= 593.29
-2.36x + -3.48y + 9.71z <= 850.99
2.42x + 9.2y + -8.33z <= 358.41
-0.27x + 9.84y + -9.6z <= 599.52
-8.43x + -4.8y + -0.85z <= 198.56
-4.81x + 0.06y + -9.16z <= 173.56
8.27x + 9.44y + -3.44z <= 765.23
-8.31x + -6.67y + 4.08z <= 872.4
0.89x + 4.05y + -9.36z <= 280.21
0.66x + 8.87y + 8.99z <= 815.02
-1.28x + -2.84y + 0.33z <= 299.95
-2.83x + -9.58y + -4.33z <= 666.58
4.13x + 3.55y + 9.43z <= 647.48
-9.83x + -1.88y + 6.89z <= 696.64
9.29x + -5.08y + 9.02z <= 669.12
-8.23x + 3.4y + -5.18z <= 695.27
-2.5x + 3.56y + 7.26z <= 704.77
-2.07x + 0.41y + 9.13z <= 207.58
-0.87x + -4.79y + 2.16z <= 499.55
-1.0x + 5.22y + 9.38z <= 750.16
-7.84x + 2.24y + 1.81z <= 552.49
5.62x + 4.6y + -9.15z <= 325.47
-0.91x + -8.25y + 4.92z <= 208.74
-0.57x + 9.55y + 7.21z <= 432.55
8.31x + -8.35y + 1.28z <= 225.12
0.37x + -5.58y + -9.65z <= 786.4
1.89x + 1.84y + -6.53z <= 563.02
-9.83x + -5.65y + 0.06z <= 874.67
-1.66x + 5.56y + 3.77z <= 619.15
-6.73x + -0.35y + 2.7z <= 322.64
2.94x + -2.05y + 5.04z <= 340.74
-5.46x + -5.32y + 5.08z <= 517.47
-7.08x + -4.16y + -0.81z <= 499.11
4.83x + 3.83y + 5.18z <= 379.82
9.39x + -2.47y + -0.62z <= 594.37
-7.63x + -2.73y + 1.31z <= 704.01
-6.11x + 6.3y + -8.57z <= 493.89
-2.68x + -9.87y + -6.82z <= 464.31
-4.56x + 9.28y + -4.82z <= 223.59
7.4x + 7.46y + -8.08z <= 873.87
7.34x + -1.04y + -7.55z <= 443.38
4.75x + 3.51y + -3.3z <= 549.17
2.86x + -0.17y + -1.49z <= 400.89
-2.24x + 8.62y + 4.78z <= 289.32
-3.0x + 2.89y + 5.63z <= 711.02
-3.13x + 2.83y + -4.27z <= 123.77
-2.44x + -4.27y + -4.66z <= 316.79
-1.75x + -4.16y + -0.17z <= 714.4
2.29x + -0.76y + 5.86z <= 563.41
-9.49x + -8.66y + -2.08z <= 110.78
-9.11x + 7.07y + 7.96z <= 752.01
9.67x + -6.68y + -5.92z <= 691.0
2.66x + -9.97y + -1.54z <= 376.71
-4.33x + -8.85y + -5.4z <= 138.31
-9.39x + 7.67y + 5.04z <= 489.02
-5.22x + 8.99y + -1.19z <= 249.58
1.69x + -3.95y + -8.09z <= 817.66
1.69x + -2.21y + 2.37z <= 413.82
4.34x + 1.42y + -1.91z <= 614.7
5.17x + -4.94y + 6.22z <= 823.6
-3.42x + -6.95y + 6.57z <= 550.63
-3.45x + 2.85y + 7.39z <= 707.86
5.53x + -5.21y + 1.62z <= 471.77
9.74x + -4.17y + 1.16z <= 333.37
3.91x + 0.55y + -8.53z <= 460.98
-0.57x + 2.14y + 1.12z <= 551.4
-5.35x + -9.85y + 9.69z <= 469.21
-0.18x + 8.44y + 8.89z <= 749.35
-6.44x + -2.69y + -6.26z <= 737.59
-6.1x + -8.96y + -3.11z <= 207.31
-0.69x + 5.38y + -6.34z <= 224.28
-7.41x + 5.05y + 2.29z <= 559.46
-0.35x + 5.23y + 2.52z <= 823.73
-3.9x + 0.65y + -9.92z <= 982.22
-0.76x + -8.65y + -6.32z <= 384.44
-2.61x + -3.5y + 8.32z <= 472.0
5.89x + -8.63y + -8.47z <= 498.09
-2.71x + 0.01y + 7.17z <= 613.51
-0.68x + 9.94y + 6.01z <= 463.34
2.38x + -2.28y + 7.96z <= 222.64
1.34x + -7.89y + 4.91z <= 531.71
7.32x + 7.14y + 2.2z <= 516.22
5.0x + 2.0y + -2.68z <= 104.94
-0.46x + -0.69y + 8.23z <= 708.59
4.85x + 8.34y + 5.29z <= 573.77
2.88x + -9.57y + 5.98z <= 929.5
0.24x + 9.03y + -2.19z <= 171.47
-5.61x + -8.77y + -4.83z <= 564.93
-4.04x + 5.57y + 6.02z <= 398.08
-1.06x + 0.14y + -0.52z <= 417.81
8.12x + 1.94y + 6.35z <= 586.44
-3.7x + -1.75y + -1.93z <= 688.83
-6.45x + 2.46y + 5.22z <= 360.22
-4.8x + 9.23y + 6.59z <= 194.93
-1.13x + 5.19y + 0.24z <= 245.21
3.31x + 3.67y + -9.07z <= 742.31
9.36x + -1.89y + -2.49z <= 441.25
7.75x + -7.49y + -9.02z <= 690.3
-9.16x + 2.67y + 0.78z <= 409.19
4.8x + -3.06y + -3.65z <= 270.04
-2.4x + 9.81y + 1.03z <= 569.23
-8.95x + -5.77y + 1.91z <= 432.75
7.74x + -6.42y + -7.75z <= 164.09
-1.58x + -7.41y + -6.12z <= 673.34
-5.77x + 3.01y + -6.29z <= 874.16
-3.31x + -8.25y + -0.42z <= 675.82
-8.33x + -6.72y + 1.33z <= 915.39
-6.55x + 8.3y + 0.87z <= 422.63
0.1x + -7.61y + 9.65z <= 142.01
-4.79x + -0.29y + 7.82z <= 452.36
-5.18x + -8.46y + -4.12z <= 180.22
-3.38x + 1.75y + -8.58z <= 817.89
8.87x + 9.77y + -5.32z <= 196.79
8.87x + 4.26y + -2.18z <= 395.95
0.5x + 0.31y + -0.56z <= 679.96
-6.63x + -1.22y + -5.39z <= 370.21
-3.99x + -3.52y + -4.85z <= 443.19
-0.26x + 7.09y + -4.64z <= 282.03
8.82x + -6.38y + -0.2z <= 724.6
-8.12x + 5.04y + 3.45z <= 379.23
9.12x + -5.86y + 5.81z <= 481.18
-2.87x + -8.66y + -1.47z <= 684.43
5.31x + -3.93y + 2.88z <= 237.13
-8.38x + -4.33y + 7.71z <= 929.61
2.35x + 9.42y + 7.74z <= 582.35
-9.38x + -7.63y + 2.75z <= 923.96
7.54x + 0.65y + 7.24z <= 966.98
7.84x + -8.86y + -7.59z <= 859.15
-1.0x + -1.59y + -9.39z <= 521.93
1.83x + 5.93y + 7.13z <= 977.57
-1.06x + 0.28y + -2.55z <= 162.06
-2.32x + 0.53y + -2.64z <= 739.42
-6.47x + -2.79y + 3.92z <= 916.0
6.04x + 1.44y + -5.07z <= 600.32
-9.56x + -3.46y + 2.77z <= 273.84
2.34x + -0.58y + 5.28z <= 271.91
-1.03x + 4.98y + 9.17z <= 992.36
4.43x + 5.25y + -0.57z <= 613.94
5.82x + 6.21y + -5.2z <= 925.07
4.27x + -8.51y + 7.37z <= 553.78
-0.32x + 3.61y + 4.69z <= 545.46
-0.89x + 3.52y + -8.42z <= 793.31
-5.82x + -9.5y + 4.78z <= 517.88
5.55x + 7.9y + 5.98z <= 279.69
-4.23x + 1.38y + 5.61z <= 335.06
-6.94x + -3.03y + 5.74z <= 939.89
-1.98x + 5.26y + 4.15z <= 826.37
-5.04x + 8.45y + 8.95z <= 573.34
-4.11x + 3.41y + -5.0z <= 140.25
-6.02x + -1.29y + -0.69z <= 137.31
8.86x + -4.25y + 2.58z <= 942.38
-4.37x + -4.14y + 4.35z <= 681.26
-2.19x + 9.83y + -4.79z <= 218.37
-9.0x + 5.49y + 1.07z <= 830.56
2.14x + 7.92y + -0.38z <= 333.0
-1.17x + 8.71y + -7.65z <= 393.87
3.1x + -9.3y + 8.27z <= 172.64
4.75x + 0.29y + -1.83z <= 983.37
7.04x + -8.9y + 3.53z <= 956.88
9.69x + -5.06y + -3.28z <= 671.78
-1.75x + 5.77y + -8.39z <= 989.71
-7.87x + 1.48y + -4.95z <= 537.79
-1.14x + -8.18y + -6.99z <= 900.38
-5.91x + 4.2y + -2.85z <= 182.31
-2.57x + 7.49y + -2.25z <= 171.01
0.7x + -2.61y + -9.39z <= 632.52
8.04x + -8.44y + -1.32z <= 168.08
5.3x + -6.91y + -9.73z <= 104.3
9.35x + -7.52y + -3.11z <= 416.64
-3.96x + 6.93y + 3.97z <= 843.05
-9.49x + -1.96y + -7.08z <= 241.41
7.32x + 1.3y + 3.63z <= 726.79
7.86x + 3.74y + 3.65z <= 627.59
-6.62x + -9.18y + -9.72z <= 510.15
1.44x + -2.77y + -5.03z <= 753.25
-8.35x + 5.63y + 9.75z <= 273.34
-7.69x + -3.3y + 3.51z <= 461.96
-6.31x + -3.69y + 5.94z <= 255.08
4.92x + 1.78y + -5.72z <= 822.05
-5.84x + -3.41y + 0.82z <= 211.07
0.39x + -3.71y + 5.72z <= 767.98
8.82x + -1.49y + 3.54z <= 215.57
-7.57x + 9.78y + -8.19z <= 159.94
8.75x + 3.48y + -6.69z <= 297.58
-9.22x + -2.79y + 5.41z <= 295.6
3.59x + -2.71y + -0.98z <= 695.62
-4.05x + 7.37y + -6.41z <= 543.8
8.26x + 6.01y + 2.66z <= 813.83
9.6x + -8.74y + -0.47z <= 826.81
-8.26x + 7.81y + 4.21z <= 190.55
4.52x + -5.02y + -6.05z <= 575.21
7.64x + 1.67y + -5.36z <= 976.29
9.43x + -5.64y + 9.28z <= 437.33
-0.84x + 1.74y + -8.37z <= 316.64
-4.6x + -6.21y + -2.51z <= 667.77
0.65x + -0.89y + -5.83z <= 839.47
-5.77x + -4.45y + 1.47z <= 289.33
3.02x + 1.4y + 0.4z <= 616.56
-3.34x + 3.13y + -1.27z <= 877.35
2.24x + 9.61y + 9.58z <= 477.53
-2.3x + -6.22y + 6.61z <= 308.53
-0.82x + -0.18y + 4.26z <= 315.42
7.55x + 2.28y + 7.51z <= 793.03
-6.33x + -1.3y + 6.7z <= 211.33
-7.49x + -2.16y + 1.05z <= 748.72
-7.43x + 2.79y + 0.03z <= 621.61
6.39x + -7.32y + -9.36z <= 118.73
9.52x + 4.76y + -5.55z <= 179.03
0.78x + 7.17y + -0.19z <= 166.47
9.87x + 4.61y + 3.18z <= 678.52
-9.3x + -0.55y + -8.64z <= 455.09
-0.15x + -5.38y + 2.75z <= 973.2
-1.94x + 2.07y + 1.69z <= 135.62
9.68x + 6.59y + 2.71z <= 306.42
-2.81x + 8.94y + -8.3z <= 334.35
7.87x + -0.81y + 9.73z <= 273.86
-2.58x + 6.34y + -2.44z <= 666.73
2.66x + 5.47y + 1.68z <= 335.99
1.95x + 9.42y + -0.2z <= 601.49
2.76x + 9.08y + -6.65z <= 568.52
-9.71x + 6.72y + 6.0z <= 939.82
5.03x + 0.35y + 9.78z <= 826.02
-2.76x + 5.55y + 2.84z <= 718.24
3.23x + 3.27y + 7.15z <= 613.14
-2.92x + 3.07y + -9.86z <= 752.75
7.48x + -9.19y + 0.74z <= 743.29
-1.37x + 8.01y + -7.01z <= 387.77
6.29x + -4.31y + 3.03z <= 917.27
2.31x + 8.85y + -2.54z <= 996.88
-5.04x + -3.58y + -4.15z <= 103.23
9.86x + -0.28y + -1.23z <= 293.91
6.32x + 1.79y + -8.28z <= 136.95
1.57x + -3.72y + 8.83z <= 605.74
0.59x + 3.54y + -4.34z <= 196.35
-4.55x + 6.5y + -9.35z <= 311.48
-4.09x + -9.01y + 9.31z <= 514.76
-8.13x + -5.91y + -4.37z <= 214.93
4.12x + -7.5y + 6.39z <= 480.16
-0.65x + -8.21y + -3.56z <= 703.01
-7.58x + -0.79y + -1.59z <= 805.35
-4.05x + -7.57y + -7.78z <= 782.62
3.58x + -2.07y + -1.63z <= 310.43
-3.08x + 7.93y + 7.93z <= 542.57
9.92x + -7.47y + 4.73z <= 514.94
-1.38x + -3.4y + -7.79z <= 824.41
7.76x + 4.65y + -1.69z <= 569.56
9.9x + -0.75y + 7.89z <= 704.57
0.39x + 3.99y + 3.66z <= 931.58
-1.86x + 7.93y + 1.24z <= 814.0
-2.36x + 0.48y + -9.36z <= 885.13
6.38x + -3.64y + -3.95z <= 953.98
-5.09x + 9.76y + -0.63z <= 237.25
4.5x + -6.11y + -1.9z <= 176.39
1.18x + -7.3y + -7.44z <= 398.26
5.44x + -7.98y + 8.77z <= 419.28
7.32x + 3.53y + -5.2z <= 934.93
-6.92x + 1.83y + -9.47z <= 725.38
1.03x + 7.39y + 2.61z <= 284.57
-2.45x + 6.44y + 7.7z <= 812.77
2.79x + -6.32y + 5.63z <= 864.31
6.22x + 3.22y + -0.08z <= 786.81
-6.03x + -0.95y + 5.01z <= 133.25
-3.55x + -2.86y + 1.21z <= 962.42
-5.86x + -9.5y + 8.04z <= 721.19
0.62x + 3.4y + 7.81z <= 619.96
9.94x + -6.03y + -7.1z <= 668.13
-7.42x + 9.87y + 3.33z <= 718.91
-2.0x + 0.92y + -4.95z <= 418.71
-6.21x + 2.0y + 9.0z <= 291.56
-7.28x + -2.42y + -6.39z <= 101.61
7.21x + -3.69y + 8.09z <= 338.49
-3.5x + -9.65y + 3.22z <= 170.73
0.52x + 9.72y + -9.31z <= 549.16
1.51x + 0.72y + 1.83z <= 771.72
0.03x + 6.05y + 1.55z <= 637.71
-2.22x + -3.54y + -3.33z <= 398.55
0.17x + 9.85y + -2.11z <= 873.76
8.11x + 8.16y + 9.79z <= 460.46
-4.67x + -9.48y + 9.47z <= 649.88
1.35x + 1.0y + -9.05z <= 377.22
-8.63x + -7.75y + -0.37z <= 690.79
0.28x + -0.1y + 3.79z <= 236.7
4.15x + 7.58y + 0.47z <= 161.32
-2.22x + 7.7y + -3.25z <= 579.0
-4.94x + -0.68y + -2.0z <= 252.12
7.35x + 1.18y + -4.82z <= 659.07
4.62x + -7.26y + 7.24z <= 665.32
7.54x + 6.72y + -7.64z <= 464.43
-3.39x + 5.05y + 5.41z <= 509.97
-4.4x + -3.98y + -2.81z <= 813.74
5.59x + 0.84y + -4.01z <= 124.19
1.9x + -2.2y + -8.6z <= 151.95
1.8x + -4.22y + -9.11z <= 518.26
6.19x + 1.03y + -4.61z <= 400.37
-4.34x + -1.18y + -3.17z <= 424.67
6.53x + 1.02y + 6.88z <= 773.06
-9.28x + -1.68y + -2.66z <= 523.98
7.57x + 4.32y + 6.02z <= 598.59
-7.93x + 1.61y + 6.08z <= 856.37
-7.56x + 1.19y + -9.22z <= 121.54
3.3x + 2.02y + 8.23z <= 291.42
-1.17x + -7.93y + -6.18z <= 127.46
0.83x + 9.55y + -4.06z <= 155.03
-7.87x + -4.54y + -4.31z <= 935.2
-8.74x + -9.32y + -6.35z <= 976.72
-7.64x + -5.67y + 7.72z <= 847.75
-7.74x + 5.39y + 5.0z <= 301.89
-5.68x + 4.43y + 7.6z <= 220.66
2.31x + -7.38y + 6.09z <= 860.07
3.22x + -7.98y + -5.88z <= 635.28
-9.85x + 0.97y + 0.14z <= 390.97
-3.29x + 7.59y + 6.3z <= 172.45
-8.04x + -1.58y + 6.72z <= 230.64
-9.97x + -2.71y + -4.97z <= 440.71
0.59x + 4.93y + 8.97z <= 202.27
1.12x + -7.08y + -4.53z <= 591.05
6.19x + -1.63y + -2.59z <= 654.43
8.18x + 9.0y + 5.87z <= 122.65
4.75x + -7.37y + -2.77z <= 364.79
-1.22x + 5.66y + 4.37z <= 493.43
-9.18x + 8.34y + 9.1z <= 782.4
-7.37x + 3.48y + -8.59z <= 884.78
5.23x + -5.88y + -6.95z <= 607.75
5.71x + 5.61y + -5.89z <= 824.78
-2.48x + -8.22y + 2.08z <= 705.05
1.55x + -9.7y + 1.78z <= 961.64
6.78x + 9.32y + 2.63z <= 394.73
-2.09x + 2.53y + -7.63z <= 507.88
5.58x + 6.66y + -9.61z <= 427.27
-4.78x + -2.97y + -4.46z <= 710.98
-3.35x + -6.97y + -4.88z <= 503.76
-6.66x + 2.11y + -3.96z <= 691.62
-7.55x + -0.34y + -3.35z <= 360.81
-6.31x + -4.29y + -0.99z <= 678.97
-5.07x + -5.87y + -9.59z <= 606.71
-9.19x + -5.85y + 1.97z <= 616.96
0.12x + -7.0y + 9.9z <= 296.18
7.28x + -6.69y + -2.95z <= 815.84
5.22x + 6.0y + -4.37z <= 955.43
1.7x + 1.59y + 6.36z <= 414.23
7.19x + -2.39y + 5.78z <= 405.91
-5.54x + 3.86y + -1.37z <= 219.55
-1.39x + 4.1y + -1.18z <= 290.04
0.51x + -7.33y + 4.43z <= 980.56
9.26x + 6.62y + 9.1z <= 698.16
2.33x + 8.63y + 4.15z <= 473.51
4.52x + 5.85y + 8.53z <= 994.18
-7.82x + -1.37y + -3.14z <= 925.79
-5.48x + -7.23y + 5.43z <= 538.98
-2.05x + -3.37y + 9.1z <= 771.56
1.99x + 0.84y + -3.4z <= 413.68
-2.03x + -1.08y + -2.77z <= 818.05
6.31x + -2.3y + 9.21z <= 996.89
-1.39x + -3.81y + -4.7z <= 303.78
8.73x + -2.1y + 1.01z <= 512.66
9.64x + 9.5y + -7.4z <= 210.99
3.09x + 2.11y + 6.35z <= 945.38
-1.59x + 3.98y + 5.56z <= 682.7
7.17x + -8.11y + 6.43z <= 984.16
-9.35x + -8.05y + 7.61z <= 239.81
-3.48x + -4.78y + 6.56z <= 429.56
2.04x + -2.8y + 3.13z <= 282.52
-6.48x + 7.13y + -5.77z <= 988.29
-2.37x + -7.88y + -9.35z <= 811.7
3.27x + 9.77y + -9.58z <= 470.81
-9.95x + -8.61y + -0.28z <= 307.46
-8.44x + 3.53y + 5.77z <= 572.96
-9.51x + -2.45y + 2.88z <= 244.64
-6.68x + -7.65y + -3.52z <= 367.83
3.74x + -2.76y + -3.79z <= 492.87
4.97x + -7.22y + -0.04z <= 370.85
6.85x + 8.28y + 1.91z <= 128.42
-9.45x + -4.91y + -5.33z <= 989.19
-0.13x + -1.74y + 4.77z <= 986.82
-5.07x + 0.21y + -4.89z <= 582.87
-2.25x + -9.87y + -9.84z <= 835.61
-4.33x + -0.68y + -9.54z <= 650.25
-4.68x + 8.4y + 1.93z <= 550.11
-4.04x + 2.57y + -2.69z <= 541.25
7.45x + 1.43y + -7.29z <= 392.53
2.49x + -4.18y + 2.55z <= 779.73
1.44x + -2.86y + 4.07z <= 229.71
9.67x + -0.03y + -2.1z <= 951.11
-1.78x + -2.9y + 1.86z <= 479.59
5.54x + 1.58y + -1.23z <= 686.43
-7.33x + -2.23y + -1.6z <= 893.18
3.86x + -2.17y + 3.61z <= 520.02
6.4x + 7.26y + 8.72z <= 375.86
-4.47x + -0.23y + 2.31z <= 603.39
4.38x + 8.92y + 6.25z <= 838.14
-1.51x + -7.89y + 7.14z <= 413.24
1.97x + 7.17y + -6.45z <= 238.72
8.8x + -9.42y + -0.33z <= 326.09
3.95x + -1.62y + 6.28z <= 617.63
9.3x + 6.49y + -3.67z <= 677.81
-7.96x + 5.13y + 5.4z <= 756.63
0.78x + 0.34y + 5.0z <= 121.57
1.67x + -7.32y + 8.2z <= 484.08
-1.43x + -8.22y + -8.06z <= 314.29
-3.51x + -4.67y + 2.57z <= 610.47
-0.99x + -1.0y + -3.06z <= 981.15
5.93x + 5.65y + -9.06z <= 392.7
7.37x + -8.81y + -3.84z <= 477.68
2.29x + -5.0y + 5.31z <= 144.87
7.65x + -7.45y + 8.42z <= 511.5
-0.29x + -0.02y + -5.34z <= 977.47
-4.66x + 7.91y + -1.89z <= 968.94
3.84x + 3.61y + 8.2z <= 922.34
4.2x + -2.04y + -8.21z <= 396.39
1.32x + -5.1y + -7.47z <= 610.87
4.41x + 6.73y + 4.0z <= 472.73
-4.81x + 1.89y + 1.83z <= 870.05
4.87x + 3.14y + 0.41z <= 788.37
-0.08x + 8.74y + -7.09z <= 122.57
-7.28x + 0.93y + -2.47z <= 279.25
-0.35x + -6.48y + -6.21z <= 736.28
8.76x + -8.41y + -5.85z <= 263.82
-5.09x + 3.73y + 8.38z <= 907.52
-8.43x + -6.32y + 9.47z <= 279.37
-9.68x + 5.18y + -5.84z <= 794.14
-0.15x + 8.68y + 2.99z <= 347.45
-5.3x + 0.36y + -8.86z <= 706.05
-0.66x + -4.26y + -1.24z <= 782.01
6.69x + -4.6y + -4.06z <= 678.01
-4.64x + 0.92y + -4.59z <= 645.23
9.14x + 7.08y + 6.39z <= 225.35
-0.94x + -8.4y + 5.24z <= 149.64
2.26x + 1.25y + -8.34z <= 551.38
-8.95x + -7.28y + -5.56z <= 568.69
1.63x + 9.63y + 1.59z <= 756.71
8.7x + -1.02y + -3.58z <= 740.21
7.35x + -6.25y + 0.83z <= 683.57
-5.61x + 6.47y + -6.0z <= 801.54
1.23x + 2.45y + -3.37z <= 201.51
-2.98x + 2.16y + -8.04z <= 895.35
1.69x + -4.02y + 6.09z <= 902.21
-1.16x + -4.56y + 3.62z <= 357.01
0.7x + -4.91y + 5.29z <= 116.1
-7.59x + 4.38y + 2.05z <= 424.35
-0.24x + 4.63y + 6.21z <= 460.79
9.69x + -2.05y + -1.86z <= 787.26
-9.61x + -5.33y + -7.51z <= 145.2
-3.05x + -9.12y + 4.3z <= 420.73
0.2x + -8.46y + 3.0z <= 680.45
0.08x + 1.59y + 4.53z <= 488.52
3.12x + 4.32y + -8.21z <= 133.37
1.8x + 1.34y + -2.68z <= 800.25
5.03x + -7.54y + 3.15z <= 377.91
-0.28x + 9.41y + -4.45z <= 541.88
5.02x + -3.23y + 7.5z <= 655.63
5.39x + 8.96y + -3.97z <= 752.2
-8.02x + 4.49y + -0.81z <= 588.98
3.34x + -2.46y + 4.04z <= 206.17
7.37x + -6.47y + 7.61z <= 744.52
-0.55x + 6.6y + 8.95z <= 666.84
-8.45x + 6.1y + -3.66z <= 432.65
4.84x + 7.31y + 3.4z <= 806.16
-9.99x + -8.89y + 8.97z <= 358.74
5.71x + -9.88y + -3.33z <= 244.12
2.77x + 9.67y + -7.82z <= 381.41
7.8x + -0.28y + -9.61z <= 475.06
8.86x + 1.4y + -6.04z <= 847.76
0.62x + 4.49y + 3.8z <= 171.76
8.61x + 6.89y + -7.19z <= 892.76
-1.5x + -7.76y + 1.7z <= 824.16
1.48x + 6.97y + -4.32z <= 778.09
-7.75x + 7.24y + 9.35z <= 782.23
2.03x + -1.22y + 8.39z <= 175.93
2.11x + -0.14y + -1.13z <= 411.75
-5.23x + 8.34y + -6.3z <= 717.33
-7.14x + 2.04y + -4.74z <= 259.15
3.76x + -7.11y + 0.5z <= 409.53
4.67x + -9.98y + 7.18z <= 390.15
-3.1x + -7.05y + -3.79z <= 366.66
4.12x + 9.78y + -4.82z <= 317.92
7.26x + 0.83y + -1.06z <= 411.65
-3.45x + 2.1y + 2.84z <= 569.47
-2.41x + -4.86y + 3.18z <= 157.73
-5.7x + 9.73y + 0.99z <= 361.13
3.27x + 5.55y + -7.68z <= 778.73
2.84x + 2.42y + 7.16z <= 441.97
5.51x + -0.05y + 6.33z <= 374.84
8.83x + -6.04y + -7.28z <= 880.56
-1.41x + 0.07y + 4.1z <= 962.19
6.55x + 6.7y + -6.38z <= 508.28
-1.76x + 8.52y + -0.43z <= 411.32
4.31x + 5.03y + -6.99z <= 627.23
-1.8x + 0.21y + 8.4z <= 758.62
-2.07x + 4.99y + -8.05z <= 825.24
6.82x + -9.61y + -1.48z <= 695.55
-0.29x + 4.18y + 5.43z <= 424.23
-8.34x + 2.8y + -1.05z <= 561.93
-3.89x + -5.36y + 5.82z <= 273.86
1.53x + 6.39y + 2.19z <= 453.63
8.1x + 8.36y + 1.76z <= 548.92
-7.76x + 6.86y + 8.59z <= 570.12
7.2x + 3.67y + -3.92z <= 205.03
-5.67x + -1.94y + -4.47z <= 767.83
0.91x + 6.85y + 8.35z <= 191.7
2.57x + 2.9y + -3.27z <= 666.93
-9.71x + -8.96y + 0.28z <= 586.26
0.58x + 9.0y + 8.01z <= 798.92
-0.06x + 5.6y + 7.72z <= 119.02
9.78x + 9.97y + -9.83z <= 198.78
-0.28x + -8.63y + -7.7z <= 114.26
4.92x + 0.92y + 5.28z <= 588.27
3.94x + -2.12y + 0.49z <= 356.95
-7.33x + 9.28y + 4.19z <= 239.2
-6.1x + 5.57y + 9.89z <= 367.79
5.76x + 4.37y + -0.82z <= 480.52
4.12x + 3.0y + 1.09z <= 528.34
6.38x + 4.32y + -7.95z <= 880.29
-2.9x + 7.3y + -2.28z <= 917.31
-5.0x + -5.88y + 2.27z <= 739.41
6.67x + 5.48y + 0.47z <= 748.28
8.17x + 9.2y + -8.97z <= 388.84
4.21x + 4.9y + -9.97z <= 160.3
-1.49x + 9.11y + 1.78z <= 274.01
-4.78x + 2.85y + 8.28z <= 341.78
0.86x + 4.44y + 5.29z <= 778.75
8.63x + -7.66y + -1.72z <= 130.44
1.7x + 9.62y + -8.91z <= 863.85
-5.59x + 8.27y + 5.16z <= 844.58
9.07x + -2.37y + -6.64z <= 370.0
4.99x + -4.02y + -8.09z <= 409.67
