max 7.81x + -1.37y + 3.03z
-0.47x + -1.52y + 7.28z <= 623.62
-8.2x + 2.52y + -2.47z <= 627.82
0.5x + -7.47y + -4.56z <= 836.0
2.95x + -8.67y + 3.32z <= 327.29
6.3x + 2.79y + -3.95z <= 551.15
7.57x + -3.02y + -8.33z <= 545.21
5.35x + 3.64y + -5.8z <= 830.13
-2.8x + -7.51y + -4.31z <= 652.88
-7.94x + -2.1y + -6.13z <= 126.34
-6.51x + 1.0y + 1.67z <= 586.71
6.68x + -1.24y + 1.6z <= 577.51
-5.64x + -7.22y + -8.32z <= 998.96
8.2x + -9.59y + 8.47z <= 503.94
7.33x + -5.18y + 2.99z <= 664.79
-4.33x + -8.56y + 5.35z <= 738.76
-7.66x + 6.09y + 9.23z <= 955.73
-1.99x + -4.02y + -8.78z <= 135.93
-6.03x + -7.81y + -5.3z <= 836.78
7.72x + -6.83y + -4.17z <= 385.6
5.83x + 6.21y + 7.22z <= 421.02
-7.7x + -7.92y + -7.16z <= 115.74
9.32x + -6.34y + -5.99z <= 721.3
-8.77x + -4.92y + -5.5z <= 126.18
3.34x + -3.34y + 5.68z <= 317.72
-3.26x + -8.56y + 3.83z <= 407.44
2.82x + 8.72y + 6.96z <= 247.22
9.23x + -8.41y + -3.55z <= 839.83
-9.15x + 0.32y + 9.37z <= 290.28
-6.95x + -3.36y + -5.9z <= 566.7
4.75x + 0.12y + 5.31z <= 165.33
6.29x + -9.82y + 4.09z <= 375.75
-6.37x + 2.7y + -9.05z <= 815.85
-3.43x + 9.29y + 8.37z <= 676.67
6.5x + -8.62y + 1.96z <= 303.12
1.15x + 2.84y + 1.15z <= 752.13
7.67x + 2.37y + -4.3z <= 221.23
-4.82x + -9.25y + -9.44z <= 375.25
0.94x + -7.65y + 7.83z <= 634.0
6.62x + -4.59y + -7.05z <= 205.53
6.21x + -7.45y + 7.42z <= 548.98
-0.35x + 7.95y + 5.11z <= 962.96
2.2x + -0.37y + -7.78z <= 128.95
7.35x + -6.38y + 9.68z <= 992.24
-8.99x + 8.33y + -0.64z <= 728.96
8.9x + -6.98y + -8.02z <= 898.98
-8.45x + -3.21y + 0.34z <= 200.69
-4.41x + 1.26y + 5.57z <= 872.45
-5.32x + -3.77y + 9.22z <= 223.26
-7.08x + -8.75y + 0.04z <= 903.48
-5.38x + 1.17y + 9.24z <= 424.19
-0.13x + 2.03y + -5.76z <= 284.7
-0.75x + 0.78y + -6.31z <= 606.17
8.17x + 7.09y + 0.42z <= 648.4
1.3x + -3.82y + -2.95z <= 510.33
9.96x + -6.07y + 2.59z <= 875.85
2.37x + -3.49y + -9.74z <= 407.35
-8.63x + -4.15y + 7.73z <= 995.16
1.11x + 2.54y + 0.75z <= 525.37
-2.85x + 4.51y + 7.12z <= 442.44
-4.81x + -0.74y + -6.81z <= 647.48
4.42x + 8.11y + -1.3z <= 426.87
6.96x + -0.88y + -6.49z <= 199.55
8.25x + 8.06y + -4.68z <= 812.08
2.48x + -9.83y + -0.26z <= 255.93
-7.8x + 8.89y + -6.38z <= 998.82
-1.33x + -9.11y + 7.64z <= 287.23
-0.69x + -1.76y + -1.97z <= 577.71
-3.44x + 1.63y + -6.34z <= 472.0
-9.79x + 8.94y + 6.29z <= 405.82
-1.44x + 6.76y + -8.11z <= 367.46
-6.98x + -4.59y + -1.52z <= 712.35
2.52x + 2.92y + 2.58z <= 927.49
0.55x + -8.6y + 0.34z <= 940.31
-4.48x + -8.53y + 2.82z <= 912.77
8.54x + -7.03y + -2.03z <= 176.53
0.06x + 8.71y + 6.32z <= 702.85
-5.58x + -3.38y + -3.94z <= 789.53
-6.75x + 8.19y + -6.42z <= 555.18
-0.99x + 8.35y + 0.59z <= 706.64
-2.12x + 8.19y + -5.56z <= 523.32
-7.62x + -6.75y + 3.85z <= 298.75
-3.85x + 7.56y + 5.72z <= 919.89
-7.95x + -0.78y + -2.8z <= 247.61
-4.84x + 1.6y + -9.81z <= 800.62
8.68x + 9.88y + -8.77z <= 469.2
7.74x + -5.13y + -3.58z <= 854.31
-7.65x + -6.94y + -1.92z <= 898.48
8.82x + 2.54y + -9.62z <= 765.63
9.4x + 2.71y + -0.87z <= 541.79
-5.04x + 4.19y + -0.41z <= 107.6
-5.85x + -2.53y + 9.65z <= 348.25
2.24x + -1.2y + -4.16z <= 227.55
-0.04x + 2.69y + -6.44z <= 433.06
-6.0x + 1.03y + 6.05z <= 655.25
7.94x + 6.1y + -4.55z <= 752.27
-9.22x + 3.46y + 6.86z <= 124.75
5.65x + 6.37y + 5.1z <= 306.93
-3.83x + -9.72y + 5.02z <= 392.63
7.61x + 1.31y + -7.04z <= 490.95
2.76x + 9.32y + -1.09z <= 420.58
0.86x + -3.67y + -2.15z <= 708.37
-2.98x + 3.63y + -3.83z <= 823.68
-1.96x + -3.67y + 2.99z <= 272.23
-4.27x + 1.27y + -7.98z <= 384.09
-7.37x + -2.59y + 4.23z <= 660.82
9.27x + -6.23y + 5.58z <= 975.55
8.76x + -9.13y + -4.49z <= 862.32
-5.14x + 8.97y + -2.59z <= 600.62
-7.02x + -5.6y + -0.8z <= 177.13
0.07x + -5.75y + -6.57z <= 120.33
3.92x + 7.82y + 6.03z <= 322.79
1.98x + 6.49y + -6.84z <= 729.45
-0.34x + 3.4y + 1.11z <= 143.52
4.1x + 0.11y + -9.69z <= 853.7
5.37x + -8.87y + -8.77z <= 471.18
3.56x + -6.56y + -7.65z <= 235.83
-5.91x + 7.84y + -0.24z <= 225.92
-4.58x + -2.12y + -2.31z <= 952.48
3.27x + 2.33y + -3.87z <= 257.79
-6.47x + 6.08y + 0.61z <= 643.92
-8.75x + 7.25y + -0.17z <= 722.89
2.2x + -1.09y + -8.8z <= 116.93
1.93x + -8.43y + -9.81z <= 181.1
2.36x + -2.96y + 4.92z <= 503.83
7.24x + 4.61y + -4.23z <= 823.34
-2.87x + -0.87y + 9.21z <= 856.53
4.11x + 7.76y + 3.06z <= 764.04
0.56x + -8.34y + 7.41z <= 550.81
-0.73x + 2.38y + -1.52z <= 808.63
2.39x + 0.24y + 2.16z <= 284.69
8.06x + -8.7y + -5.95z <= 238.29
-6.38x + 3.03y + 9.44z <= 420.86
0.43x + 8.35y + -5.44z <= 999.85
-1.98x + -6.2y + 7.03z <= 622.34
-7.22x + 1.75y + 0.06z <= 472.34
0.54x + 2.49y + -5.15z <= 260.48
1.01x + -0.24y + -3.6z <= 928.64
2.66x + -7.65y + 5.57z <= 556.16
9.92x + -2.3y + 9.39z <= 205.26
5.77x + -7.42y + 4.48z <= 643.27
9.74x + -5.34y + 3.16z <= 137.97
-0.79x + -1.61y + 7.32z <= 164.3
9.65x + -7.25y + -4.07z <= 429.26
3.37x + -2.82y + 0.57z <= 297.06
8.83x + 8.13y + 4.79z <= 152.35
-5.24x + -1.45y + 1.34z <= 696.06
-2.56x + -0.65y + 1.27z <= 754.83
-4.42x + -3.12y + -0.94z <= 901.75
6.08x + -4.88y + 7.01z <= 905.75
3.79x + -6.38y + -4.28z <= 583.58
5.68x + 2.84y + -2.17z <= 141.89
-3.44x + -1.74y + -9.8z <= 247.95
-5.41x + 2.49y + 5.43z <= 113.44
6.83x + 3.73y + -8.65z <= 866.33
-8.69x + 7.98y + 4.75z <= 910.55
5.25x + 3.29y + 4.34z <= 329.27
9.51x + 8.08y + -1.05z <= 370.35
6.9x + 0.52y + -4.72z <= 310.52
-1.82x + -9.28y + 7.75z <= 432.31
-9.49x + -5.26y + -1.67z <= 292.59
4.77x + -2.0y + 6.34z <= 242.17
8.33x + -9.13y + 9.32z <= 574.66
4.25x + 4.02y + 5.72z <= 579.42
7.03x + -5.63y + -8.2z <= 130.81
9.44x + 4.09y + -6.53z <= 923.66
-4.07x + -5.15y + 6.32z <= 993.12
-2.02x + 8.63y + 3.09z <= 589.48
-3.07x + 8.02y + -9.36z <= 774.63
5.66x + 0.96y + -5.71z <= 928.73
3.9x + 1.25y + 7.11z <= 752.77
-8.17x + 8.65y + 2.98z <= 268.98
-5.65x + 4.56y + 5.01z <= 608.47
9.63x + -3.56y + -8.32z <= 357.02
9.49x + 3.24y + -9.16z <= 746.39
3.17x + -9.42y + -1.48z <= 537.32
0.56x + 8.77y + -0.41z <= 739.83
-7.53x + 0.92y + -6.73z <= 801.88
-1.0x + 0.45y + 9.16z <= 851.37
-7.01x + 1.36y + -8.5z <= 654.36
-4.01x + 2.34y + 7.91z <= 180.18
-7.05x + 0.95y + -8.61z <= 442.8
-9.4x + -3.0y + -3.76z <= 571.41
-7.69x + -7.59y + 2.83z <= 906.13
3.04x + 1.98y + -1.53z <= 634.76
4.96x + -0.28y + -0.7z <= 567.81
2.56x + -7.35y + -0.61z <= 667.67
-8.25x + 5.7y + -0.04z <= 178.54
-0.16x + -1.48y + -6.57z <= 730.89
8.59x + -0.34y + -7.68z <= 792.62
7.2x + -5.11y + 3.04z <= 810.09
9.24x + -5.6y + 0.08z <= 234.06
3.24x + 2.04y + 0.24z <= 826.19
-9.84x + -6.75y + 6.84z <= 881.62
-3.35x + 6.3y + 5.91z <= 784.95
9.59x + 1.07y + 9.17z <= 982.32
-5.78x + -8.78y + -1.59z <= 498.32
3.65x + 0.11y + 8.48z <= 667.48
9.26x + -8.95y + -5.98z <= 907.65
5.95x + -9.08y + -7.68z <= 715.21
-1.88x + -7.79y + -5.52z <= 624.81
-0.62x + 8.69y + -5.85z <= 379.24
-7.61x + 4.47y + 8.81z <= 871.57
-1.42x + 3.87y + -5.5z <= 287.17
-4.18x + -8.6y + 3.49z <= 194.18
-8.66x + 7.6y + 2.71z <= 142.62
-1.24x + -0.45y + -1.89z <= 194.0
4.4x + 9.52y + 7.04z <= 786.41
5.34x + 7.82y + 9.38z <= 564.76
7.62x + -6.77y + 0.92z <= 702.77
-6.47x + -7.89y + -8.09z <= 453.25
-9.75x + -6.9y + 4.42z <= 454.62
-8.91x + 1.11y + 6.43z <= 234.34
0.39x + -8.43y + 2.91z <= 811.54
-4.6x + 2.64y + 6.37z <= 465.02
-7.63x + 3.68y + 1.58z <= 527.57
7.53x + 5.87y + -1.95z <= 353.32
-5.97x + 2.51y + -6.51z <= 347.89
-7.6x + 6.26y + 1.53z <= 699.22
-2.52x + -9.94y + 9.77z <= 861.95
-6.2x + 6.05y + -0.71z <= 260.79
-1.33x + 7.05y + 5.63z <= 543.49
2.41x + 5.48y + 7.33z <= 945.96
-9.74x + 9.23y + 7.76z <= 378.87
0.19x + 3.36y + 4.04z <= 996.19
4.1x + 5.11y + 2.75z <= 964.97
2.01x + -9.39y + 7.81z <= 747.31
5.79x + 0.76y + -2.49z <= 912.46
-7.49x + -6.95y + 7.73z <= 892.19
7.35x + -9.98y + 6.21z <= 336.74
6.38x + 8.3y + -9.6z <= 475.84
2.28x + -5.9y + -5.0z <= 664.77
-6.6x + 4.22y + -0.3z <= 608.98
-3.47x + 1.49y + -8.15z <= 138.46
-8.76x + -5.73y + -0.35z <= 214.09
0.85x + -1.87y + -9.63z <= 227.07
7.95x + -5.83y + 9.54z <= 403.21
-9.89x + 7.85y + 3.74z <= 937.43
0.48x + -0.91y + -1.72z <= 936.49
-0.42x + 0.01y + 6.93z <= 489.91
8.43x + 6.2y + 2.64z <= 352.96
-1.96x + -9.16y + -2.92z <= 543.19
6.28x + -4.61y + -0.98z <= 148.87
5.33x + -8.73y + -2.27z <= 860.08
-7.31x + 4.22y + 0.76z <= 606.67
-8.03x + 6.33y + 4.0z <= 761.97
4.91x + 8.9y + -7.87z <= 192.35
-4.51x + -5.79y + -5.39z <= 356.59
5.74x + 0.24y + 2.76z <= 939.91
3.14x + 1.38y + 2.29z <= 865.68
-3.6x + -4.58y + 8.03z <= 261.71
-5.94x + 6.05y + -9.43z <= 811.8
5.59x + -6.55y + 6.21z <= 310.84
4.73x + 4.01y + 3.05z <= 662.86
-5.18x + -1.97y + -8.96z <= 534.1
-5.36x + -7.02y + -2.95z <= 714.02
4.06x + -2.06y + -4.47z <= 281.77
8.51x + -0.64y + 2.29z <= 991.11
9.71x + -8.91y + 5.8z <= 724.66
-6.15x + -9.97y + 9.33z <= 416.74
4.32x + 3.85y + -0.95z <= 985.9
2.03x + -6.44y + 3.55z <= 938.51
-1.05x + 6.65y + -3.26z <= 920.51
4.57x + -0.25y + 0.11z <= 786.7
-9.25x + -3.78y + 1.41z <= 967.79
-6.11x + -3.86y + 3.52z <= 560.14
6.98x + 8.45y + 8.56z <= 725.45
-5.23x + 3.35y + 0.15z <= 832.74
3.8x + 2.61y + -1.9z <= 127.38
3.26x + -0.61y + -8.05z <= 210.79
1.85x + -2.33y + -9.92z <= 411.1
4.28x + -2.61y + 0.42z <= 806.14
-7.6x + -7.63y + 4.96z <= 738.18
-3.66x + 4.25y + 4.56z <= 342.77
-9.85x + 6.36y + 6.66z <= 804.62
-3.73x + -0.27y + 3.77z <= 371.87
5.52x + 8.5y + -8.61z <= 972.23
-0.31x + 7.62y + -2.03z <= 975.2
0.46x + 2.24y + 0.75z <= 739.09
-3.21x + 5.92y + -3.98z <= 615.52
6.39x + -7.16y + -4.62z <= 577.33
3.09x + -7.67y + -9.22z <= 911.88
5.27x + 3.22y + -8.85z <= 967.06
8.91x + -4.97y + -2.01z <= 125.29
1.57x + -0.29y + 5.08z <= 937.76
0.15x + 8.22y + -1.34z <= 587.41
9.72x + -0.79y + 7.05z <= 571.56
-8.74x + 4.19y + -7.12z <= 303.52
-6.9x + -6.87y + -2.23z <= 733.99
-9.52x + -4.91y + -8.34z <= 198.69
-4.14x + 4.45y + -8.06z <= 269.83
-9.12x + 0.14y + -8.49z <= 226.59
-1.23x + 2.4y + -8.44z <= 564.6
8.19x + 5.75y + -5.42z <= 573.77
0.03x + -9.1y + -1.89z <= 165.31
-0.73x + 3.62y + 2.08z <= 873.99
2.44x + -7.99y + -9.35z <= 935.79
-1.22x + 5.46y + 5.06z <= 237.85
4.38x + 5.95y + 9.77z <= 990.36
4.55x + -6.93y + 9.95z <= 241.21
3.89x + -6.34y + -8.24z <= 285.68
-0.4x + 4.92y + -4.29z <= 847.31
-8.6x + -7.44y + 7.36z <= 249.83
-0.17x + 8.87y + -0.74z <= 440.92
2.25x + -7.66y + -4.97z <= 150.24
0.12x + 6.31y + 9.4z <= 615.83
-8.73x + -0.28y + -5.64z <= 107.17
-0.29x + 0.36y + -2.11z <= 568.71
-5.41x + -9.96y + 6.53z <= 589.88
9.07x + 7.03y + 9.86z <= 234.02
3.82x + 3.21y + 1.97z <= 389.67
1.07x + 0.55y + 2.44z <= 433.65
-0.33x + -2.85y + -4.5z <= 693.48
3.35x + 7.47y + -8.39z <= 245.84
2.44x + 9.63y + 0.09z <= 158.16
5.39x + 1.64y + 9.84z <= 627.22
6.82x + 2.1y + 6.68z <= 412.02
2.76x + -3.38y + -2.59z <= 271.42
5.01x + -3.42y + -1.89z <= 310.56
8.04x + 7.03y + 1.46z <= 467.72
8.67x + -1.73y + 3.98z <= 373.32
9.03x + 7.27y + 7.27z <= 588.0
-4.88x + 3.87y + 8.39z <= 474.56
-3.41x + -0.07y + 4.9z <= 191.69
0.97x + -0.93y + 7.77z <= 331.01
-9.77x + 7.5y + -8.19z <= 361.14
-4.04x + -5.46y + 4.72z <= 938.21
8.08x + 7.45y + 0.49z <= 960.06
-4.82x + -9.99y + -2.72z <= 317.56
-7.47x + -1.31y + -8.36z <= 405.62
7.28x + 9.59y + -0.12z <= 407.46
-6.21x + 4.48y + 6.46z <= 675.75
9.13x + 3.67y + -5.86z <= 340.51
2.84x + -4.5y + 5.21z <= 129.81
5.0x + -7.19y + 5.19z <= 945.59
-1.26x + -4.3y + 9.7z <= 782.57
1.37x + 7.14y + -3.09z <= 451.66
3.6x + 5.11y + -5.02z <= 996.44
-1.18x + -8.24y + 6.29z <= 410.14
4.3x + 9.25y + 0.47z <= 888.6
-4.39x + -9.29y + 9.74z <= 532.61
-0.26x + 9.73y + 4.55z <= 359.5
4.12x + -2.12y + -7.9z <= 629.31
2.48x + 8.72y + 9.25z <= 318.79
9.32x + -4.54y + 6.84z <= 152.34
-4.85x + 6.45y + 4.15z <= 568.16
7.03x + -3.87y + 8.83z <= 567.15
7.95x + -1.9y + 0.58z <= 211.87
-4.71x + -5.86y + 2.25z <= 923.11
-8.24x + -7.96y + 8.78z <= 240.39
4.34x + -3.99y + 5.7z <= 604.3
4.53x + -9.57y + 3.55z <= 986.25
-4.28x + 7.4y + -1.79z <= 140.68
-6.24x + -8.11y + -8.35z <= 178.78
-1.74x + -9.65y + -4.57z <= 235.81
-0.41x + -7.2y + 6.73z <= 544.51
-4.88x + -6.29y + 0.75z <= 960.38
5.64x + -2.27y + 8.23z <= 756.43
0.29x + -1.25y + -4.77z <= 174.54
-0.43x + 5.63y + -6.6z <= 805.18
1.01x + -7.23y + 0.6z <= 503.28
-4.53x + -1.55y + 9.68z <= 550.11
-9.62x + -8.02y + 5.19z <= 242.6
-9.52x + -0.03y + -9.26z <= 356.15
-3.88x + 0.12y + -4.39z <= 996.33
6.1x + -5.52y + -4.27z <= 869.45
-6.35x + -0.36y + -9.8z <= 100.94
-6.15x + -1.3y + -0.7z <= 395.29
6.09x + 8.84y + -0.95z <= 318.69
6.21x + -5.1y + -2.25z <= 928.04
5.26x + 7.44y + -8.85z <= 522.64
-4.97x + 8.64y + 6.04z <= 130.9
1.3x + 7.45y + 9.61z <= 686.48
-2.95x + 0.4y + 2.9z <= 369.17
1.81x + -3.64y + -5.07z <= 480.43
8.03x + -3.79y + -4.55z <= 895.55
-5.08x + -3.28y + 0.64z <= 700.69
-2.72x + -9.91y + 2.43z <= 827.37
-8.63x + 8.73y + 6.64z <= 848.24
8.12x + -3.29y + -5.76z <= 154.32
8.89x + -4.06y + -0.21z <= 799.18
7.64x + 8.78y + -8.37z <= 725.79
9.07x + 1.48y + -2.63z <= 719.04
4.29x + -1.2y + -9.35z <= 860.55
5.7x + -5.05y + 0.28z <= 465.62
-9.25x + 2.33y + 4.58z <= 212.07
-2.89x + -8.59y + -4.25z <= 585.24
-5.65x + 5.6y + 7.71z <= 690.32
8.29x + -0.99y + -2.71z <= 283.98
5.67x + -1.02y + 7.85z <= 691.07
0.56x + -7.6y + -7.41z <= 175.22
5.03x + 8.89y + 8.4z <= 480.69
-9.09x + 2.59y + 1.85z <= 448.84
8.08x + 1.06y + 8.12z <= 275.19
-6.39x + 8.08y + -3.33z <= 136.05
6.13x + -5.36y + -1.8z <= 653.85
-5.15x + 3.29y + 8.01z <= 914.6
-0.58x + 1.35y + -3.03z <= 877.46
-6.42x + -3.15y + 7.11z <= 409.12
-6.61x + -5.98y + -4.08z <= 653.08
-7.73x + 7.41y + -3.81z <= 475.54
1.79x + -7.03y + 0.21z <= 955.95
1.02x + 9.23y + 7.57z <= 787.17
8.85x + 3.79y + -7.24z <= 558.52
9.62x + 1.29y + -0.31z <= 311.64
9.45x + -7.68y + 6.21z <= 476.95
-1.33x + -5.93y + 8.82z <= 496.73
4.67x + 2.8y + -4.02z <= 640.73
-0.04x + 4.98y + -9.57z <= 640.27
-2.61x + 3.02y + -9.84z <= 497.53
3.15x + -9.0y + 9.2z <= 642.82
-8.58x + -8.75y + 3.07z <= 993.03
1.43x + -7.71y + 6.83z <= 736.15
9.0x + 9.8y + -5.23z <= 799.73
-8.58x + 3.35y + -4.66z <= 176.46
-6.83x + 5.68y + 2.53z <= 507.64
5.6x + 0.94y + 2.0z <= 241.04
-6.85x + -7.81y + 3.27z <= 724.17
-3.69x + -1.97y + 7.46z <= 793.98
-1.76x + -5.35y + 6.91z <= 131.44
5.09x + 2.38y + 1.65z <= 419.88
-4.17x + -5.39y + -4.41z <= 858.25
0.47x + -0.59y + 5.31z <= 193.9
9.69x + 8.09y + -2.52z <= 909.64
5.32x + 5.27y + -2.96z <= 747.42
-8.48x + -4.7y + 5.31z <= 634.67
-5.71x + -0.35y + -1.06z <= 716.47
-2.14x + -8.54y + 4.13z <= 668.11
8.35x + 9.28y + -5.38z <= 890.01
-9.99x + -3.13y + -2.37z <= 819.29
-3.4x + -5.77y + -8.75z <= 316.66
4.15x + 6.58y + 0.45z <= 109.99
-7.27x + 1.25y + -2.63z <= 912.59
-5.65x + 4.79y + -6.0z <= 298.18
-4.05x + -6.04y + -2.32z <= 235.46
-0.35x + -4.47y + -1.56z <= 399.03
-6.26x + -8.01y + -0.17z <= 237.61
3.63x + 8.95y + -3.62z <= 919.74
5.11x + -0.72y + 9.76z <= 716.15
-9.23x + -8.77y + -9.11z <= 102.78
0.36x + -3.66y + -5.79z <= 844.06
0.79x + -5.27y + 3.82z <= 128.86
-2.26x + 1.33y + -0.61z <= 217.92
6.25x + -5.28y + 9.46z <= 521.43
4.63x + 2.1y + -7.68z <= 670.14
-8.02x + -4.88y + -3.76z <= 220.86
-1.94x + -4.4y + 3.01z <= 824.0
8.5x + 2.7y + 6.7z <= 783.32
-2.17x + -0.6y + 3.18z <= 181.31
1.94x + -4.44y + 4.85z <= 254.45
-2.78x + 0.47y + 8.63z <= 199.46
7.39x + -4.52y + -1.41z <= 877.35
9.95x + 7.25y + 6.55z <= 205.64
2.48x + 8.42y + 4.51z <= 447.16
-5.74x + -3.39y + 2.77z <= 702.66
2.19x + -5.91y + 4.14z <= 435.8
7.41x + -0.55y + 2.54z <= 281.0
-0.86x + 5.25y + -2.44z <= 594.32
-8.88x + 1.69y + -3.82z <= 907.07
-9.61x + 9.65y + 4.88z <= 488.77
7.82x + 5.0y + 4.48z <= 972.75
6.43x + 9.42y + 5.87z <= 962.26
-1.36x + -2.97y + -8.38z <= 544.88
6.64x + 0.91y + 6.39z <= 585.78
-6.37x + -8.85y + 4.42z <= 531.84
2.14x + 5.3y + -2.47z <= 676.45
8.89x + 7.96y + 5.77z <= 919.41
-3.85x + 0.59y + -5.83z <= 650.22
-9.38x + -9.8y + -1.4z <= 744.17
0.55x + 1.0y + -4.82z <= 103.69
4.31x + 2.82y + 9.55z <= 226.24
5.64x + 3.86y + -3.66z <= 521.7
-0.36x + 0.02y + 0.99z <= 296.52
6.28x + -2.2y + 0.68z <= 715.79
-0.1x + -5.3y + 3.02z <= 324.72
6.25x + -0.14y + 0.68z <= 441.2
-7.3x + -4.61y + 8.77z <= 543.56
7.55x + 0.9y + 3.49z <= 863.6
-6.67x + -8.0y + 8.25z <= 367.34
-2.66x + -0.68y + -6.87z <= 691.64
-1.86x + 3.27y + -9.42z <= 897.75
-2.29x + -3.01y + 6.17z <= 866.74
-7.11x + -1.37y + -6.08z <= 888.18
-9.97x + -2.18y + -8.13z <= 569.8
9.15x + -6.58y + -1.24z <= 614.69
-4.21x + 5.22y + 6.84z <= 741.93
6.9x + 7.54y + -8.64z <= 532.97
-9.77x + 1.83y + -6.61z <= 504.9
1.28x + -2.52y + 2.6z <= 834.28
-3.21x + 5.75y + 5.65z <= 711.67
5.12x + 8.08y + 0.95z <= 481.83
-5.95x + 1.85y + -0.41z <= 680.1
9.97x + 4.33y + 3.56z <= 828.42
-4.33x + -8.34y + -1.35z <= 395.06
-5.43x + -5.77y + 5.12z <= 897.73
2.36x + -6.14y + -5.27z <= 361.05
0.08x + -6.44y + 7.07z <= 985.43
9.36x + 3.65y + -5.88z <= 238.42
4.46x + -4.34y + 0.03z <= 594.64
0.98x + 5.04y + 6.19z <= 932.71
5.29x + -6.65y + -0.41z <= 906.67
8.4x + -8.08y + 9.52z <= 156.67
5.98x + -6.85y + -0.86z <= 634.44
6.51x + -7.28y + -2.93z <= 166.41
-0.3x + 0.59y + -2.14z <= 947.35
-1.51x + 5.93y + 0.32z <= 384.03
-9.53x + 7.6y + 3.84z <= 856.63
-4.86x + -1.42y + -5.8z <= 629.84
-1.09x + -7.23y + -1.01z <= 739.29
-0.82x + 3.56y + 4.23z <= 218.31
-8.63x + 4.18y + 9.42z <= 576.2
3.99x + -2.56y + -1.55z <= 760.85
-0.3x + 6.43y + -9.98z <= 901.95
-1.28x + -7.69y + -8.76z <= 758.0
4.4x + 5.52y + -2.84z <= 360.53
-7.38x + -5.84y + -3.22z <= 902.26
-5.97x + 6.59y + 2.23z <= 598.34
9.12x + 6.98y + 5.05z <= 677.83
-9.7x + 6.34y + 2.36z <= 711.04
1.69x + 4.07y + 2.52z <= 165.06
1.33x + -0.79y + 6.16z <= 183.36
8.8x + 7.18y + 2.03z <= 966.95
5.99x + -4.37y + 8.24z <= 784.19
#-----------------program end-----------------
