max 4.33x + 3.98y + 6.22z
4.61x + 6.71y + 6.8z <= 193.8
2.62x + -5.6y + 3.34z <= 925.67
6.17x + 4.07y + 2.69z <= 269.8
8.69x + -9.96y + -3.38z <= 690.93
1.14x + 7.14y + 2.68z <= 406.83
-1.73x + 0.97y + 6.77z <= 287.17
-2.65x + -7.43y + 3.48z <= 503.59
8.2x + 0.21y + 3.21z <= 412.51
6.54x + -4.83y + -4.13z <= 196.61
-9.35x + -3.95y + 1.94z <= 703.02
3.41x + 7.22y + -4.78z <= 165.12
2.47x + 7.04y + -2.06z <= 977.54
-5.61x + -9.13y + -9.79z <= 625.58
-6.52x + 4.67y + -3.02z <= 460.55
2.09x + 6.32y + -0.43z <= 384.02
-2.05x + -3.44y + -0.45z <= 586.3
7.54x + 8.7y + 0.34z <= 275.09
2.28x + 4.72y + -4.34z <= 642.69
-4.69x + 6.22y + -6.96z <= 471.01
6.3x + 6.17y + 3.63z <= 189.13
5.36x + 0.8y + 7.73z <= 340.33
2.06x + 5.7y + 3.68z <= 436.2
6.04x + -4.8y + 7.92z <= 785.59
4.16x + -3.34y + -2.99z <= 544.91
0.32x + 8.92y + -4.44z <= 234.56
4.9x + 9.69y + -1.95z <= 937.67
3.36x + 0.31y + 3.8z <= 898.36
-9.19x + -0.14y + 8.01z <= 187.82
8.94x + 5.8y + -9.56z <= 598.34
-5.22x + 2.29y + -7.59z <= 765.93
-4.95x + 7.42y + 2.88z <= 407.07
-7.93x + -5.3y + 0.39z <= 231.41
-3.79x + -3.1y + -7.8z <= 824.07
-6.06x + -5.18y + -7.33z <= 912.31
4.5x + 5.74y + 0.13z <= 489.98
6.0x + 0.87y + 5.15z <= 141.02
6.73x + -6.2y + -5.61z <= 270.76
-0.58x + -0.92y + -6.28z <= 889.43
5.12x + -9.61y + -7.87z <= 273.12
7.26x + -4.91y + 4.27z <= 368.49
1.72x + 8.14y + 6.24z <= 393.65
3.93x + -0.22y + -5.46z <= 709.58
-4.2x + 8.37y + -1.4z <= 979.49
-3.77x + -6.06y + 3.09z <= 113.21
-1.88x + 5.85y + -7.62z <= 790.51
-2.49x + -2.24y + -5.07z <= 929.2
-3.27x + -0.46y + 0.01z <= 976.95
-5.35x + 6.99y + 4.52z <= 767.74
4.34x + -1.18y + -7.35z <= 247.99
9.33x + 0.95y + -7.89z <= 459.12
-4.44x + 3.07y + 4.36z <= 224.6
4.78x + 0.02y + 6.56z <= 640.44
5.62x + -5.04y + 7.36z <= 268.99
-7.47x + 5.75y + 1.31z <= 313.06
9.14x + -5.44y + 2.74z <= 900.23
4.02x + 9.14y + -2.47z <= 203.62
-3.64x + 6.29y + -1.96z <= 307.29
-1.23x + 8.8y + -3.85z <= 398.48
7.45x + 2.75y + -7.88z <= 354.48
7.03x + -6.97y + -3.25z <= 102.68
4.25x + 8.31y + -8.61z <= 565.81
-8.43x + 5.18y + 5.26z <= 458.2
-8.7x + 5.86y + -7.68z <= 975.72
9.14x + 0.68y + 0.48z <= 460.7
-9.97x + 7.44y + 5.44z <= 302.05
-1.75x + 1.18y + 6.87z <= 962.9
9.12x + -6.6y + -0.1z <= 828.55
-2.76x + -9.51y + 4.67z <= 220.94
-4.37x + 9.21y + 4.78z <= 619.16
1.44x + 1.11y + -6.64z <= 122.18
-7.47x + -6.1y + -0.56z <= 346.29
1.77x + -8.44y + 3.38z <= 520.04
1.2x + -6.57y + -0.17z <= 462.91
1.46x + 8.89y + 3.46z <= 146.92
-8.39x + -8.74y + 3.59z <= 916.6
7.61x + 3.3y + 3.82z <= 122.55
9.93x + 9.59y + -1.18z <= 816.31
2.48x + -4.2y + -2.95z <= 288.06
-3.85x + -2.6y + 9.12z <= 233.27
-6.35x + -5.32y + 5.05z <= 989.69
4.31x + -6.57y + -2.97z <= 124.54
-1.27x + 9.48y + 1.03z <= 343.31
0.42x + -0.05y + 1.46z <= 860.84
8.22x + -7.69y + 2.6z <= 800.77
3.9x + -8.68y + -2.45z <= 412.89
-8.24x + 3.76y + 5.32z <= 379.35
5.31x + -9.41y + -5.65z <= 463.57
2.61x + 3.35y + -5.03z <= 838.4
-2.28x + 9.65y + 8.01z <= 355.05
2.83x + 8.91y + 3.18z <= 505.57
-2.64x + -6.71y + 1.64z <= 581.44
-0.81x + -2.4y + -2.42z <= 279.0
3.29x + 9.67y + -4.08z <= 247.37
7.61x + 3.24y + 2.71z <= 885.26
-5.26x + -2.34y + -5.12z <= 848.38
-4.76x + 2.29y + -5.79z <= 842.39
-4.89x + -4.27y + 9.77z <= 494.73
-1.76x + 8.32y + 5.35z <= 571.11
-6.8x + -1.87y + -6.86z <= 439.99
-4.73x + -4.81y + -6.61z <= 527.97
-2.79x + -7.77y + 8.96z <= 783.79
2.35x + 7.62y + 3.15z <= 107.95
1.77x + -8.11y + 9.2z <= 435.61
-4.84x + 9.02y + 5.63z <= 883.14
-7.51x + -6.04y + -1.27z <= 772.25
3.85x + 3.81y + 0.63z <= 706.18
-0.31x + -5.88y + -8.38z <= 144.47
4.57x + -7.0y + -3.71z <= 713.6
6.25x + -5.87y + -4.34z <= 741.68
-0.74x + -6.64y + 5.79z <= 376.91
7.09x + -2.44y + 1.76z <= 245.69
-0.19x + -8.87y + 3.09z <= 762.21
-2.4x + 2.93y + -8.42z <= 192.6
3.57x + 8.04y + -5.37z <= 967.38
2.28x + -6.93y + 7.93z <= 240.24
4.88x + 4.76y + 9.96z <= 121.1
-6.28x + -7.51y + -9.03z <= 235.42
0.73x + 5.05y + -5.41z <= 260.74
2.13x + 5.39y + 7.11z <= 697.96
8.11x + 7.62y + -5.37z <= 950.19
3.56x + 2.19y + -7.34z <= 569.31
2.44x + -3.66y + -9.32z <= 260.2
-7.98x + 3.88y + -1.71z <= 729.83
-7.17x + -2.01y + 8.69z <= 714.59
-9.15x + 0.86y + -2.02z <= 795.62
5.71x + 9.64y + 7.76z <= 984.36
-4.85x + -6.29y + -1.37z <= 849.81
6.57x + 5.21y + 4.33z <= 784.3
4.17x + 7.5y + -6.42z <= 508.72
-9.1x + -6.41y + -1.3z <= 385.54
-2.17x + -0.46y + 9.82z <= 502.66
-7.56x + 4.49y + -5.66z <= 199.93
-7.0x + 3.64y + -6.2z <= 252.96
5.87x + -3.77y + 0.52z <= 816.74
-9.56x + 5.29y + 3.38z <= 896.07
-5.37x + 1.94y + -3.95z <= 322.65
-9.38x + 7.24y + -5.4z <= 657.36
-3.53x + 2.89y + 8.52z <= 270.21
0.75x + -6.78y + 1.86z <= 533.22
-1.05x + -7.44y + 3.6z <= 363.75
-9.23x + -9.31y + 7.86z <= 261.17
-8.98x + 2.43y + 8.65z <= 307.67
6.48x + 4.93y + -2.12z <= 921.72
8.36x + 4.89y + 5.51z <= 479.82
1.46x + 4.74y + -8.5z <= 110.99
9.37x + -2.19y + 8.25z <= 992.03
6.67x + -9.86y + -2.12z <= 932.35
3.99x + -5.08y + 9.09z <= 959.22
3.12x + -5.83y + 3.79z <= 919.51
9.84x + -7.97y + 2.23z <= 880.56
-0.24x + -4.12y + 2.98z <= 104.52
6.43x + 8.97y + -8.32z <= 339.3
5.55x + 5.52y + 0.43z <= 151.98
2.41x + 1.4y + 3.27z <= 377.31
-8.02x + -6.78y + -7.89z <= 678.26
3.79x + -3.3y + -4.51z <= 693.58
-7.63x + 3.1y + -8.01z <= 168.38
-8.62x + 4.02y + -5.35z <= 366.41
-4.5x + 5.33y + 5.3z <= 613.9
1.73x + -3.37y + -8.37z <= 882.03
0.44x + 8.57y + 0.18z <= 744.61
-1.67x + -7.85y + 2.13z <= 840.33
6.79x + -3.95y + 1.26z <= 870.5
-4.13x + 4.52y + 0.28z <= 250.54
-3.63x + -2.42y + -9.24z <= 591.49
-5.05x + 3.54y + -4.12z <= 592.61
-9.55x + -0.69y + 2.23z <= 127.77
7.84x + 1.4y + -3.38z <= 531.29
-9.34x + -6.21y + 5.65z <= 499.9
9.58x + -2.56y + -2.14z <= 501.69
-5.66x + 3.66y + 5.41z <= 799.24
-4.66x + -8.2y + -5.24z <= 962.23
5.85x + -2.28y + 2.86z <= 692.15
1.74x + 3.86y + -9.0z <= 416.07
4.11x + -7.07y + 0.31z <= 247.62
3.39x + -6.58y + -6.34z <= 264.16
5.65x + 3.33y + -2.69z <= 641.59
6.67x + 7.33y + 1.04z <= 402.24
1.5x + 9.86y + 1.78z <= 895.03
-6.99x + 0.82y + 8.87z <= 162.1
6.11x + 3.19y + 4.47z <= 769.41
9.54x + -4.74y + -8.69z <= 646.13
-8.33x + 3.27y + 0.32z <= 347.66
-0.98x + 4.68y + -5.06z <= 917.17
-0.91x + 2.64y + 0.85z <= 806.16
-1.19x + 3.54y + 6.65z <= 152.27
1.14x + 6.61y + 7.62z <= 168.05
5.25x + -8.12y + 1.75z <= 680.67
-4.67x + 1.86y + 7.3z <= 998.73
-4.73x + -8.0y + -3.22z <= 907.62
8.58x + -0.43y + -1.18z <= 521.83
5.24x + 5.58y + 9.03z <= 150.93
-9.07x + 4.69y + 1.41z <= 518.24
-9.03x + -4.64y + -1.24z <= 570.74
-7.15x + 9.28y + 7.88z <= 771.47
-8.59x + 9.36y + -0.23z <= 733.18
-1.81x + 5.33y + 4.71z <= 741.34
-4.18x + -9.75y + -4.15z <= 554.2
9.82x + 5.44y + -5.62z <= 253.78
0.48x + -0.32y + 2.62z <= 288.27
-0.58x + -2.28y + -4.56z <= 579.59
-0.83x + -1.25y + -6.06z <= 667.19
5.77x + 3.9y + 0.6z <= 100.94
0.68x + 6.96y + -6.86z <= 694.8
-9.83x + -1.09y + 0.38z <= 670.17
7.09x + -7.97y + -8.0z <= 721.69
7.58x + -0.48y + 1.0z <= 436.23
-7.85x + -7.68y + 4.27z <= 461.48
6.66x + -8.28y + 2.22z <= 748.19
-2.63x + -3.81y + 2.47z <= 707.77
2.22x + 4.46y + 7.99z <= 405.76
3.55x + 5.53y + -3.52z <= 702.16
-6.29x + 3.51y + 4.69z <= 183.51
-0.3x + 3.45y + 0.59z <= 454.98
5.31x + -5.89y + 9.91z <= 774.58
8.16x + 5.64y + 7.4z <= 925.32
-9.24x + 5.51y + -8.76z <= 866.56
-4.16x + 0.89y + -7.54z <= 796.03
-9.12x + 7.8y + 5.87z <= 804.52
-6.75x + 9.82y + 9.27z <= 639.95
-1.4x + 7.22y + 9.68z <= 940.85
3.93x + 8.46y + -5.13z <= 895.25
9.57x + -9.88y + 4.98z <= 159.59
1.44x + 1.41y + 6.64z <= 126.2
6.32x + 7.69y + 0.14z <= 953.92
0.15x + -7.22y + -1.41z <= 343.12
-9.96x + -2.13y + -6.83z <= 166.19
6.04x + -8.16y + 8.5z <= 260.86
-2.45x + -0.61y + 0.39z <= 717.81
5.37x + 5.93y + -4.2z <= 358.41
3.21x + -2.67y + -0.23z <= 597.31
-4.72x + 3.09y + -4.09z <= 693.5
1.56x + 7.71y + 8.1z <= 811.78
-4.08x + -3.73y + -8.78z <= 474.41
-1.39x + -4.86y + -5.38z <= 147.19
-9.09x + 2.9y + -3.53z <= 683.04
-5.69x + 9.08y + -3.99z <= 531.25
0.2x + -2.39y + -3.4z <= 202.24
7.09x + -5.58y + -2.17z <= 774.07
-4.0x + 3.54y + 2.87z <= 590.34
-0.21x + -2.91y + 9.33z <= 133.82
4.12x + -1.36y + -3.57z <= 486.76
-0.16x + -6.41y + -8.07z <= 818.4
4.9x + -0.07y + 3.37z <= 446.0
-3.01x + 9.85y + 8.12z <= 182.76
-7.9x + 7.18y + 2.01z <= 487.46
-3.65x + 2.93y + 8.26z <= 213.41
-3.97x + 7.02y + 6.5z <= 498.17
-9.89x + -5.48y + -9.66z <= 960.0
-2.8x + 4.67y + 5.06z <= 829.4
0.4x + 4.17y + 4.24z <= 258.17
-3.56x + -3.4y + 7.86z <= 106.79
-9.05x + 4.89y + 9.01z <= 225.71
8.01x + -6.3y + -5.8z <= 830.51
1.15x + -9.4y + -6.58z <= 898.78
-9.07x + 3.89y + -7.13z <= 717.18
-1.64x + -1.73y + 0.11z <= 685.06
3.88x + -1.2y + 8.01z <= 151.99
9.49x + -6.43y + -3.58z <= 608.91
-3.84x + 9.31y + 2.16z <= 211.46
5.23x + -8.67y + -5.95z <= 943.55
9.07x + 2.24y + 6.75z <= 655.0
1.62x + -6.92y + 9.98z <= 527.22
0.4x + -8.52y + 0.39z <= 918.45
-0.15x + -5.03y + 0.53z <= 919.96
-0.22x + 3.99y + 3.75z <= 886.59
8.64x + -1.63y + -3.71z <= 900.97
9.05x + 0.45y + 7.02z <= 301.38
-2.97x + 5.58y + -1.96z <= 204.99
4.14x + -4.84y + -2.21z <= 461.11
-1.63x + 4.94y + -9.52z <= 941.72
1.54x + -4.86y + 7.9z <= 309.95
-7.01x + 6.02y + 9.41z <= 185.93
-9.5x + 4.12y + 2.15z <= 392.33
-1.25x + 5.82y + -3.43z <= 346.54
5.25x + 2.35y + -4.99z <= 296.5
8.41x + 0.33y + -2.77z <= 386.87
-9.6x + 1.16y + 4.6z <= 433.63
6.21x + -3.38y + -4.45z <= 309.38
2.89x + 3.94y + -1.64z <= 682.7
2.18x + -2.97y + -9.42z <= 909.22
-4.72x + -1.47y + -8.1z <= 790.25
-8.59x + -3.0y + -0.29z <= 587.48
4.93x + 7.26y + -6.2z <= 749.72
-5.85x + -9.1y + -8.25z <= 291.82
-0.27x + -8.22y + 3.15z <= 550.91
7.76x + 8.65y + 1.62z <= 914.24
-3.37x + 6.93y + -6.37z <= 158.59
-1.25x + 4.57y + 9.53z <= 456.07
-7.69x + 3.72y + 2.5z <= 446.46
-5.17x + -0.04y + 7.32z <= 864.63
3.67x + 2.83y + -6.01z <= 250.92
-4.68x + 8.46y + 7.18z <= 341.03
-6.88x + 0.27y + 2.07z <= 176.54
8.37x + -3.09y + 7.81z <= 374.75
-9.99x + 4.41y + -9.49z <= 276.46
8.53x + 9.24y + 3.81z <= 950.34
-4.38x + 5.31y + -8.39z <= 456.57
-4.68x + -5.78y + -3.38z <= 571.35
4.6x + -2.54y + -2.55z <= 545.1
-8.24x + -6.17y + -3.14z <= 283.71
8.08x + 7.72y + -1.88z <= 329.17
-0.43x + -2.95y + 0.07z <= 386.09
2.56x + 9.96y + 5.72z <= 615.76
8.92x + -4.55y + -7.75z <= 398.77
-4.73x + -6.43y + 6.68z <= 671.4
1.24x + 9.25y + -0.77z <= 627.13
-3.52x + -7.62y + 7.82z <= 525.53
1.92x + 2.34y + -3.91z <= 209.09
-2.42x + -5.29y + 0.46z <= 353.34
-7.91x + 9.38y + -5.86z <= 537.15
6.65x + -5.68y + -1.24z <= 273.99
-2.37x + -3.25y + -3.01z <= 382.56
-0.29x + -8.31y + -3.62z <= 419.68
-6.35x + 0.87y + -3.65z <= 228.12
-9.49x + -3.48y + -7.31z <= 611.77
-3.99x + -0.57y + 8.76z <= 552.46
9.08x + -9.35y + 8.55z <= 213.0
-7.08x + 5.12y + 0.58z <= 410.31
-0.51x + -2.34y + 3.54z <= 805.34
5.94x + -0.46y + -4.43z <= 437.48
2.3x + 5.91y + -2.17z <= 581.14
-7.07x + 2.72y + -2.43z <= 481.79
4.71x + -3.22y + -9.2z <= 692.4
6.41x + -2.01y + -8.81z <= 580.56
-7.97x + -4.75y + 2.67z <= 502.7
1.56x + -6.49y + -6.22z <= 485.42
5.82x + -7.57y + -1.65z <= 681.68
5.3x + 0.53y + 6.67z <= 913.39
6.91x + -9.35y + 5.59z <= 186.56
-2.04x + 6.34y + -6.02z <= 692.05
1.57x + -0.73y + -7.16z <= 811.33
-7.54x + -7.06y + -4.71z <= 267.13
-7.38x + -1.07y + 9.44z <= 437.35
-3.67x + -8.2y + -2.09z <= 454.79
5.37x + -3.2y + 3.51z <= 171.33
2.1x + -1.83y + 5.18z <= 530.1
8.49x + 0.69y + 5.4z <= 741.54
-1.49x + 5.94y + -6.89z <= 571.23
4.47x + 0.48y + -5.14z <= 191.45
-9.19x + -1.45y + 1.77z <= 690.44
-9.35x + 2.16y + -2.06z <= 986.46
-1.94x + -8.87y + -6.43z <= 241.99
0.79x + -9.43y + -3.82z <= 741.16
6.91x + -7.17y + 2.66z <= 828.73
-2.78x + 4.31y + -8.65z <= 531.4
6.56x + -0.02y + 1.81z <= 604.17
9.93x + -2.27y + 6.09z <= 630.38
3.46x + -8.87y + -6.99z <= 648.59
-6.42x + 5.42y + -5.14z <= 219.73
-0.58x + 8.33y + 7.65z <= 302.97
0.18x + 0.01y + 4.35z <= 554.74
9.76x + 6.29y + 2.24z <= 950.46
-1.29x + -6.23y + -5.37z <= 397.75
-5.51x + 9.95y + 8.07z <= 219.95
7.94x + 3.42y + -2.4z <= 352.12
2.76x + -9.23y + 3.34z <= 559.7
-6.89x + -4.91y + -3.93z <= 327.1
-4.92x + -2.39y + -1.41z <= 830.29
4.73x + -5.23y + 0.92z <= 969.35
-7.08x + 2.05y + 7.2z <= 987.73
-8.32x + -3.49y + -0.08z <= 993.14
3.25x + 9.22y + 6.06z <= 269.37
7.04x + 9.75y + 2.81z <= 257.62
7.39x + 1.27y + -2.4z <= 258.39
-8.54x + 6.28y + 8.88z <= 481.08
1.39x + -1.41y + -7.9z <= 272.15
9.34x + -8.13y + -7.94z <= 952.33
3.21x + -7.69y + 4.55z <= 615.47
-7.48x + -5.59y + 1.44z <= 229.81
-6.33x + -1.16y + 8.05z <= 811.65
-4.83x + 9.71y + -0.55z <= 600.73
1.23x + 0.32y + -7.4z <= 516.43
-5.84x + 5.18y + -8.98z <= 970.56
0.26x + 5.9y + -4.77z <= 337.26
-3.02x + 7.04y + 5.25z <= 890.64
1.74x + -0.75y + 6.2z <= 149.44
-9.5x + -5.1y + -2.4z <= 621.1
-9.59x + 4.6y + -4.12z <= 693.11
9.25x + -3.53y + 0.47z <= 573.14
-4.42x + 1.54y + 5.11z <= 713.73
1.97x + -0.68y + -0.19z <= 488.27
-4.71x + 9.49y + 9.27z <= 995.7
-6.58x + 1.41y + 7.92z <= 664.57
8.0x + -0.84y + 4.12z <= 122.37
2.33x + -2.54y + 4.21z <= 542.46
-3.95x + 5.97y + 9.2z <= 985.54
1.14x + 1.33y + 2.73z <= 253.73
2.54x + 5.04y + -5.02z <= 373.52
3.23x + 2.16y + -1.78z <= 285.34
1.02x + 8.9y + 2.51z <= 358.91
-6.65x + -0.15y + -6.34z <= 268.84
-3.76x + 5.72y + 3.33z <= 809.46
-4.65x + 5.64y + 1.59z <= 496.66
5.95x + 4.01y + 3.8z <= 190.99
8.47x + 6.23y + -6.11z <= 932.86
5.16x + -4.31y + -1.52z <= 243.21
-1.88x + -0.56y + 3.66z <= 989.02
1.55x + -6.41y + 5.22z <= 274.93
-2.99x + 2.67y + 3.09z <= 194.07
-6.18x + -7.39y + -5.74z <= 650.62
1.88x + 3.19y + 9.93z <= 446.03
1.47x + 1.08y + 2.85z <= 333.3
-3.29x + -0.02y + 6.37z <= 938.97
-1.49x + -8.22y + 5.01z <= 622.93
6.65x + 1.67y + 7.4z <= 281.73
-2.05x + -1.26y + 3.75z <= 608.84
-7.85x + -4.63y + 1.1z <= 797.3
5.63x + -8.25y + -0.39z <= 572.12
-8.1x + 2.61y + 0.64z <= 453.17
5.72x + -1.14y + 6.97z <= 362.42
4.08x + 7.65y + 8.8z <= 925.96
3.42x + 2.64y + 8.55z <= 399.32
-9.29x + -2.12y + -1.41z <= 548.12
-6.47x + 2.74y + -9.46z <= 757.41
-6.75x + -2.56y + 0.98z <= 790.84
2.59x + 6.54y + 3.85z <= 667.14
-8.27x + -9.05y + 8.02z <= 141.99
6.12x + -6.36y + -5.19z <= 929.86
-0.18x + 2.19y + 1.19z <= 968.84
2.2x + 7.31y + 4.69z <= 265.31
-1.28x + -7.75y + -9.38z <= 328.8
-1.46x + -5.4y + 0.59z <= 440.41
-8.53x + -7.05y + -4.02z <= 385.34
1.02x + 6.1y + 1.38z <= 969.14
-6.85x + 2.72y + -7.95z <= 499.07
6.04x + -4.05y + 4.85z <= 301.32
2.23x + -4.69y + 9.82z <= 896.18
-2.1x + -2.72y + 8.72z <= 457.08
1.38x + 9.69y + 8.58z <= 972.04
-9.42x + 9.08y + -1.65z <= 299.33
5.36x + 0.07y + -5.26z <= 392.48
-1.2x + -8.64y + 8.15z <= 508.22
-9.78x + -7.79y + 9.5z <= 653.62
9.02x + 6.78y + 5.65z <= 652.74
-0.98x + 2.63y + 8.28z <= 602.97
-6.34x + -8.84y + -0.59z <= 305.78
5.25x + -3.11y + 0.06z <= 711.89
-8.46x + -2.39y + -3.95z <= 274.94
1.69x + 5.4y + 0.17z <= 257.18
-4.74x + 9.61y + -2.57z <= 256.77
-1.8x + 0.63y + -5.0z <= 930.89
-2.95x + 7.61y + 1.28z <= 604.18
-4.07x + -1.79y + -2.54z <= 706.79
8.79x + 6.31y + 4.24z <= 265.26
8.88x + -10.0y + -6.18z <= 895.21
-3.88x + -4.16y + -0.76z <= 218.11
0.82x + 7.96y + 9.52z <= 247.22
3.33x + -1.36y + 5.55z <= 329.62
-2.88x + -0.7y + 2.59z <= 356.55
5.62x + -3.06y + -4.46z <= 498.16
4.3x + -3.17y + 8.34z <= 149.77
4.21x + 5.42y + -2.14z <= 499.38
2.89x + -6.12y + 5.86z <= 927.74
-1.87x + 0.96y + -6.43z <= 667.43
-2.49x + 0.69y + -3.21z <= 571.65
2.56x + 1.15y + 6.73z <= 695.38
7.39x + -5.15y + 2.9z <= 722.67
-5.13x + -7.55y + 6.51z <= 765.04
-6.93x + -8.57y + -5.4z <= 460.23
9.84x + 1.0y + 9.09z <= 854.81
-6.78x + 0.6y + 8.06z <= 238.81
-1.24x + -7.49y + -2.06z <= 696.54
-8.1x + 8.98y + -8.11z <= 842.89
9.68x + -2.61y + -4.54z <= 274.15
-3.63x + -2.96y + -5.79z <= 660.16
-1.28x + 3.32y + 5.32z <= 722.9
8.54x + 7.8y + 2.89z <= 553.61
-4.41x + -7.73y + 3.24z <= 551.81
2.1x + 3.71y + -4.87z <= 614.0
8.51x + -8.48y + -5.33z <= 951.02
2.96x + 3.36y + -5.92z <= 121.95
-7.3x + 0.3y + 8.63z <= 407.7
9.98x + 3.86y + 6.47z <= 254.05
2.61x + -2.25y + 3.4z <= 385.74
-6.65x + 2.6y + 0.64z <= 217.74
-4.67x + 6.22y + -7.33z <= 934.85
6.57x + 0.82y + 5.5z <= 292.21
5.11x + 3.62y + 7.77z <= 232.45
-4.86x + -7.22y + 1.05z <= 380.67
6.7x + -6.38y + -9.13z <= 913.18
9.66x + 4.37y + 8.92z <= 920.06
0.52x + 6.16y + -0.28z <= 721.44
-0.54x + -6.87y + -1.79z <= 761.09
-2.43x + -4.46y + -1.28z <= 146.28
0.02x + 3.1y + 8.37z <= 359.72
5.72x + 2.9y + -8.82z <= 402.51
3.42x + 1.51y + 6.03z <= 656.96
4.32x + 1.52y + 4.58z <= 763.07
-5.28x + 5.72y + 4.9z <= 476.38
-9.05x + 7.96y + 0.66z <= 997.42
2.55x + -8.34y + -5.06z <= 783.87
-6.76x + 1.17y + -4.92z <= 383.53
3.8x + 2.08y + -9.24z <= 711.93
-10.0x + 9.55y + 7.45z <= 632.64
-3.01x + -9.76y + 0.87z <= 602.05
-2.99x + -3.55y + -3.1z <= 356.46
5.1x + 7.91y + -6.52z <= 601.39
-2.11x + -1.58y + -0.48z <= 255.77
-3.66x + 5.45y + 7.21z <= 379.7
4.64x + 8.87y + -5.22z <= 820.82
8.34x + 4.4y + 7.3z <= 405.72
6.27x + 3.43y + -7.9z <= 140.93
2.24x + 1.86y + -1.58z <= 301.58
-9.29x + 8.58y + -0.03z <= 229.26
6.98x + 9.65y + -1.46z <= 633.95
6.96x + -1.39y + 4.6z <= 952.33
-3.62x + -3.55y + -2.95z <= 943.69
3.22x + -1.54y + 4.86z <= 740.22
7.44x + -3.17y + -1.38z <= 482.17
-7.22x + 9.46y + 9.92z <= 205.94
-9.71x + -3.81y + -3.24z <= 714.18
3.78x + 0.67y + 6.49z <= 626.97
-9.85x + 8.35y + 8.45z <= 721.57
0.85x + 8.81y + 9.49z <= 265.55
-5.99x + -5.76y + -8.03z <= 655.4
6.43x + -2.04y + -9.12z <= 727.4
-9.25x + -6.09y + -1.3z <= 925.72
7.7x + -6.08y + 6.77z <= 282.56
-2.6x + -5.41y + 2.52z <= 944.44
8.33x + 5.98y + -7.49z <= 978.98
6.01x + 6.41y + 8.94z <= 369.32
-6.6x + 9.42y + 9.06z <= 168.97
-2.72x + 3.72y + -2.51z <= 511.25
-6.92x + -7.88y + 5.4z <= 690.02
-1.39x + -9.51y + 7.78z <= 758.44
4.46x + 3.52y + 8.01z <= 890.88
8.79x + 5.91y + -0.47z <= 891.41
5.83x + 6.05y + -3.6z <= 750.68
-6.96x + 3.0y + -1.98z <= 727.75
7.37x + -7.87y + 5.25z <= 937.76
4.07x + -4.67y + 4.19z <= 296.19
-6.33x + -0.36y + 4.7z <= 179.06
-2.78x + 3.64y + -0.19z <= 870.72
2.15x + -7.91y + 0.59z <= 423.19
-7.55x + 9.14y + 0.12z <= 909.88
-3.63x + -0.84y + 6.44z <= 374.02
-6.06x + 4.2y + -1.68z <= 687.56
2.76x + 1.2y + 7.51z <= 572.92
2.08x + 9.2y + 5.59z <= 677.31
-0.89x + 5.87y + -2.66z <= 534.23
4.05x + 2.37y + -2.7z <= 552.98
9.66x + 9.39y + -1.04z <= 316.16
-8.68x + -4.44y + -2.3z <= 347.58
-9.15x + 9.13y + -5.43z <= 586.44
-8.7x + 3.31y + -5.33z <= 169.16
-0.96x + 0.68y + -3.47z <= 652.12
-2.89x + -3.25y + -9.67z <= 398.8
6.82x + -5.58y + 3.42z <= 317.79
8.52x + 0.39y + 5.43z <= 805.08
-6.25x + -0.06y + -5.66z <= 228.58
-1.58x + -8.32y + 1.7z <= 481.61
7.05x + -9.57y + 7.15z <= 987.38
9.95x + 2.92y + 2.36z <= 299.86
0.62x + 3.79y + 8.28z <= 848.9
-8.12x + -1.24y + -3.12z <= 556.48
-1.95x + -1.19y + 5.03z <= 525.49
2.34x + -1.82y + 4.69z <= 402.03
4.26x + 0.16y + 5.47z <= 503.93
-0.19x + 3.8y + -0.52z <= 200.27
7.34x + 1.15y + 5.78z <= 998.15
0.12x + -8.1y + -7.12z <= 824.18
-1.17x + -3.61y + -7.4z <= 969.33
9.24x + 5.69y + 4.97z <= 259.99
-8.75x + -2.51y + 1.28z <= 967.21
1.4x + -2.87y + -5.83z <= 314.17
-9.73x + -2.08y + -0.55z <= 115.25
5.63x + -0.91y + -8.0z <= 115.39
2.93x + -4.61y + -8.88z <= 250.51
-3.27x + -2.35y + -5.08z <= 117.5
0.12x + 5.23y + -0.94z <= 621.64
-6.46x + -4.76y + 3.54z <= 675.97
3.64x + -9.61y + 4.43z <= 432.22
3.23x + -5.41y + -3.56z <= 821.23
2.79x + 2.0y + -0.11z <= 550.16
9.26x + -8.44y + 5.36z <= 554.9
-4.87x + -4.32y + 1.11z <= 462.27
-8.86x + 2.36y + -2.98z <= 359.86
-8.94x + 5.45y + -0.25z <= 243.37
2.82x + 9.38y + -6.77z <= 888.3
6.31x + 8.23y + 6.24z <= 231.28
4.93x + 8.86y + 0.64z <= 765.79
4.89x + 7.76y + 9.88z <= 710.12
4.27x + -4.15y + -9.13z <= 359.69
-7.8x + 0.52y + 6.48z <= 620.64
-5.77x + 9.55y + 4.67z <= 232.28
2.62x + -1.47y + -7.71z <= 211.06
-6.22x + -1.62y + -5.37z <= 241.75
-6.7x + -5.49y + 6.48z <= 794.42
-2.47x + 0.5y + 4.2z <= 673.4
-3.84x + -9.06y + -0.62z <= 405.36
3.23x + 4.65y + 2.48z <= 265.07
-6.19x + -2.56y + -0.83z <= 776.65
1.63x + 0.42y + -7.33z <= 812.7
6.24x + 9.21y + -1.99z <= 854.21
