max -7.21x + 3.78y + -1.01z
7.62x + -1.35y + 0.12z <= 764.84
2.5x + -0.72y + 7.52z <= 565.26
-5.64x + 1.36y + -4.12z <= 314.7
2.02x + 6.68y + 1.72z <= 323.71
-7.19x + -0.95y + 6.78z <= 235.82
-7.67x + 3.38y + 7.98z <= 315.69
-4.2x + 1.99y + -4.56z <= 898.77
-1.34x + -1.52y + 7.8z <= 588.45
-0.65x + -8.21y + 1.92z <= 321.04
5.55x + 1.54y + -8.1z <= 429.71
5.32x + 1.07y + 9.35z <= 954.9
4.46x + 3.72y + -0.85z <= 876.32
6.64x + -0.4y + 0.42z <= 144.12
-4.09x + -4.25y + -3.41z <= 684.37
5.63x + -7.57y + 9.57z <= 841.12
8.07x + 4.5y + 1.34z <= 471.7
-2.58x + -6.36y + -5.09z <= 643.21
-1.34x + -9.4y + -3.92z <= 756.5
4.96x + -5.23y + -4.71z <= 735.63
5.46x + -7.37y + 8.83z <= 497.67
-2.34x + 8.53y + -2.95z <= 288.83
0.02x + 9.65y + 4.02z <= 894.03
6.01x + 7.74y + 4.52z <= 602.02
-4.86x + 5.0y + 5.6z <= 644.59
-5.62x + 1.17y + -5.01z <= 738.33
8.37x + -7.18y + -3.78z <= 671.47
9.88x + 6.45y + -3.47z <= 983.03
4.21x + 0.3y + 4.26z <= 306.31
4.54x + 3.33y + 5.5z <= 532.6
-2.3x + 7.38y + -1.5z <= 603.58
-9.11x + 6.64y + -1.54z <= 129.64
8.58x + -1.23y + 2.7z <= 635.4
-4.13x + 5.08y + -0.06z <= 788.05
7.81x + -8.45y + -7.12z <= 509.37
-4.51x + -8.15y + -8.55z <= 877.62
-3.46x + 8.02y + -9.05z <= 393.47
-5.63x + -6.56y + -1.38z <= 124.88
-0.56x + 7.1y + 6.02z <= 905.83
-4.96x + -0.26y + 6.97z <= 778.83
5.06x + 4.99y + -8.61z <= 249.91
5.51x + -1.95y + -7.39z <= 343.97
-5.07x + -6.2y + 6.31z <= 349.61
0.55x + -3.45y + -7.98z <= 732.92
5.68x + 1.85y + -9.0z <= 530.07
5.69x + -5.38y + -6.77z <= 706.27
-1.24x + 0.68y + 3.47z <= 112.96
-1.94x + -2.19y + -7.75z <= 430.58
8.17x + 6.7y + 3.25z <= 320.47
2.22x + -7.64y + 3.05z <= 610.21
6.92x + 5.49y + 8.18z <= 833.77
5.81x + 4.73y + -7.54z <= 893.06
-6.26x + -7.54y + -7.36z <= 997.58
-2.13x + -2.29y + -0.71z <= 638.58
-0.92x + -6.35y + -4.82z <= 458.55
9.49x + -4.47y + 2.8z <= 947.91
1.48x + 1.49y + -3.49z <= 920.53
-0.44x + -0.27y + -8.13z <= 942.68
-7.52x + 2.68y + -8.46z <= 815.01
-0.68x + -5.2y + -8.63z <= 226.84
3.73x + -9.53y + -8.5z <= 942.22
4.98x + -8.42y + 0.84z <= 291.4
6.24x + -2.17y + -9.84z <= 388.85
-1.59x + 5.3y + 7.16z <= 125.19
1.58x + 3.33y + 5.14z <= 404.23
5.59x + -3.7y + 1.8z <= 324.24
1.39x + -6.94y + 3.22z <= 872.25
9.17x + 9.79y + 1.05z <= 744.87
7.65x + -7.44y + -8.86z <= 104.73
2.84x + -3.36y + -5.37z <= 270.57
-4.83x + -6.94y + -7.93z <= 432.32
-0.9x + 9.58y + -9.31z <= 985.36
2.25x + 8.4y + -7.07z <= 442.83
-2.71x + 5.82y + -8.38z <= 567.02
-4.31x + 5.48y + -7.92z <= 919.7
-2.63x + -9.7y + -9.37z <= 749.59
9.95x + 9.45y + 5.6z <= 437.05
-3.6x + -0.98y + -3.37z <= 302.4
-6.18x + -1.65y + -7.96z <= 701.19
6.41x + 8.37y + 0.87z <= 651.15
-1.95x + 8.7y + -4.87z <= 518.69
-6.13x + -9.29y + 0.4z <= 604.07
-7.41x + -6.44y + -7.92z <= 585.79
-0.68x + 8.4y + -0.82z <= 290.04
-0.98x + -0.67y + -1.08z <= 632.1
-1.56x + -3.58y + -1.84z <= 466.65
0.75x + -2.27y + -4.31z <= 923.09
-8.96x + 9.83y + 0.76z <= 165.58
-0.96x + -8.7y + 9.34z <= 298.94
-9.05x + -6.47y + 4.56z <= 290.94
0.58x + -9.89y + -2.78z <= 794.57
0.61x + -7.6y + 0.74z <= 557.33
-7.08x + 0.5y + -0.98z <= 440.92
5.49x + 1.85y + 2.91z <= 670.48
-6.57x + 4.3y + 8.64z <= 684.71
-5.57x + 9.33y + -2.95z <= 662.6
0.8x + -6.4y + -5.53z <= 495.44
-9.64x + 1.54y + 8.07z <= 723.42
-0.08x + -2.62y + 8.31z <= 579.9
6.03x + -6.19y + -9.03z <= 789.96
-1.03x + -0.85y + -1.51z <= 596.89
7.15x + -5.16y + 6.07z <= 165.45
5.66x + 4.05y + -5.34z <= 267.48
-9.62x + 9.86y + -1.93z <= 747.69
-4.49x + 8.27y + 1.33z <= 377.52
-2.52x + 7.46y + 8.0z <= 686.46
-9.22x + 9.71y + -0.13z <= 504.53
6.05x + 5.16y + 5.95z <= 140.68
-6.19x + 7.5y + -3.31z <= 471.09
-8.87x + -0.72y + -0.31z <= 752.22
-1.46x + 9.71y + 1.86z <= 966.13
1.98x + -4.71y + 5.32z <= 957.56
4.65x + 5.51y + 5.39z <= 754.77
-0.63x + -4.01y + -5.22z <= 897.02
-5.65x + 2.35y + 8.34z <= 702.74
-7.89x + 5.19y + 6.31z <= 222.79
-0.7x + 8.41y + -5.9z <= 270.4
5.63x + -1.18y + -7.84z <= 650.93
6.4x + -6.5y + 8.55z <= 160.5
-4.17x + 6.97y + 6.94z <= 630.53
-0.96x + -2.16y + 7.65z <= 918.71
-1.62x + -1.63y + 8.91z <= 798.67
6.31x + -0.34y + 9.9z <= 906.39
-2.61x + 6.04y + -5.26z <= 186.7
-5.7x + 7.83y + -9.58z <= 546.84
6.78x + -5.07y + 2.52z <= 432.34
4.03x + 4.94y + -0.31z <= 937.99
-4.14x + -3.32y + 9.43z <= 247.14
5.18x + -1.29y + -0.93z <= 934.65
-2.37x + 7.41y + 2.05z <= 376.92
-1.56x + 2.87y + -1.93z <= 637.18
-2.83x + 0.2y + 9.6z <= 765.91
3.4x + 4.55y + 5.52z <= 896.41
-0.28x + 1.67y + 7.11z <= 100.38
5.5x + -8.69y + 6.4z <= 843.74
2.82x + 4.55y + -5.95z <= 365.85
8.26x + 3.95y + -4.75z <= 545.27
6.46x + 0.66y + -7.34z <= 873.56
-7.15x + 9.66y + 4.26z <= 506.14
-5.92x + 5.69y + 8.84z <= 426.75
-9.18x + -2.44y + -8.48z <= 251.59
6.37x + -2.36y + 7.82z <= 458.04
3.58x + 4.6y + -9.31z <= 647.83
8.37x + -3.69y + -0.04z <= 253.84
-2.14x + -7.76y + -3.58z <= 638.19
1.37x + -7.44y + -4.26z <= 123.59
4.24x + -8.83y + -8.34z <= 590.74
-7.86x + -5.98y + -5.34z <= 125.49
-0.89x + -5.4y + -4.85z <= 403.6
-7.51x + 4.42y + 3.9z <= 732.79
9.75x + 8.54y + 7.79z <= 499.41
8.04x + 3.12y + 1.72z <= 278.79
0.56x + 5.44y + -0.3z <= 829.86
-8.7x + 6.79y + 5.42z <= 642.28
-6.87x + 5.7y + 1.85z <= 975.34
-7.43x + 0.75y + -1.36z <= 816.4
-5.25x + 9.34y + -6.81z <= 647.3
-8.6x + -8.47y + 1.11z <= 667.06
3.21x + 2.16y + 9.28z <= 533.04
-8.46x + -4.29y + -1.75z <= 802.32
-4.53x + 1.93y + -3.72z <= 184.19
-7.68x + 6.07y + -8.26z <= 507.41
-6.84x + -8.83y + -8.93z <= 111.46
-6.07x + -5.46y + 8.39z <= 545.04
-6.72x + 9.97y + -4.34z <= 355.25
4.83x + -9.67y + -8.12z <= 562.42
-3.94x + -4.62y + -3.95z <= 175.73
2.46x + 7.88y + -2.23z <= 137.95
7.47x + 8.9y + 7.57z <= 383.1
9.97x + -3.51y + 6.39z <= 459.16
-8.84x + 0.91y + 2.24z <= 286.5
8.72x + -8.26y + 9.27z <= 340.99
-6.63x + -5.87y + 2.92z <= 851.07
3.81x + -9.81y + -6.59z <= 165.38
-4.23x + 6.93y + -8.6z <= 610.44
-3.38x + -2.2y + -5.66z <= 990.41
0.71x + 2.94y + -0.66z <= 730.26
7.54x + -0.21y + -8.05z <= 203.74
6.6x + -9.42y + 1.77z <= 171.91
3.69x + 7.41y + 9.82z <= 732.48
9.14x + -1.71y + 4.88z <= 898.4
-7.32x + 8.85y + 2.19z <= 916.16
-5.3x + 0.41y + -2.6z <= 118.53
-0.52x + 5.19y + 9.35z <= 998.43
-6.98x + 5.18y + -2.28z <= 513.11
-6.71x + 0.97y + -8.23z <= 703.18
7.99x + -0.45y + 5.49z <= 821.73
0.12x + 8.53y + -4.39z <= 484.84
8.5x + -7.43y + 4.05z <= 732.59
-3.04x + -7.17y + -3.48z <= 913.77
6.91x + -5.22y + 7.17z <= 983.26
-4.06x + -6.03y + 1.58z <= 511.61
6.09x + 1.8y + -0.98z <= 593.14
7.13x + -9.75y + 4.76z <= 403.29
1.12x + -0.76y + -9.58z <= 788.99
9.68x + -8.86y + 2.82z <= 106.25
-8.64x + 7.7y + -9.56z <= 632.92
7.23x + 7.12y + 5.89z <= 155.82
-0.1x + 8.39y + -3.03z <= 667.89
-0.77x + -6.95y + 9.67z <= 636.23
-4.34x + -4.96y + 7.2z <= 282.04
8.2x + 5.78y + 6.02z <= 852.93
-0.5x + 1.01y + -1.65z <= 993.58
-1.93x + -2.3y + 5.28z <= 465.73
-6.71x + -2.61y + -4.67z <= 296.2
-6.53x + 9.03y + 2.84z <= 365.49
-4.48x + 1.4y + -7.58z <= 275.9
7.94x + -1.44y + 0.59z <= 309.2
-2.37x + 0.43y + 0.94z <= 427.16
-9.24x + 5.52y + -2.42z <= 884.95
9.88x + 0.49y + -1.13z <= 485.96
1.06x + 5.01y + 2.27z <= 520.53
-1.19x + -2.32y + 6.59z <= 717.16
2.59x + -8.84y + 3.38z <= 405.81
2.76x + 0.73y + -9.93z <= 105.02
8.44x + -0.7y + -2.91z <= 599.81
-4.69x + 4.59y + -5.71z <= 202.13
-3.16x + -3.58y + -5.31z <= 986.58
-8.19x + -2.09y + 7.72z <= 340.94
0.81x + 8.03y + 1.93z <= 597.21
1.55x + 9.01y + -4.67z <= 474.14
3.34x + -5.67y + -8.55z <= 818.43
2.73x + -2.39y + -8.09z <= 924.31
-6.02x + 3.73y + 3.89z <= 664.76
7.95x + -6.07y + -1.58z <= 298.91
-7.17x + 6.39y + -9.67z <= 518.06
4.1x + 0.73y + -4.41z <= 837.82
-2.59x + -8.35y + -4.1z <= 744.3
5.89x + -2.09y + -3.63z <= 943.23
2.77x + 9.87y + -1.32z <= 169.68
7.93x + 0.43y + 1.6z <= 512.22
1.17x + 2.2y + -6.45z <= 107.32
6.99x + 2.19y + 4.04z <= 710.13
9.6x + -7.27y + 8.87z <= 620.64
-3.74x + 5.1y + 6.43z <= 891.54
4.56x + 8.7y + -4.59z <= 243.17
-5.04x + 1.15y + -5.02z <= 273.86
-6.4x + -2.37y + -3.27z <= 701.87
3.2x + -0.68y + -6.58z <= 785.35
-6.69x + -0.39y + 0.25z <= 504.62
8.14x + -2.13y + -0.14z <= 447.07
5.44x + -3.0y + -4.5z <= 860.65
-5.9x + -9.98y + -7.69z <= 883.55
-7.56x + 5.3y + -1.87z <= 460.62
-4.92x + 5.02y + 4.02z <= 398.35
5.82x + -5.52y + 0.68z <= 457.49
-0.73x + 6.53y + 1.24z <= 275.11
-4.8x + 4.15y + 1.68z <= 389.68
-6.87x + 6.76y + -2.19z <= 720.09
8.23x + -9.78y + -8.22z <= 918.52
-7.5x + -9.27y + -8.94z <= 453.78
-6.43x + 1.13y + 3.7z <= 555.6
-3.62x + 0.33y + -8.9z <= 244.29
-8.29x + -0.22y + -4.44z <= 863.18
8.14x + -2.05y + -1.49z <= 814.67
8.25x + -4.67y + -7.26z <= 468.56
6.11x + 1.33y + 6.72z <= 575.03
-7.73x + 3.46y + -8.39z <= 160.0
-1.04x + 3.31y + -8.55z <= 408.71
9.13x + 7.11y + 8.87z <= 312.53
1.95x + -0.42y + 1.46z <= 344.71
-8.87x + -7.05y + -2.48z <= 330.97
9.21x + 0.79y + -7.25z <= 207.7
6.57x + 1.94y + -9.04z <= 600.51
1.14x + -4.18y + -9.46z <= 277.78
-5.05x + 9.09y + 3.8z <= 972.46
1.4x + -0.95y + 6.91z <= 777.85
-6.98x + -6.34y + 6.14z <= 282.35
-6.31x + -0.05y + 5.9z <= 472.9
1.16x + 0.87y + 7.37z <= 690.45
-7.51x + -9.45y + -8.12z <= 949.98
2.38x + 5.57y + 6.61z <= 182.35
-0.67x + -5.65y + -1.87z <= 450.56
-5.31x + 8.42y + 6.35z <= 236.96
1.4x + -4.16y + -8.12z <= 168.2
6.16x + -2.67y + -1.17z <= 454.75
-0.8x + -5.83y + -4.52z <= 928.14
4.27x + 1.97y + 9.07z <= 547.95
6.59x + -9.5y + -8.57z <= 768.22
6.16x + -8.57y + -6.61z <= 901.36
-4.82x + 5.03y + -6.21z <= 665.48
9.09x + -2.11y + -2.37z <= 798.3
-1.08x + 6.57y + 3.07z <= 756.16
-8.17x + 4.94y + 3.49z <= 318.59
5.39x + -2.2y + -4.51z <= 243.08
6.52x + -8.39y + -5.26z <= 724.11
7.33x + -0.88y + -6.7z <= 453.55
-5.57x + -7.28y + -7.76z <= 292.04
7.39x + -3.37y + 5.04z <= 433.09
-1.11x + 9.38y + -3.61z <= 519.14
8.93x + -8.81y + 6.12z <= 242.0
5.15x + 2.81y + 4.85z <= 568.67
7.56x + -1.54y + 0.59z <= 174.65
-5.66x + 0.6y + -5.06z <= 444.52
-7.27x + 1.93y + -0.14z <= 463.46
-4.87x + 1.46y + -8.6z <= 220.5
3.68x + 9.0y + -2.93z <= 564.97
-9.74x + 7.01y + 5.44z <= 603.53
7.57x + -3.14y + 9.92z <= 408.61
-6.71x + 1.14y + 2.83z <= 879.83
-5.29x + -5.9y + 6.37z <= 732.32
-5.34x + 9.03y + 5.97z <= 743.94
8.42x + 2.62y + 8.7z <= 705.61
-3.02x + -9.84y + -2.32z <= 908.81
5.07x + -6.94y + -2.88z <= 190.36
-7.38x + -4.14y + -6.35z <= 821.76
0.22x + -2.32y + -9.39z <= 221.14
-3.09x + 1.39y + -1.92z <= 971.71
3.31x + -0.67y + 7.78z <= 523.6
1.07x + 6.45y + 5.79z <= 744.97
-6.07x + -9.04y + 0.67z <= 842.9
-5.56x + -1.99y + -0.93z <= 907.47
9.08x + 2.64y + -4.59z <= 996.34
-8.47x + -2.66y + -0.85z <= 464.54
3.75x + 6.93y + -2.43z <= 378.47
6.31x + -4.12y + -1.9z <= 582.47
-5.0x + 3.34y + 2.56z <= 316.58
2.56x + 0.32y + -2.74z <= 945.17
-4.13x + 8.14y + -5.87z <= 868.56
8.09x + -4.5y + -0.49z <= 775.35
-0.89x + -6.23y + 5.43z <= 560.12
9.32x + -5.92y + 0.28z <= 703.3
-9.91x + 1.78y + 0.8z <= 613.93
1.43x + 6.93y + -2.33z <= 143.43
1.09x + -7.2y + -4.63z <= 373.22
9.2x + -6.75y + 3.64z <= 704.13
8.6x + -3.48y + 0.93z <= 474.75
-0.62x + 6.01y + -0.3z <= 524.78
6.74x + -6.01y + -0.54z <= 303.91
-9.9x + -8.3y + -9.57z <= 729.1
2.14x + -4.18y + 5.76z <= 732.46
8.72x + 5.79y + 4.99z <= 673.47
0.48x + -3.72y + 6.07z <= 690.36
1.61x + -9.76y + -8.38z <= 659.89
-4.25x + -5.21y + 3.45z <= 789.7
2.03x + -8.13y + -8.68z <= 544.24
-4.97x + -5.93y + -0.53z <= 757.92
0.2x + -5.91y + -3.43z <= 319.97
-9.7x + 3.76y + 6.88z <= 677.39
-6.33x + -5.67y + -1.71z <= 107.0
-0.16x + 2.95y + 5.82z <= 499.65
-7.34x + -7.22y + -8.04z <= 540.31
-9.42x + 8.23y + -1.95z <= 389.28
9.21x + 6.47y + -1.66z <= 176.6
4.43x + 6.96y + 1.07z <= 792.71
3.98x + -9.24y + 8.04z <= 846.8
-1.32x + -8.13y + 4.08z <= 195.99
0.72x + 1.91y + 5.32z <= 915.83
7.72x + 7.29y + 9.68z <= 440.38
-3.8x + 9.29y + -5.22z <= 335.82
2.21x + -6.24y + 0.87z <= 452.78
-4.7x + 0.76y + -4.53z <= 727.51
1.35x + -3.72y + 3.99z <= 101.37
-8.19x + -9.3y + 6.41z <= 663.08
-8.85x + 9.76y + 8.94z <= 531.89
-4.57x + 6.64y + 7.66z <= 392.69
-8.8x + 4.99y + -9.19z <= 296.03
3.77x + -1.64y + 1.66z <= 499.48
0.9x + -9.83y + 7.73z <= 448.81
0.07x + -5.07y + -7.27z <= 657.57
9.73x + -4.49y + 7.59z <= 820.19
6.58x + -6.29y + -9.25z <= 684.49
7.21x + -3.99y + 7.54z <= 364.18
-8.89x + 7.91y + -3.64z <= 484.85
7.91x + 6.13y + -7.52z <= 615.65
-4.98x + 8.24y + -9.57z <= 738.68
-2.29x + -5.95y + -9.42z <= 658.93
-9.08x + 8.85y + 2.51z <= 562.5
-4.63x + -5.71y + -8.14z <= 275.29
4.65x + -0.46y + -1.86z <= 298.28
3.55x + -6.85y + -4.91z <= 436.28
6.25x + -9.2y + -2.5z <= 917.65
7.24x + 3.57y + -7.79z <= 670.59
6.57x + -1.41y + -4.17z <= 377.17
7.68x + 4.29y + -0.48z <= 611.6
1.32x + 0.97y + -7.94z <= 437.8
0.66x + -3.72y + 0.64z <= 305.38
-3.83x + 0.91y + -9.59z <= 372.16
-9.51x + -6.37y + 4.58z <= 400.22
6.16x + -0.45y + -9.78z <= 539.41
-1.02x + -5.72y + -0.43z <= 573.51
0.94x + 9.44y + -7.9z <= 543.22
9.0x + 1.66y + -0.18z <= 820.48
-9.1x + 9.85y + -2.58z <= 960.35
-1.25x + 8.48y + -9.94z <= 360.82
2.68x + 8.0y + 4.23z <= 218.84
-3.86x + 1.48y + -6.83z <= 554.78
-4.58x + 3.3y + -3.09z <= 756.52
-8.1x + 8.51y + 4.43z <= 790.59
2.61x + 9.9y + -3.11z <= 366.19
1.53x + 7.53y + 0.1z <= 454.8
-5.14x + 6.22y + 3.28z <= 209.6
4.94x + 1.87y + 0.45z <= 710.46
-8.4x + 4.54y + -2.02z <= 346.79
6.61x + -6.12y + -3.13z <= 566.13
-5.97x + -4.99y + 3.58z <= 671.54
5.54x + 5.84y + 0.07z <= 124.06
2.73x + -3.03y + -2.64z <= 701.23
-9.08x + -3.85y + -4.32z <= 463.58
-0.04x + -5.56y + 1.09z <= 820.12
3.01x + -7.55y + -9.05z <= 936.17
6.8x + 4.43y + 2.34z <= 470.44
6.17x + -6.77y + -1.59z <= 343.04
4.49x + -4.8y + -0.71z <= 871.4
4.8x + -4.09y + -5.45z <= 185.97
4.79x + 5.54y + 5.68z <= 310.39
1.08x + -4.98y + 8.96z <= 370.06
-8.83x + -9.92y + -3.94z <= 706.79
7.81x + 4.25y + 1.17z <= 849.15
-7.63x + 9.41y + 5.73z <= 897.37
0.47x + 9.11y + 0.59z <= 670.16
-9.15x + -0.13y + 9.88z <= 646.56
2.98x + -1.12y + 3.82z <= 660.54
2.97x + -0.21y + -2.72z <= 557.13
2.12x + 5.44y + -6.42z <= 372.83
-5.56x + -3.79y + 4.62z <= 816.2
-5.75x + -6.39y + -6.38z <= 220.5
-3.98x + -5.67y + 6.97z <= 875.54
4.98x + -2.63y + 6.45z <= 177.29
-0.07x + 0.96y + -0.79z <= 915.38
-9.6x + -3.2y + 3.36z <= 416.25
-2.86x + -6.05y + 7.05z <= 982.63
8.23x + -9.45y + 8.24z <= 540.65
-7.36x + -7.77y + 6.0z <= 338.56
-3.86x + -6.83y + -3.28z <= 997.9
8.16x + 6.35y + -8.85z <= 629.52
-6.44x + -2.58y + 9.86z <= 635.9
0.6x + 2.61y + -2.8z <= 603.22
-2.73x + 4.75y + -1.02z <= 953.15
-8.36x + 8.36y + 8.86z <= 653.24
-3.74x + 5.93y + 1.69z <= 907.0
1.8x + -7.61y + -3.82z <= 393.93
6.46x + -3.4y + 7.5z <= 369.57
-8.79x + -4.62y + -2.92z <= 527.22
-0.18x + 5.68y + -0.87z <= 838.55
-3.14x + 6.65y + 2.76z <= 607.36
-7.25x + -1.91y + 2.31z <= 579.99
-7.43x + 2.49y + -4.12z <= 774.95
1.07x + 2.27y + -0.01z <= 632.22
4.23x + -8.4y + 0.74z <= 617.85
-0.51x + 8.16y + 8.01z <= 267.66
3.99x + -5.03y + -3.66z <= 113.89
-0.08x + -2.47y + -6.11z <= 366.67
-6.44x + 3.04y + -2.46z <= 461.18
-0.04x + 7.6y + -2.06z <= 784.66
-1.19x + -9.16y + -7.16z <= 561.74
7.24x + -1.17y + -6.81z <= 453.84
6.68x + -4.08y + -6.85z <= 485.55
-7.2x + 4.61y + -5.92z <= 267.5
-2.76x + -2.19y + 9.87z <= 931.45
-1.01x + -4.88y + 3.16z <= 382.63
9.06x + -5.32y + 8.25z <= 236.81
4.76x + -2.74y + -6.71z <= 806.74
-0.16x + 8.78y + 8.79z <= 781.64
-4.94x + -0.98y + 4.57z <= 300.35
-4.57x + -9.16y + 1.19z <= 148.87
5.49x + 8.22y + -4.27z <= 810.04
-4.32x + 3.34y + 3.51z <= 959.74
-9.4x + -4.12y + -8.91z <= 776.98
-9.18x + -4.09y + -3.29z <= 735.5
6.06x + -4.03y + -3.24z <= 276.37
7.86x + -5.9y + -8.69z <= 411.79
6.42x + -3.46y + 3.01z <= 122.91
6.01x + -4.19y + -5.02z <= 844.21
-5.4x + 9.84y + 9.4z <= 379.72
-0.45x + 0.65y + 5.0z <= 413.97
-7.68x + -5.18y + 0.13z <= 534.11
-3.6x + 2.53y + -6.18z <= 480.58
-9.03x + 5.57y + -8.13z <= 559.94
-1.09x + -3.32y + -1.46z <= 762.13
7.79x + -6.24y + -7.8z <= 678.44
-1.56x + -4.77y + -0.97z <= 163.39
6.8x + -6.41y + -9.03z <= 240.2
9.04x + -3.73y + -6.51z <= 654.36
-3.45x + 5.58y + -9.75z <= 159.37
-0.38x + -7.19y + -7.25z <= 449.84
5.09x + 7.16y + 8.08z <= 303.78
0.01x + -7.74y + -1.49z <= 740.34
-5.69x + -7.32y + 6.34z <= 764.11
-7.61x + -7.12y + 4.99z <= 907.16
-9.75x + -2.24y + -9.34z <= 521.75
9.73x + 9.01y + -2.37z <= 409.65
-7.65x + -1.55y + -1.03z <= 147.4
-6.9x + -8.92y + -7.42z <= 883.1
8.21x + -9.27y + -1.86z <= 584.42
-8.08x + -0.58y + 9.95z <= 776.32
-6.97x + 3.0y + 2.99z <= 322.27
-3.57x + -5.09y + -7.42z <= 661.65
6.89x + 5.01y + 2.83z <= 581.01
6.55x + 2.68y + 1.81z <= 464.44
9.67x + 2.88y + -1.29z <= 659.21
-5.15x + -9.41y + -7.84z <= 832.83
-3.99x + -3.97y + 4.53z <= 968.42
9.91x + -3.49y + 7.22z <= 303.33
-6.74x + 7.75y + 6.03z <= 428.53
-4.97x + 0.07y + 4.86z <= 263.49
-8.33x + -5.32y + -7.47z <= 473.82
0.12x + 2.04y + 8.11z <= 440.7
6.05x + 8.07y + 2.79z <= 606.49
0.84x + 4.53y + 8.3z <= 982.56
5.05x + -5.0y + 5.98z <= 522.47
-3.44x + -6.9y + -4.48z <= 382.29
-6.86x + 8.93y + 9.41z <= 988.07
-4.07x + -1.68y + 4.93z <= 173.64
-7.43x + -6.87y + -7.08z <= 278.56
-7.65x + -3.65y + -2.73z <= 727.71
-8.2x + 1.64y + -2.97z <= 343.57
-4.61x + 2.31y + 0.54z <= 213.21
-4.22x + -1.26y + -1.98z <= 182.41
6.55x + 1.71y + 9.65z <= 838.62
-7.43x + 3.32y + 1.48z <= 547.6
-4.83x + -0.52y + -0.22z <= 460.25
-3.11x + 5.27y + 1.18z <= 193.67
-2.65x + 7.57y + -0.96z <= 117.59
-2.76x + -8.0y + 7.65z <= 728.09
0.53x + -3.67y + -4.5z <= 495.6
0.92x + -6.93y + 3.4z <= 479.0
-1.38x + -3.46y + -2.53z <= 127.97
-9.18x + -5.32y + -9.05z <= 851.29
-7.34x + -0.82y + -9.08z <= 271.98
4.84x + -7.54y + 9.48z <= 908.42
-5.28x + -9.49y + -4.22z <= 780.54
-4.43x + -9.74y + -8.78z <= 177.93
-5.05x + 3.22y + -2.43z <= 216.46
-4.88x + -7.17y + 4.91z <= 663.87
0.49x + -6.97y + 7.37z <= 582.73
0.35x + -6.56y + 4.76z <= 110.03
9.33x + 4.0y + -5.5z <= 689.58
9.2x + 5.29y + -4.02z <= 162.22
4.22x + -1.66y + -3.45z <= 511.26
-3.25x + 4.94y + -5.96z <= 930.98
-3.05x + 7.15y + 8.36z <= 465.69
-2.07x + -3.33y + 5.99z <= 579.1
-3.29x + 3.68y + -8.36z <= 432.01
1.63x + 6.85y + -8.55z <= 658.41
-8.9x + -6.29y + -0.19z <= 894.43
7.27x + -2.98y + -9.41z <= 777.0
3.91x + 3.58y + -1.87z <= 975.8
-2.38x + -6.9y + -7.13z <= 921.03
-6.63x + 9.02y + -6.13z <= 112.3
-7.63x + 9.2y + -9.19z <= 543.57
2.81x + -5.25y + 3.23z <= 247.85
-9.11x + -9.07y + 9.93z <= 438.39
-2.49x + 9.1y + -9.71z <= 103.05
9.5x + -4.85y + -6.82z <= 993.25
-5.98x + 1.32y + 5.48z <= 812.64
1.37x + -3.01y + -4.69z <= 127.48
-7.98x + 7.32y + -6.81z <= 850.57
3.91x + -4.86y + -8.43z <= 463.81
1.54x + -8.7y + 9.54z <= 583.02
8.84x + 8.57y + -6.72z <= 309.14
-1.98x + 9.71y + 6.38z <= 178.88
3.51x + -5.75y + 3.21z <= 894.81
8.12x + 0.37y + 5.4z <= 741.72
-2.04x + -9.88y + 4.17z <= 773.55
1.15x + 4.17y + -0.31z <= 509.85
-6.66x + 7.48y + -6.03z <= 105.37
6.52x + -1.48y + 0.58z <= 613.91
4.45x + -5.85y + -6.05z <= 852.68
2.75x + 5.53y + 4.36z <= 510.37
-5.22x + 4.97y + 0.76z <= 156.29
8.48x + 0.95y + 5.81z <= 810.1
6.66x + 8.54y + -8.46z <= 291.14
-4.73x + 1.61y + 0.24z <= 844.18
2.86x + -7.61y + -4.5z <= 606.81
6.64x + 8.43y + 5.9z <= 736.86
-1.0x + 1.83y + 9.13z <= 300.52
0.12x + 8.8y + -4.57z <= 557.95
-1.73x + 1.39y + 8.34z <= 183.34
-1.38x + -3.25y + 6.4z <= 787.86
-0.77x + 4.91y + -0.53z <= 494.95
5.46x + 2.35y + -4.7z <= 243.63
5.18x + -8.68y + -7.47z <= 411.56
-4.6x + -2.76y + 0.08z <= 884.6
7.65x + 9.56y + -6.17z <= 190.02
5.34x + -4.79y + -3.34z <= 475.0
-5.32x + 4.68y + -4.47z <= 897.4
2.21x + -3.78y + 2.68z <= 851.57
2.79x + 8.21y + 8.51z <= 204.91
-5.7x + 1.44y + 1.89z <= 634.21
4.93x + 3.98y + 3.88z <= 295.86
6.35x + 8.02y + 4.43z <= 991.74
-3.77x + -8.57y + -6.41z <= 813.06
-5.19x + 9.54y + -5.99z <= 618.41
-8.23x + 0.46y + -4.07z <= 194.04
6.7x + -6.18y + -4.2z <= 319.96
8.09x + 1.66y + -9.75z <= 166.72
-8.45x + 0.39y + 5.99z <= 230.02
-3.25x + -1.41y + 7.9z <= 847.3
6.99x + -0.77y + 6.19z <= 739.61
-0.51x + -4.14y + -7.1z <= 766.55
-2.91x + -6.82y + -3.89z <= 569.59
-0.61x + 5.02y + 2.11z <= 913.77
0.2x + -0.41y + 4.36z <= 347.14
2.09x + -2.28y + -3.19z <= 566.65
