max -3.89x + 5.62y + 2.47z
-7.33x + -4.36y + -9.11z <= 847.13
-5.65x + -1.07y + -0.68z <= 573.23
-8.35x + -7.32y + -1.16z <= 321.71
4.16x + 8.55y + 6.88z <= 531.67
6.98x + -3.74y + 3.39z <= 497.4
2.2x + -4.4y + -1.71z <= 501.94
-9.14x + 2.0y + -3.89z <= 125.62
-8.44x + 0.92y + 5.08z <= 389.25
-3.14x + -7.4y + -5.84z <= 242.87
2.01x + 4.2y + -0.6z <= 257.77
3.57x + -7.62y + -8.3z <= 273.56
7.43x + -4.03y + -3.43z <= 355.46
0.34x + -3.39y + 9.52z <= 527.03
-5.46x + -0.7y + -3.27z <= 708.47
2.05x + 8.87y + -8.86z <= 861.85
-1.32x + -0.02y + 1.67z <= 559.19
5.21x + -4.97y + 8.91z <= 655.35
1.92x + 9.89y + 1.36z <= 187.73
-9.67x + -8.02y + 4.13z <= 777.15
-0.55x + 1.43y + -8.15z <= 938.6
3.41x + -2.36y + -9.93z <= 935.81
3.15x + 3.11y + 2.02z <= 160.68
1.08x + -5.14y + 1.67z <= 871.56
7.04x + 2.37y + 9.12z <= 635.12
9.9x + -6.3y + 7.6z <= 151.29
1.95x + 4.71y + 5.25z <= 535.76
-4.91x + 5.93y + 6.64z <= 631.32
0.66x + -1.99y + -4.41z <= 983.91
3.88x + 0.4y + -4.23z <= 287.93
3.41x + -5.68y + 6.25z <= 960.72
8.54x + 8.48y + 9.14z <= 534.22
2.02x + 6.83y + -0.71z <= 442.34
-8.68x + 3.45y + 2.87z <= 896.34
9.74x + 8.79y + -0.76z <= 276.0
-5.52x + -9.26y + -9.08z <= 658.9
-8.65x + 2.89y + 5.59z <= 385.68
-8.97x + -0.27y + 7.55z <= 476.03
-1.94x + 3.44y + -6.29z <= 295.55
2.06x + -3.22y + -3.86z <= 119.29
-9.4x + 7.53y + -0.15z <= 713.6
-4.39x + -4.77y + 4.69z <= 524.34
1.6x + -1.65y + 7.77z <= 789.73
6.5x + 6.26y + 7.31z <= 146.45
1.26x + 0.61y + -0.04z <= 781.3
-5.95x + 4.09y + 3.53z <= 571.28
3.44x + -4.23y + -7.89z <= 710.06
8.92x + -8.39y + -7.79z <= 198.81
5.76x + -3.51y + -5.54z <= 273.49
5.06x + -1.74y + 4.04z <= 363.17
9.9x + -6.57y + 6.69z <= 528.99
4.05x + -2.68y + 7.69z <= 372.83
2.37x + 5.85y + -6.69z <= 327.21
-2.01x + 2.54y + 9.1z <= 434.59
-4.54x + 4.18y + -3.59z <= 508.96
4.38x + 4.99y + 9.69z <= 614.25
-8.9x + -4.88y + -0.5z <= 432.73
-5.92x + 7.87y + 8.26z <= 839.78
3.99x + 9.62y + -8.29z <= 814.86
-7.61x + 4.57y + -7.93z <= 975.47
0.96x + -3.6y + 2.38z <= 585.71
7.26x + 2.85y + -0.49z <= 112.5
9.8x + -2.05y + -4.12z <= 856.84
0.54x + 3.18y + 9.02z <= 884.93
-7.41x + 2.87y + 3.79z <= 921.75
6.63x + -1.58y + -5.83z <= 423.8
-2.25x + -6.32y + 5.95z <= 944.03
-4.76x + 6.66y + -9.47z <= 180.92
2.4x + -1.26y + -4.07z <= 471.08
2.56x + -4.65y + -1.07z <= 469.45
2.86x + -3.01y + -4.19z <= 567.26
3.39x + -6.41y + 6.72z <= 282.67
-5.97x + -7.02y + -9.98z <= 591.85
-4.29x + -5.09y + -6.43z <= 872.95
0.72x + -7.5y + 5.22z <= 133.92
-6.27x + 6.38y + 5.4z <= 952.24
-3.77x + 6.73y + 0.45z <= 309.32
4.51x + -2.81y + -2.78z <= 407.47
-7.67x + 6.58y + -3.46z <= 241.86
-8.69x + -4.12y + -9.01z <= 543.32
-2.75x + 2.2y + -3.69z <= 387.14
9.99x + 2.09y + -9.41z <= 244.53
-3.12x + -4.0y + 7.09z <= 365.39
-9.48x + -1.68y + -4.75z <= 294.61
-0.46x + 8.2y + 4.23z <= 686.78
3.09x + -9.37y + 6.11z <= 427.01
-9.3x + 7.29y + 0.17z <= 578.5
9.26x + 3.63y + 0.3z <= 231.28
6.98x + 0.29y + -2.67z <= 426.97
0.62x + 2.14y + -8.21z <= 371.21
3.13x + 4.55y + 2.86z <= 820.95
2.43x + 7.83y + -6.0z <= 841.86
-2.37x + -6.53y + 9.54z <= 781.19
-0.23x + -2.89y + 8.09z <= 200.41
4.36x + -4.75y + -1.95z <= 836.29
-0.66x + 9.85y + -2.42z <= 820.72
-2.22x + 8.27y + 2.82z <= 319.24
1.6x + 1.1y + 4.69z <= 684.6
-9.28x + -7.56y + 2.61z <= 395.08
2.65x + 5.61y + 1.84z <= 204.95
-7.37x + 1.44y + 7.04z <= 756.08
-2.32x + -3.18y + -7.02z <= 511.53
9.87x + -8.9y + -0.92z <= 565.92
-5.37x + -8.94y + -2.0z <= 533.97
9.44x + -1.52y + 5.5z <= 201.84
6.84x + -9.97y + -0.7z <= 419.97
6.2x + 1.36y + -4.88z <= 557.6
3.93x + -8.83y + 2.33z <= 213.4
-1.06x + -3.87y + 7.98z <= 930.85
-7.03x + 3.81y + 1.76z <= 560.79
-4.02x + 8.81y + -5.82z <= 446.91
-7.0x + -8.64y + 1.06z <= 715.26
-4.96x + -8.78y + -2.31z <= 829.1
-2.88x + 0.52y + 7.3z <= 974.69
-8.93x + 7.01y + -9.1z <= 749.04
-2.3x + -7.39y + -7.98z <= 767.85
1.43x + -8.85y + 9.5z <= 652.06
-9.45x + -7.1y + 8.36z <= 112.05
-3.31x + -3.36y + 5.24z <= 203.25
-6.52x + 4.29y + -8.56z <= 270.9
5.07x + -2.85y + 0.27z <= 164.83
-2.46x + 5.49y + -6.52z <= 276.42
2.56x + 6.95y + 2.19z <= 178.05
-1.8x + 2.96y + -4.92z <= 465.26
-3.42x + 2.5y + -2.81z <= 278.29
1.67x + -2.01y + -0.48z <= 644.68
-1.58x + -0.53y + -7.47z <= 283.76
-0.68x + -7.53y + -9.21z <= 377.36
8.57x + 0.49y + 5.47z <= 726.36
-9.51x + -4.38y + 2.99z <= 937.66
4.41x + 8.16y + -2.06z <= 530.3
7.03x + 4.13y + -2.18z <= 964.93
-3.85x + -4.59y + -6.89z <= 665.91
8.64x + -6.7y + -9.32z <= 510.58
2.0x + 6.82y + -3.95z <= 796.49
-9.58x + 1.84y + 1.48z <= 794.17
4.85x + 8.95y + 1.98z <= 268.57
-9.9x + 7.51y + 7.34z <= 306.86
-4.05x + -2.51y + -2.76z <= 601.98
3.92x + 0.22y + 4.18z <= 249.18
-7.37x + 9.92y + -5.35z <= 981.96
-9.31x + 5.3y + -5.88z <= 195.77
-7.49x + -9.76y + -7.29z <= 182.88
-3.85x + 4.81y + -7.35z <= 862.64
-0.07x + 0.84y + 1.1z <= 711.11
-1.67x + 9.11y + 2.33z <= 985.14
-6.37x + 9.48y + 8.33z <= 641.82
6.26x + 4.19y + 9.15z <= 176.32
-1.85x + 3.19y + 9.77z <= 965.58
7.77x + -3.38y + -0.88z <= 187.03
9.47x + 6.53y + -7.1z <= 383.79
-0.36x + 4.98y + -4.12z <= 185.15
6.52x + -4.81y + -3.19z <= 309.27
4.29x + -8.75y + -5.43z <= 711.78
9.32x + 0.71y + -0.6z <= 872.38
3.21x + 7.94y + -7.43z <= 195.88
1.2x + 7.69y + -4.94z <= 225.87
4.31x + 2.96y + -6.25z <= 578.79
-0.41x + -7.27y + 6.54z <= 478.04
-8.18x + -5.53y + -2.42z <= 457.43
-3.51x + -9.22y + 8.01z <= 119.62
-5.54x + -0.78y + -8.76z <= 941.37
-6.47x + 6.6y + 1.71z <= 816.54
-3.04x + 1.27y + 1.19z <= 240.26
-4.9x + -0.74y + -3.16z <= 578.03
-0.26x + -4.55y + 3.17z <= 805.97
2.78x + 6.15y + -8.0z <= 924.36
6.4x + -1.85y + 6.71z <= 517.93
-6.26x + -6.09y + 2.2z <= 596.28
2.68x + 5.4y + -6.24z <= 660.51
9.47x + 3.62y + 4.13z <= 513.13
-9.24x + -9.59y + -3.59z <= 419.63
5.69x + -3.04y + -8.17z <= 762.97
8.35x + 4.69y + 2.63z <= 291.01
-1.59x + 9.2y + -2.75z <= 402.12
4.96x + -2.21y + 1.81z <= 961.22
5.21x + 3.34y + -5.56z <= 102.64
-7.49x + -5.82y + -5.31z <= 162.04
-8.12x + -3.7y + -8.58z <= 224.4
-2.78x + 1.23y + 7.82z <= 484.25
-9.67x + -3.08y + 2.25z <= 860.58
0.12x + -9.39y + 0.1z <= 908.82
-7.41x + 1.06y + 5.61z <= 486.08
-3.76x + 1.18y + -5.58z <= 484.75
-7.54x + 9.37y + -9.36z <= 910.93
2.55x + 9.64y + -4.29z <= 968.7
7.49x + -2.92y + 0.84z <= 824.98
6.07x + -4.5y + 8.85z <= 580.82
6.81x + 7.19y + -0.67z <= 687.05
-6.36x + 1.99y + -4.69z <= 833.37
-1.22x + -2.25y + 2.36z <= 392.18
-0.1x + 6.41y + 1.94z <= 796.44
7.03x + -6.05y + -0.31z <= 102.01
-4.25x + -5.23y + 0.48z <= 994.89
-4.49x + -4.39y + 7.61z <= 322.05
3.8x + -3.23y + -0.76z <= 862.83
-0.63x + -2.56y + 9.89z <= 364.29
4.91x + -0.71y + -7.75z <= 730.08
-9.46x + -5.14y + -6.82z <= 298.72
7.4x + 2.53y + -7.89z <= 363.54
8.12x + -6.41y + -8.24z <= 538.77
0.66x + 3.63y + 0.6z <= 117.56
4.9x + 9.52y + 9.9z <= 263.96
-8.86x + 8.34y + 0.27z <= 725.01
0.72x + 5.16y + -2.02z <= 657.58
5.52x + 3.71y + 8.0z <= 385.18
-8.11x + 5.69y + 5.83z <= 456.2
7.27x + -1.27y + 0.49z <= 664.53
-3.6x + -2.16y + -9.29z <= 850.75
4.19x + 3.96y + 2.42z <= 996.13
1.34x + -5.91y + -8.21z <= 469.8
-7.49x + 2.63y + 4.79z <= 913.49
6.52x + -0.81y + -9.75z <= 479.98
8.37x + 5.95y + 2.19z <= 971.34
-0.76x + 7.67y + -4.98z <= 251.92
1.62x + -7.06y + 9.51z <= 454.02
6.96x + -4.98y + -2.52z <= 701.47
-7.34x + 4.84y + 3.21z <= 212.35
-8.56x + -9.24y + 6.08z <= 169.01
1.65x + -2.91y + -9.67z <= 591.7
8.74x + -0.53y + -1.66z <= 177.99
2.12x + 5.12y + 2.5z <= 902.0
-8.36x + 3.36y + -8.34z <= 482.63
0.58x + -0.34y + 9.97z <= 296.52
-5.54x + 7.52y + -2.47z <= 415.09
-7.18x + -0.11y + 3.33z <= 643.4
-6.48x + 8.12y + 5.13z <= 924.09
1.06x + -0.29y + -2.03z <= 745.74
7.02x + 4.42y + 9.14z <= 514.47
-3.61x + -6.39y + 1.25z <= 563.9
9.39x + -3.36y + 5.93z <= 167.12
2.25x + -6.51y + 5.27z <= 940.28
3.42x + -7.15y + -4.6z <= 780.86
2.02x + 2.34y + -3.73z <= 501.99
3.64x + -2.8y + -3.2z <= 248.21
-3.49x + 4.99y + -3.4z <= 774.64
-1.47x + 0.07y + -4.76z <= 442.1
1.71x + 6.96y + 0.2z <= 586.61
-0.19x + 0.95y + -0.38z <= 731.36
5.67x + 7.09y + 4.56z <= 805.05
4.56x + 2.45y + -4.22z <= 659.07
-3.04x + 2.04y + -9.48z <= 321.85
-0.52x + 1.66y + 9.53z <= 496.13
-0.13x + 1.32y + -7.09z <= 891.42
-1.13x + 9.68y + -5.65z <= 917.73
8.6x + 0.64y + 7.92z <= 336.6
3.25x + 8.29y + 7.37z <= 398.94
-2.37x + 8.98y + -8.32z <= 248.48
-2.45x + -8.71y + -0.85z <= 324.81
-3.73x + 5.63y + -5.94z <= 684.85
-4.0x + 3.8y + -7.32z <= 608.36
-3.96x + -6.82y + 5.88z <= 464.0
-0.7x + -8.24y + -3.7z <= 777.55
5.98x + -3.45y + -4.37z <= 967.71
4.55x + 0.63y + 8.32z <= 438.96
-8.41x + -7.24y + -1.07z <= 805.83
-5.38x + 7.25y + -8.93z <= 710.59
3.3x + 3.29y + 9.41z <= 682.43
5.23x + 8.92y + -6.52z <= 272.1
-3.38x + 2.06y + 5.8z <= 908.88
-8.49x + 2.52y + 6.58z <= 894.62
-9.97x + -2.48y + -3.69z <= 262.7
6.11x + 3.71y + 8.94z <= 842.91
3.42x + 5.43y + -4.59z <= 118.38
-4.04x + 2.77y + -4.89z <= 340.15
4.55x + 5.57y + 4.98z <= 540.95
-4.19x + -1.73y + -3.57z <= 887.42
4.9x + 3.36y + -4.12z <= 179.85
-5.22x + 5.55y + -6.25z <= 583.83
-7.54x + 4.16y + 8.21z <= 795.06
8.14x + -4.66y + 9.02z <= 335.58
4.24x + 2.09y + 2.38z <= 346.68
-2.97x + -0.74y + -3.81z <= 338.3
9.78x + -1.84y + 8.95z <= 462.0
-3.36x + -6.29y + -0.68z <= 828.76
3.59x + -5.92y + 5.78z <= 395.29
9.02x + -0.16y + -3.11z <= 993.36
-2.44x + -1.96y + -5.2z <= 999.12
-2.62x + -5.67y + -6.05z <= 289.96
7.72x + 2.71y + 9.08z <= 450.18
1.77x + 9.34y + -9.31z <= 628.48
-0.48x + 0.2y + 9.05z <= 987.82
-3.18x + 5.75y + -6.65z <= 166.18
3.74x + -4.85y + -7.08z <= 799.42
-2.47x + -7.66y + -6.65z <= 441.0
6.57x + 7.06y + 1.1z <= 474.78
6.4x + -9.92y + -7.87z <= 686.12
-3.94x + 7.48y + -5.98z <= 797.86
3.12x + -7.26y + -5.59z <= 938.26
-6.84x + -6.46y + -1.95z <= 773.61
-3.01x + -4.49y + -2.86z <= 272.51
-9.02x + -3.74y + 1.79z <= 979.81
-6.56x + 3.89y + -2.19z <= 432.57
7.96x + -3.69y + -3.18z <= 349.3
0.9x + -9.79y + 9.24z <= 903.63
-1.83x + 5.91y + -0.52z <= 602.82
-7.66x + 1.18y + -8.11z <= 481.93
-6.87x + -6.11y + -3.27z <= 620.16
-3.83x + -6.2y + 4.05z <= 942.09
9.77x + 0.13y + 3.01z <= 932.84
-8.38x + -1.42y + 0.85z <= 114.38
2.74x + -7.82y + 0.44z <= 743.24
-5.82x + -9.18y + 2.88z <= 683.64
2.27x + 1.17y + -3.46z <= 986.18
-1.65x + 1.18y + 4.59z <= 287.34
9.38x + -5.27y + 7.76z <= 940.38
-0.27x + 2.95y + 7.65z <= 404.88
1.19x + -8.98y + -4.48z <= 358.78
-5.79x + -4.53y + -3.31z <= 856.27
8.53x + 1.71y + -9.04z <= 587.19
-6.66x + -4.18y + -8.14z <= 292.1
8.54x + -7.32y + 2.94z <= 373.9
2.55x + -4.85y + 5.76z <= 151.2
6.67x + -7.62y + 7.1z <= 403.26
-6.26x + 9.11y + -2.01z <= 369.19
-2.64x + -1.17y + 8.75z <= 690.59
-8.01x + -9.9y + -7.09z <= 594.54
-0.63x + 3.61y + 5.84z <= 394.01
-0.01x + 7.73y + -7.86z <= 599.83
-9.02x + 4.44y + -3.59z <= 409.55
-2.09x + 0.91y + -4.27z <= 532.32
-9.45x + 3.69y + 4.6z <= 487.31
0.15x + 5.61y + 9.09z <= 470.56
4.27x + -2.71y + 0.52z <= 467.6
-8.68x + 3.35y + 1.5z <= 526.05
-9.21x + 4.15y + -3.3z <= 724.71
-6.25x + -5.04y + 1.84z <= 155.7
-9.74x + -0.46y + -6.23z <= 736.26
-3.99x + 8.13y + 6.92z <= 523.93
-8.02x + -5.77y + 9.49z <= 822.79
-0.01x + -8.03y + 7.51z <= 224.01
-9.3x + 4.35y + 7.42z <= 357.73
4.89x + 7.83y + -2.72z <= 582.57
1.27x + 5.07y + 5.36z <= 549.6
6.13x + -2.0y + 4.14z <= 716.99
8.8x + 6.78y + -8.42z <= 553.18
8.54x + -1.41y + 9.1z <= 219.69
-3.86x + -3.95y + -5.66z <= 457.52
-8.57x + -0.36y + -0.56z <= 684.77
8.58x + -8.99y + 8.84z <= 117.14
0.18x + -4.99y + -1.17z <= 524.93
2.91x + -8.59y + -10.0z <= 483.29
-7.88x + -6.57y + -2.0z <= 350.02
-7.41x + -9.8y + 1.59z <= 837.91
7.45x + 9.85y + 9.09z <= 461.49
5.31x + 0.88y + -8.99z <= 857.57
-9.22x + 8.1y + 4.31z <= 472.43
7.35x + 7.0y + 1.71z <= 740.99
1.61x + 5.8y + -4.28z <= 127.96
2.95x + 7.66y + -6.81z <= 737.74
6.03x + -3.79y + -0.33z <= 976.0
-3.08x + 8.19y + -3.42z <= 810.2
5.58x + -6.4y + -8.94z <= 109.39
-6.94x + -7.78y + -2.07z <= 546.88
-8.71x + -5.78y + 3.39z <= 266.25
7.53x + 4.2y + -6.61z <= 241.4
9.64x + -2.35y + -0.82z <= 522.67
6.36x + 7.55y + -8.6z <= 262.84
-5.79x + -5.23y + -7.04z <= 832.59
-6.47x + -1.07y + -9.52z <= 600.36
-0.69x + -6.41y + 9.09z <= 857.22
-4.17x + 4.01y + 5.27z <= 390.78
-3.93x + 6.19y + -8.92z <= 948.6
-5.34x + -7.6y + 9.08z <= 921.87
-6.8x + -1.6y + -2.46z <= 709.01
3.42x + 4.59y + 7.89z <= 437.99
5.19x + -8.86y + 8.29z <= 598.61
5.43x + 1.9y + -2.12z <= 517.8
-3.51x + -7.01y + 6.28z <= 453.6
9.33x + -5.33y + -8.3z <= 639.66
6.27x + 6.78y + -1.23z <= 776.75
-1.34x + -3.62y + -3.82z <= 957.92
9.61x + -1.14y + 6.56z <= 608.01
8.27x + 0.47y + -2.79z <= 747.01
5.81x + -1.92y + -8.4z <= 128.53
6.04x + 2.49y + -3.28z <= 909.98
9.47x + -7.28y + -8.48z <= 793.12
-0.55x + 4.42y + 5.4z <= 965.61
4.02x + 2.8y + 5.52z <= 238.29
-9.3x + 4.48y + -2.9z <= 307.32
3.7x + 7.68y + 8.06z <= 518.09
6.84x + 5.64y + 2.56z <= 255.11
0.18x + -8.98y + 4.21z <= 956.01
-3.28x + 3.71y + 8.64z <= 450.69
6.51x + 8.62y + -4.07z <= 965.3
0.19x + -4.43y + -2.82z <= 793.44
2.28x + 1.34y + 4.92z <= 971.43
-7.0x + 8.01y + 2.15z <= 400.4
-0.89x + 0.66y + 8.15z <= 943.03
9.81x + 1.8y + -2.3z <= 941.73
0.64x + 7.65y + -3.74z <= 715.44
6.7x + 5.37y + -6.62z <= 297.2
-8.22x + 5.52y + -0.57z <= 489.66
4.55x + 9.69y + 8.82z <= 140.01
-6.1x + -3.14y + -0.5z <= 911.45
-0.65x + -2.67y + -7.16z <= 342.23
9.05x + 2.46y + 0.22z <= 949.25
3.67x + 8.8y + 6.55z <= 315.69
-2.39x + -8.03y + -7.8z <= 882.0
9.89x + -5.14y + -7.6z <= 785.51
1.12x + 8.64y + -7.72z <= 644.88
-5.79x + 5.79y + 4.73z <= 351.78
-5.45x + -7.14y + 6.69z <= 308.24
-0.78x + 0.14y + -9.86z <= 573.8
1.87x + 4.38y + -6.51z <= 873.97
-5.29x + -6.74y + -0.81z <= 131.89
-2.48x + -4.39y + -5.37z <= 858.59
-9.73x + -8.96y + 3.58z <= 403.87
-4.62x + -9.24y + 7.79z <= 878.85
0.16x + -2.62y + -0.66z <= 233.99
-3.31x + 9.33y + 8.25z <= 192.64
2.06x + -7.23y + -5.81z <= 998.49
-4.58x + 6.38y + 6.59z <= 467.68
9.69x + 2.87y + -2.66z <= 562.73
1.22x + -3.44y + -5.33z <= 247.17
-5.41x + -4.29y + -1.59z <= 174.54
-9.82x + 4.38y + 5.95z <= 649.05
-2.75x + 4.59y + 4.86z <= 428.4
4.13x + 0.98y + 3.38z <= 965.66
-7.77x + -0.99y + 3.89z <= 291.32
-0.67x + -7.67y + 4.5z <= 288.69
-9.88x + -5.11y + 4.87z <= 696.55
7.83x + 9.04y + -9.86z <= 796.05
3.56x + -4.68y + -9.17z <= 701.06
-2.5x + -3.68y + -8.25z <= 386.62
-9.58x + 6.37y + -8.53z <= 331.83
2.95x + 8.98y + -8.66z <= 336.71
3.68x + -9.44y + -8.05z <= 637.86
7.92x + -9.61y + 8.96z <= 823.44
4.17x + 7.39y + -6.47z <= 124.42
7.83x + -9.0y + -8.88z <= 420.83
2.39x + -3.39y + -2.63z <= 386.66
9.74x + -1.44y + -6.67z <= 730.08
-0.16x + 8.0y + 7.64z <= 571.03
-1.07x + 1.11y + 9.83z <= 846.82
0.6x + 6.63y + 7.32z <= 163.77
7.29x + 4.17y + -2.26z <= 126.17
3.44x + 6.16y + 0.68z <= 702.42
-9.8x + -9.5y + 7.85z <= 440.89
-3.87x + -3.32y + 6.34z <= 775.08
4.44x + 6.71y + -3.1z <= 748.87
-8.85x + 5.22y + 7.33z <= 895.55
-3.19x + 0.99y + 9.66z <= 211.48
-3.92x + 1.58y + 5.81z <= 712.88
-6.86x + 8.17y + -3.91z <= 101.16
-5.33x + 4.57y + -9.31z <= 386.9
-8.89x + 8.9y + -3.57z <= 387.33
3.64x + -5.42y + 2.7z <= 659.87
-8.13x + 7.56y + 6.75z <= 110.72
3.31x + 9.14y + 9.63z <= 663.25
-0.05x + -7.42y + -4.35z <= 586.21
-0.77x + -8.07y + 9.78z <= 769.31
3.59x + -6.05y + 6.7z <= 618.16
0.44x + 9.96y + -9.95z <= 926.73
9.69x + 0.73y + 1.47z <= 731.29
8.33x + -8.32y + 0.46z <= 299.42
1.38x + -3.77y + 6.76z <= 406.72
8.61x + 2.74y + 2.03z <= 665.36
2.62x + -4.75y + 9.95z <= 316.89
5.76x + -3.84y + 9.7z <= 556.87
-9.61x + -5.02y + 6.99z <= 384.63
-6.36x + -3.76y + -4.9z <= 121.65
1.94x + 7.37y + -4.9z <= 104.29
4.83x + -7.58y + -8.89z <= 744.28
-3.01x + -0.64y + 5.16z <= 877.9
1.24x + -5.88y + 4.55z <= 433.86
5.18x + -5.55y + -3.5z <= 445.1
-2.71x + 2.41y + -8.0z <= 829.85
4.05x + 8.32y + -0.88z <= 715.74
-9.38x + 6.58y + -5.75z <= 465.88
0.42x + 8.88y + 2.96z <= 422.04
-9.65x + 5.03y + 3.31z <= 622.33
-1.65x + -2.15y + -1.27z <= 163.67
-9.51x + 5.01y + 6.62z <= 367.71
4.51x + -5.8y + 2.7z <= 516.61
-2.01x + 8.8y + -2.77z <= 301.42
-1.23x + 1.91y + 4.86z <= 419.08
6.67x + 4.65y + 4.02z <= 399.11
1.26x + -8.51y + -2.28z <= 831.38
-2.51x + -8.18y + -8.1z <= 977.07
-8.14x + -9.9y + -3.02z <= 582.75
9.98x + 2.9y + -5.87z <= 189.29
-8.92x + -9.71y + -6.02z <= 867.82
4.33x + -3.5y + 5.17z <= 317.47
-1.65x + 1.52y + 4.66z <= 142.4
0.66x + -4.0y + 7.49z <= 791.69
3.69x + 0.05y + 0.17z <= 633.99
-4.96x + -9.98y + 2.18z <= 755.94
-1.86x + 1.55y + -4.62z <= 896.5
-6.44x + 1.11y + -8.41z <= 940.62
6.03x + 4.69y + -5.12z <= 621.78
-4.88x + 2.02y + -5.73z <= 445.61
6.71x + 2.21y + -3.66z <= 242.14
-1.93x + 6.83y + 5.03z <= 554.45
3.63x + 5.28y + 5.61z <= 747.23
3.3x + -3.09y + -1.02z <= 409.18
-1.61x + 2.02y + -1.01z <= 703.68
-8.15x + -9.41y + 8.34z <= 939.1
1.46x + -4.08y + -9.71z <= 750.31
-0.7x + 0.22y + 8.76z <= 108.65
3.83x + 9.75y + 6.16z <= 350.36
8.63x + -3.3y + 9.35z <= 911.73
-5.4x + -9.84y + -8.13z <= 543.93
9.88x + 0.89y + -5.09z <= 439.26
-4.39x + -3.08y + -7.1z <= 687.98
-5.75x + 2.55y + 9.4z <= 704.21
-0.86x + -6.52y + 0.08z <= 241.06
-1.06x + -2.07y + 7.72z <= 502.96
4.09x + 1.63y + 3.51z <= 879.52
5.84x + 9.85y + -3.02z <= 589.28
-8.52x + -2.17y + -3.68z <= 924.35
7.41x + 0.1y + -4.25z <= 903.59
-2.4x + -8.29y + -4.68z <= 122.7
7.4x + 4.73y + 7.1z <= 592.63
-7.4x + -1.87y + 0.1z <= 762.81
2.73x + -8.71y + 7.78z <= 987.99
-7.52x + 0.54y + 8.75z <= 638.64
4.48x + -3.56y + 2.15z <= 568.62
8.13x + -3.66y + -9.72z <= 431.67
-9.4x + -3.31y + 1.47z <= 975.15
8.0x + -8.13y + -1.27z <= 860.65
4.26x + -1.25y + -4.28z <= 879.91
-3.76x + 8.64y + 9.14z <= 416.16
-8.2x + 9.6y + -4.83z <= 387.73
2.87x + -8.73y + 0.7z <= 857.34
8.41x + -8.53y + 1.28z <= 164.26
0.42x + 6.04y + 6.71z <= 847.25
0.72x + 2.7y + -4.69z <= 568.42
9.71x + -8.88y + 8.04z <= 589.19
-4.04x + 8.2y + -6.14z <= 245.14
-2.25x + 6.24y + 5.82z <= 359.03
2.82x + -2.45y + -4.2z <= 116.93
-4.16x + 4.66y + -8.44z <= 147.76
-0.43x + 2.37y + -5.9z <= 112.28
4.25x + 2.38y + 8.26z <= 855.26
5.68x + -0.44y + 2.44z <= 678.89
3.26x + -2.96y + -7.52z <= 419.44
5.16x + -8.22y + -0.52z <= 241.87
7.85x + 7.0y + 7.62z <= 534.28
-5.03x + -2.49y + -2.49z <= 511.59
-2.39x + -8.08y + 5.67z <= 964.03
5.42x + 6.05y + -0.64z <= 904.86
-2.62x + -8.93y + 2.58z <= 228.95
1.99x + -1.3y + 3.54z <= 796.65
6.24x + 5.05y + 1.25z <= 939.77
1.33x + -1.08y + -8.56z <= 793.05
1.73x + 1.86y + 7.08z <= 570.4
-2.91x + -9.67y + 9.74z <= 443.43
-6.01x + -7.62y + 6.98z <= 900.98
2.95x + 6.34y + -9.52z <= 923.65
3.57x + 3.22y + -0.77z <= 397.81
4.32x + 6.79y + 4.3z <= 363.06
8.32x + 5.3y + 0.9z <= 407.56
2.45x + -3.0y + 0.3z <= 142.87
-1.96x + 9.25y + -7.76z <= 605.05
0.8x + -7.86y + 0.64z <= 475.32
2.26x + -1.3y + -3.42z <= 659.49
5.3x + 9.24y + 6.11z <= 139.79
-1.15x + 9.06y + 5.49z <= 419.1
4.82x + -7.59y + -3.58z <= 178.47
9.94x + 9.15y + -9.66z <= 607.84
3.39x + 0.4y + -6.98z <= 854.08
-2.77x + -0.12y + 0.81z <= 167.27
-1.43x + 3.57y + 3.46z <= 366.23
-6.87x + 8.71y + -6.02z <= 480.66
7.1x + -8.32y + -5.7z <= 996.27
-9.35x + -3.77y + 5.85z <= 546.94
3.35x + 3.08y + 2.35z <= 879.19
4.5x + 8.31y + 6.56z <= 433.12
3.55x + 0.46y + 7.93z <= 684.81
-9.09x + -1.47y + 8.88z <= 915.32
-7.98x + 7.97y + -6.05z <= 851.7
-3.4x + 6.23y + -7.51z <= 571.67
-9.28x + 3.47y + 2.77z <= 227.2
7.24x + -4.36y + -7.12z <= 637.12
1.3x + -8.73y + -1.0z <= 528.42
-4.04x + 8.88y + 0.13z <= 868.8
-4.99x + 4.11y + -6.87z <= 175.33
-5.07x + -8.91y + 7.09z <= 541.99
-9.0x + -5.17y + 0.55z <= 392.41
6.98x + -7.21y + 8.52z <= 901.44
3.48x + 1.36y + 8.07z <= 205.79
-1.11x + -1.35y + -5.02z <= 510.31
9.22x + -4.39y + -6.48z <= 134.08
-9.41x + 5.1y + -2.68z <= 187.89
4.03x + -2.91y + 1.38z <= 892.67
6.73x + -6.47y + -1.61z <= 391.34
7.28x + 0.43y + -2.33z <= 346.53
-4.74x + 7.87y + 9.13z <= 990.94
-7.22x + -2.99y + 9.6z <= 622.88
8.89x + -9.3y + -8.0z <= 923.3
2.54x + 2.21y + -1.3z <= 444.09
-8.0x + 3.6y + 4.72z <= 122.82
-1.22x + -9.59y + 9.39z <= 694.38
-2.74x + 8.88y + -7.39z <= 733.5
-6.51x + 9.61y + 0.18z <= 150.13
