max 9.47x + 1.74y + -4.7z
0.13x + -2.78y + 6.4z <= 764.55
7.1x + 4.12y + -7.04z <= 691.05
9.88x + 7.19y + 3.68z <= 721.01
5.2x + 1.32y + -4.63z <= 305.06
-5.75x + -1.07y + -5.32z <= 292.8
-3.25x + -0.2y + -4.8z <= 860.49
-0.54x + -1.6y + -1.01z <= 147.02
-8.49x + 9.19y + 8.32z <= 440.06
-9.52x + 8.22y + -2.0z <= 983.71
-1.76x + -2.32y + 8.45z <= 390.51
8.27x + 6.02y + 8.72z <= 391.89
4.04x + 6.86y + 9.1z <= 976.17
-5.72x + -9.33y + -8.33z <= 631.31
1.08x + -4.14y + 4.1z <= 268.39
-7.16x + 8.68y + 2.94z <= 247.7
9.71x + -5.46y + -2.23z <= 575.34
1.08x + 9.44y + 5.02z <= 598.28
0.42x + -9.01y + 5.0z <= 812.19
-3.06x + 6.33y + 9.43z <= 191.73
-1.89x + -4.61y + 2.34z <= 744.44
-5.26x + 9.54y + -9.74z <= 323.09
-0.08x + -9.73y + -4.45z <= 914.46
5.64x + 6.52y + -0.68z <= 349.37
-0.64x + -5.2y + -3.92z <= 977.55
7.36x + 4.04y + -0.81z <= 230.99
2.8x + -2.38y + -2.96z <= 425.06
6.33x + 8.71y + 8.67z <= 180.61
5.07x + 7.02y + 5.18z <= 109.37
-9.75x + -3.34y + 5.6z <= 296.5
1.5x + 4.15y + 8.0z <= 329.77
8.86x + -8.75y + -0.77z <= 789.14
4.4x + -1.55y + -4.15z <= 658.57
-9.03x + 5.0y + -6.23z <= 149.93
9.24x + -2.25y + 1.84z <= 446.25
8.33x + 1.21y + 7.73z <= 460.2
-7.88x + 7.38y + 8.73z <= 228.09
-5.79x + -2.57y + 7.46z <= 395.78
4.01x + -7.25y + 0.84z <= 926.81
-5.84x + 0.96y + 1.48z <= 911.54
0.21x + -8.79y + -9.87z <= 662.0
0.7x + -0.08y + 1.12z <= 914.83
-3.94x + -0.61y + 7.96z <= 872.18
3.73x + -7.77y + 0.45z <= 981.56
-1.78x + -3.32y + 1.41z <= 268.78
0.18x + 2.16y + -0.97z <= 450.18
0.71x + -2.41y + 1.3z <= 600.53
-9.68x + 5.33y + -9.47z <= 466.46
5.04x + -8.27y + -0.78z <= 111.82
4.54x + -6.13y + -2.75z <= 142.96
-7.79x + -7.96y + 3.81z <= 567.67
-6.29x + 0.26y + 3.23z <= 856.01
-3.48x + -8.81y + -9.82z <= 622.67
7.5x + -1.78y + -8.22z <= 892.07
9.06x + 9.6y + -2.25z <= 792.73
8.06x + -3.01y + 3.99z <= 705.97
-9.2x + -7.92y + -2.48z <= 928.54
3.98x + 6.23y + -6.96z <= 815.46
-9.82x + -0.87y + 8.68z <= 913.89
2.79x + -2.53y + 0.73z <= 468.97
6.55x + -7.79y + -8.66z <= 544.03
7.58x + 9.33y + -1.64z <= 781.49
-3.55x + -1.49y + 1.77z <= 227.15
8.57x + -8.07y + 0.81z <= 361.7
-7.53x + -7.29y + 8.57z <= 300.5
7.9x + -2.03y + 2.19z <= 363.32
-3.22x + 6.6y + 3.71z <= 758.26
-7.46x + -7.99y + 3.97z <= 954.7
-5.16x + 0.34y + 7.4z <= 129.31
-9.06x + -2.14y + -3.54z <= 431.26
-2.59x + -9.28y + 3.6z <= 656.39
-3.99x + 8.01y + 5.32z <= 888.86
0.73x + -5.46y + 1.07z <= 184.42
8.19x + 6.05y + -3.71z <= 644.06
4.0x + 0.99y + 5.49z <= 697.35
-2.64x + 1.22y + 3.14z <= 399.61
-6.26x + 5.81y + 7.49z <= 288.19
3.69x + 6.05y + 7.63z <= 709.12
6.44x + 2.46y + 7.87z <= 797.54
-6.59x + 1.43y + 3.74z <= 151.48
9.91x + 0.74y + -5.8z <= 987.68
8.03x + 1.37y + -7.2z <= 874.4
-7.82x + 3.68y + 8.56z <= 645.01
-6.11x + -0.72y + -0.72z <= 127.63
1.42x + -7.16y + -2.01z <= 696.42
3.44x + 2.0y + -9.71z <= 444.0
-9.36x + 3.86y + -9.16z <= 867.31
6.13x + 8.16y + -6.8z <= 561.1
3.53x + 0.9y + 2.58z <= 627.03
-7.69x + 2.68y + -1.53z <= 489.4
9.58x + 6.37y + 8.07z <= 925.92
-4.67x + -1.2y + -1.85z <= 947.98
3.18x + -4.53y + -1.51z <= 657.87
1.42x + 1.32y + 0.8z <= 753.58
-2.95x + -9.42y + 3.46z <= 764.91
3.92x + -0.97y + 6.38z <= 655.73
3.57x + -2.63y + -0.21z <= 710.7
-0.83x + 4.0y + 4.76z <= 921.97
7.89x + 3.59y + -7.7z <= 359.81
8.15x + -9.0y + 0.9z <= 967.87
-9.37x + -7.15y + 2.73z <= 353.9
-9.69x + 0.66y + 9.7z <= 944.06
-4.52x + -0.42y + 3.93z <= 773.62
-0.82x + -6.12y + -9.55z <= 613.51
-0.02x + 9.61y + -0.63z <= 105.13
3.42x + -6.05y + 8.09z <= 364.9
-8.85x + -1.35y + -1.26z <= 866.12
-1.32x + 0.86y + 7.89z <= 555.11
-2.82x + -9.11y + -0.19z <= 455.07
-6.93x + -8.14y + -3.36z <= 996.57
5.03x + 9.16y + -8.53z <= 575.16
-6.68x + 2.4y + -1.94z <= 901.89
2.29x + -8.39y + -1.01z <= 423.25
-7.28x + -8.5y + -0.45z <= 734.01
-5.19x + -6.61y + -7.43z <= 150.81
-0.51x + 9.15y + -9.71z <= 200.13
-0.15x + 4.95y + -5.47z <= 276.85
7.21x + 4.48y + -3.18z <= 520.91
8.13x + -4.62y + 9.67z <= 622.41
-6.26x + -0.26y + -7.44z <= 548.67
0.89x + -7.2y + 0.17z <= 252.18
3.51x + 4.52y + -3.37z <= 771.17
4.52x + -3.99y + 6.42z <= 983.25
-9.75x + -0.71y + -7.17z <= 944.41
-1.01x + 7.92y + -8.64z <= 248.58
-2.0x + -5.99y + 9.45z <= 663.32
-6.56x + 9.94y + -6.47z <= 239.39
9.2x + -8.39y + -7.14z <= 643.09
-1.93x + 2.66y + 5.95z <= 957.15
7.49x + -2.35y + -8.57z <= 788.93
7.83x + 3.6y + -9.98z <= 578.66
4.48x + -2.45y + -7.65z <= 108.14
-6.87x + 2.29y + -5.12z <= 862.77
-7.5x + -9.39y + 7.51z <= 860.03
-1.23x + 9.12y + 2.0z <= 284.14
-3.72x + 2.47y + 5.71z <= 537.1
-4.07x + -3.06y + -5.92z <= 372.96
0.48x + 7.19y + 8.45z <= 969.87
9.65x + -0.01y + -2.17z <= 631.1
9.01x + -0.19y + 2.55z <= 229.38
-8.76x + 4.99y + -1.09z <= 694.58
5.73x + 9.48y + -5.12z <= 644.83
1.4x + 1.18y + -3.39z <= 567.07
-8.06x + -4.65y + -1.88z <= 975.17
-2.38x + 5.34y + 9.42z <= 479.11
-5.62x + -0.07y + 4.0z <= 555.73
-3.53x + -4.17y + -0.38z <= 913.66
2.2x + 2.77y + -5.03z <= 166.93
5.76x + 4.6y + -3.84z <= 514.15
-7.7x + -6.48y + 3.75z <= 256.15
5.64x + 2.71y + 1.88z <= 673.26
7.57x + -8.34y + 6.19z <= 786.41
-8.02x + -2.27y + -3.96z <= 969.9
0.45x + -5.34y + -5.62z <= 821.9
3.48x + 5.59y + 4.05z <= 567.18
4.66x + -4.03y + 7.24z <= 986.87
-5.91x + -3.48y + -4.92z <= 725.95
1.15x + 3.0y + -8.52z <= 453.37
-3.88x + -4.94y + 9.63z <= 572.05
-3.91x + -1.4y + 3.39z <= 111.37
-1.25x + -7.98y + 1.87z <= 536.54
1.63x + 8.6y + 3.88z <= 944.5
0.84x + 2.15y + -5.4z <= 675.98
-3.4x + -0.92y + -0.99z <= 505.32
6.7x + -4.95y + 2.24z <= 441.74
8.76x + 8.71y + -8.99z <= 257.83
6.96x + -2.01y + 8.2z <= 794.38
6.06x + 7.95y + -5.39z <= 358.43
-3.25x + 7.18y + 3.23z <= 681.7
1.89x + 4.48y + 9.64z <= 668.43
1.49x + -8.02y + -6.1z <= 838.93
-2.83x + -3.63y + 1.6z <= 710.97
6.38x + -8.7y + 6.44z <= 756.72
7.86x + 9.77y + 9.17z <= 247.28
4.35x + 0.81y + -3.16z <= 585.83
-0.46x + 6.57y + 5.36z <= 340.84
9.34x + 5.03y + 9.04z <= 260.01
9.26x + -7.32y + 3.75z <= 976.56
0.46x + 6.22y + 7.77z <= 769.4
-0.71x + -9.76y + 2.83z <= 922.75
-0.45x + 5.23y + -8.0z <= 269.24
2.72x + -1.3y + 9.37z <= 464.51
-6.6x + -2.12y + -5.03z <= 205.12
1.76x + 6.72y + 0.55z <= 543.82
3.12x + 6.63y + 2.55z <= 892.95
-7.15x + 5.78y + 8.55z <= 959.85
-1.85x + -5.08y + -9.72z <= 905.46
-2.65x + -9.5y + -2.27z <= 348.15
-2.24x + -5.11y + 9.85z <= 788.99
4.66x + 7.4y + 4.72z <= 563.87
1.69x + 6.8y + 5.54z <= 327.72
-5.0x + 0.66y + -4.51z <= 206.51
8.15x + -1.54y + -6.04z <= 885.25
-4.99x + 1.94y + -9.99z <= 306.61
8.62x + 3.45y + 6.52z <= 232.88
-6.07x + 5.15y + -7.66z <= 381.04
0.89x + 6.32y + -6.25z <= 762.31
2.47x + -3.04y + 2.43z <= 773.47
-2.88x + -3.51y + -1.24z <= 276.46
4.08x + 7.9y + -6.85z <= 398.72
6.49x + -8.74y + 8.58z <= 593.43
2.22x + 1.71y + 7.83z <= 828.68
2.76x + 3.47y + -6.07z <= 989.41
-3.32x + -7.3y + -6.85z <= 235.31
7.53x + -4.71y + -2.94z <= 799.32
-7.17x + -0.04y + -8.46z <= 906.67
-1.29x + -6.87y + 6.74z <= 468.69
-0.06x + -5.82y + -1.66z <= 203.57
-5.35x + -3.04y + -8.24z <= 538.78
-1.78x + -4.92y + -6.28z <= 734.81
7.17x + -9.7y + -1.39z <= 386.09
0.82x + -7.2y + -2.13z <= 122.78
-2.52x + -2.57y + -3.46z <= 417.93
2.97x + 2.77y + 1.55z <= 294.07
9.67x + 3.56y + 6.95z <= 415.74
-8.91x + 6.94y + 2.42z <= 371.83
8.94x + -7.52y + -7.72z <= 654.37
-0.94x + -7.29y + 2.81z <= 428.28
9.46x + 9.81y + 4.98z <= 971.65
-6.01x + 6.41y + -3.38z <= 160.15
5.81x + 9.37y + -4.13z <= 813.06
-3.24x + 4.42y + -2.05z <= 836.91
6.89x + 2.23y + -0.46z <= 110.07
7.43x + 2.61y + -6.65z <= 414.56
-4.95x + 8.44y + -0.99z <= 666.26
5.48x + 5.22y + 3.25z <= 878.83
-2.91x + 1.32y + -4.59z <= 437.73
5.43x + 1.29y + -1.63z <= 698.51
4.37x + 8.24y + -5.99z <= 849.36
4.86x + -4.5y + 2.54z <= 900.37
5.56x + 9.38y + -0.34z <= 703.22
3.27x + 0.4y + -5.18z <= 596.96
0.05x + 0.04y + 2.91z <= 722.04
7.93x + -0.38y + 1.39z <= 604.55
1.64x + 8.96y + -2.09z <= 568.54
6.96x + 7.33y + 5.7z <= 436.45
9.37x + 4.87y + 9.67z <= 332.22
7.4x + 2.82y + 4.92z <= 527.72
1.25x + 4.96y + -9.83z <= 687.93
-7.03x + 0.05y + 9.8z <= 430.99
8.51x + 6.72y + 4.44z <= 914.78
-7.81x + 3.55y + 1.51z <= 390.73
-6.79x + -5.89y + 0.03z <= 712.84
2.95x + 1.51y + -6.83z <= 925.65
2.26x + 3.86y + 2.86z <= 546.92
3.65x + 8.69y + 9.25z <= 482.3
-9.77x + -3.15y + 1.69z <= 627.94
-0.42x + 2.29y + 8.38z <= 829.61
-4.52x + -9.53y + -9.08z <= 752.58
2.54x + 7.12y + -1.96z <= 165.48
3.03x + 6.14y + -8.14z <= 907.0
-3.3x + 3.5y + -8.69z <= 191.04
-0.21x + 8.02y + 4.85z <= 925.71
-6.99x + -2.05y + 6.81z <= 508.92
9.33x + -5.38y + 7.73z <= 578.75
-8.51x + -4.73y + -4.24z <= 856.99
0.71x + -0.61y + 5.44z <= 379.76
-2.39x + -3.55y + 0.81z <= 166.65
-7.55x + 5.57y + -3.34z <= 877.73
-3.69x + -3.58y + 8.13z <= 337.71
3.08x + -1.92y + 7.21z <= 952.29
-6.72x + 4.94y + -4.71z <= 928.57
3.91x + 3.01y + -5.21z <= 292.5
-6.52x + 2.24y + 9.39z <= 144.74
-8.72x + 5.1y + -7.98z <= 626.84
-1.56x + -9.69y + 0.16z <= 442.7
-9.91x + -2.22y + 8.3z <= 202.49
-8.39x + 2.43y + -9.44z <= 561.71
-8.88x + 2.77y + 0.42z <= 940.2
2.81x + -8.63y + -9.05z <= 897.88
-4.7x + -2.49y + -4.45z <= 983.98
-3.19x + 3.52y + 5.16z <= 414.18
6.92x + 8.86y + 1.07z <= 409.06
8.93x + -0.55y + 3.05z <= 647.15
5.86x + 5.37y + 5.98z <= 272.88
2.45x + -5.34y + 4.63z <= 256.04
-3.03x + -1.98y + 6.64z <= 757.72
6.0x + 9.39y + 8.18z <= 508.14
7.8x + 1.92y + -1.06z <= 138.76
8.74x + -0.91y + -2.32z <= 964.29
8.23x + -2.63y + -4.42z <= 193.5
1.34x + -7.14y + 9.21z <= 988.81
5.08x + -8.82y + -4.79z <= 597.22
-8.4x + -2.08y + -9.92z <= 189.2
-7.99x + -2.33y + 2.12z <= 893.98
-9.11x + -5.37y + 0.46z <= 862.43
5.39x + -9.8y + -8.82z <= 521.5
-4.28x + 4.32y + 8.14z <= 680.06
-3.41x + 4.44y + -0.79z <= 776.93
-1.22x + 9.95y + -5.82z <= 371.37
-7.82x + 7.83y + -4.64z <= 323.48
4.41x + 6.24y + -0.71z <= 838.11
1.5x + 1.19y + -4.77z <= 835.77
-8.36x + 3.79y + 4.3z <= 328.85
3.84x + -7.13y + 9.47z <= 203.87
-3.24x + 6.44y + 3.54z <= 743.27
6.04x + -5.84y + -8.59z <= 122.81
-7.44x + 1.96y + -4.14z <= 129.06
-0.7x + -7.29y + -4.5z <= 189.78
-7.11x + 4.89y + -1.51z <= 974.62
-1.55x + 5.3y + 3.8z <= 851.95
4.27x + 0.41y + -0.98z <= 341.71
4.81x + 8.1y + 7.27z <= 615.85
-4.55x + -9.66y + 8.95z <= 360.26
3.56x + -5.25y + 0.02z <= 356.68
6.27x + 3.53y + 9.15z <= 109.27
-8.61x + -9.57y + 2.35z <= 941.41
8.0x + -8.35y + -5.94z <= 806.41
-9.42x + 5.91y + -1.12z <= 550.51
-4.35x + -5.84y + -4.12z <= 238.47
-5.3x + 2.73y + 3.3z <= 562.5
-5.32x + -0.2y + 9.28z <= 923.56
1.42x + 9.62y + 0.49z <= 920.84
1.36x + 9.12y + 4.05z <= 945.04
8.2x + -4.27y + 2.69z <= 737.62
-7.72x + 9.25y + -8.33z <= 505.01
3.52x + -7.89y + 1.36z <= 121.9
-1.29x + -7.4y + -5.99z <= 111.72
2.63x + -9.15y + -1.25z <= 180.61
5.7x + -4.44y + -0.62z <= 943.37
-4.32x + 8.44y + 7.11z <= 615.26
5.63x + -6.02y + 4.87z <= 867.81
-1.13x + -6.54y + 1.0z <= 506.08
-1.19x + 2.91y + 2.74z <= 954.77
7.77x + 8.38y + -2.32z <= 486.21
-0.91x + 9.72y + -4.9z <= 320.15
-9.36x + -0.4y + -7.42z <= 735.88
2.3x + -5.77y + 7.08z <= 302.71
6.29x + 1.17y + -4.74z <= 295.32
3.04x + 6.75y + -2.32z <= 765.5
-9.49x + -8.71y + -7.61z <= 976.67
9.96x + -6.05y + 6.24z <= 719.37
5.36x + 3.0y + -9.93z <= 767.91
4.68x + 6.88y + 9.67z <= 295.54
1.0x + -1.44y + -0.39z <= 367.78
8.68x + -2.39y + -4.95z <= 640.97
-0.54x + 2.62y + 8.47z <= 380.72
1.46x + -6.24y + -0.26z <= 827.29
-8.4x + 4.36y + -1.57z <= 862.11
-4.52x + -2.96y + 8.9z <= 547.78
5.34x + -7.38y + -2.05z <= 753.35
-7.44x + -6.29y + -0.55z <= 782.85
-4.46x + -9.48y + 8.41z <= 395.56
-7.76x + -2.04y + -2.05z <= 554.58
-5.03x + -9.08y + 8.08z <= 809.02
-1.34x + 2.31y + 5.22z <= 167.67
-3.75x + -5.98y + 7.27z <= 364.82
-5.17x + 9.72y + -6.92z <= 417.63
9.61x + -3.17y + 7.32z <= 869.59
8.12x + -3.0y + 5.94z <= 772.77
4.35x + 1.78y + -4.96z <= 764.68
-1.94x + 4.33y + 3.02z <= 649.72
5.78x + 2.37y + -1.0z <= 616.19
6.2x + -1.38y + -2.97z <= 640.85
-9.0x + -2.94y + -2.75z <= 797.27
8.48x + -9.21y + 6.44z <= 570.61
-1.19x + -0.86y + -2.24z <= 347.11
-0.61x + -0.17y + -0.09z <= 339.28
-0.49x + -7.18y + -0.92z <= 919.57
-5.24x + 7.98y + 3.92z <= 947.25
-1.66x + 2.61y + -6.45z <= 489.97
4.17x + 7.83y + -4.84z <= 274.08
-0.39x + 4.17y + -3.96z <= 675.07
1.39x + -3.88y + 6.19z <= 587.48
-1.79x + 0.6y + 8.68z <= 142.66
2.31x + 2.79y + 6.92z <= 969.82
2.64x + -2.06y + -6.29z <= 350.76
0.14x + -8.23y + -5.79z <= 217.11
-9.66x + -9.85y + -0.31z <= 959.96
0.41x + -0.24y + -9.87z <= 705.29
2.54x + -7.05y + -1.98z <= 530.69
7.77x + -8.11y + 8.11z <= 914.76
-5.84x + -9.72y + -2.43z <= 102.08
8.21x + 8.94y + -2.46z <= 967.74
8.31x + -0.43y + 7.89z <= 539.89
4.91x + -4.0y + -5.18z <= 159.98
6.11x + 4.13y + -3.62z <= 728.42
6.59x + 0.18y + 5.52z <= 334.83
9.62x + -5.47y + -9.31z <= 688.1
-9.83x + -8.43y + -9.88z <= 500.78
4.16x + 4.5y + 9.24z <= 716.29
-9.76x + -3.6y + -0.81z <= 435.83
-2.42x + -1.2y + -3.37z <= 774.62
-5.52x + -4.98y + 1.78z <= 365.78
-0.28x + -5.03y + -7.27z <= 449.14
1.23x + 6.62y + 1.19z <= 290.15
6.66x + 3.61y + -6.55z <= 929.26
-6.59x + 4.27y + 2.59z <= 764.27
-4.67x + -9.78y + 0.93z <= 280.67
-0.48x + 2.29y + -0.66z <= 558.86
-4.74x + -2.66y + -7.43z <= 677.33
3.41x + 2.78y + 3.84z <= 209.32
-2.21x + 3.86y + -2.18z <= 599.73
2.73x + 4.94y + 9.93z <= 486.07
5.64x + -8.3y + -8.44z <= 837.86
-6.46x + 2.92y + 7.39z <= 419.12
3.77x + 0.31y + -0.93z <= 623.2
7.95x + 9.68y + 5.87z <= 999.77
-5.16x + 7.08y + 3.96z <= 271.7
1.72x + -8.12y + 4.79z <= 714.22
-6.5x + 6.92y + 6.81z <= 975.46
6.79x + -7.61y + 2.48z <= 250.48
-5.4x + 2.12y + 8.05z <= 802.74
2.59x + -4.74y + 5.42z <= 957.44
-6.91x + 3.92y + -3.96z <= 728.24
-5.76x + -0.79y + -1.95z <= 119.79
-7.09x + 0.94y + -4.21z <= 716.53
6.84x + 8.85y + -7.74z <= 440.22
-8.67x + 4.44y + -6.88z <= 148.81
-6.74x + -5.73y + -7.17z <= 664.71
5.51x + -1.87y + 1.63z <= 399.8
-2.07x + -1.0y + -4.38z <= 127.17
3.6x + -5.61y + 4.23z <= 320.06
9.41x + 0.34y + -8.68z <= 513.78
-2.4x + 8.49y + 7.21z <= 959.53
-2.57x + 2.41y + -9.13z <= 461.77
6.37x + -8.34y + -1.94z <= 723.89
-3.42x + 1.36y + -2.16z <= 294.8
-1.54x + 7.58y + 1.15z <= 818.34
5.83x + -7.87y + 2.52z <= 651.7
-6.17x + -3.64y + -5.92z <= 942.68
-8.01x + -7.55y + 5.68z <= 937.08
-0.11x + -1.32y + -3.6z <= 837.55
-5.42x + -2.31y + -5.8z <= 108.3
-2.48x + -4.82y + -5.77z <= 433.16
4.85x + -1.0y + -4.39z <= 620.01
7.52x + -4.08y + 2.47z <= 508.38
6.97x + -5.85y + 5.19z <= 935.67
4.56x + -0.51y + 8.46z <= 578.21
2.43x + -4.6y + 5.46z <= 622.92
1.65x + 1.86y + -5.57z <= 537.38
5.75x + -8.8y + -3.2z <= 342.42
7.04x + 9.25y + -3.49z <= 637.81
-2.4x + 1.89y + -1.35z <= 601.22
6.34x + 4.49y + 0.1z <= 317.09
5.91x + 9.23y + -1.96z <= 144.55
-3.97x + 6.26y + -8.33z <= 903.77
7.3x + 8.59y + -7.62z <= 604.35
0.51x + 5.96y + -7.92z <= 452.85
-6.47x + 8.29y + 8.02z <= 498.64
-4.37x + -7.06y + 2.36z <= 689.98
7.75x + 9.06y + -7.41z <= 691.07
8.72x + 1.44y + -8.33z <= 914.36
3.56x + -4.29y + 8.08z <= 944.3
-6.2x + -5.75y + 1.2z <= 541.79
8.62x + -6.6y + -0.68z <= 471.36
5.66x + 8.2y + 3.51z <= 992.36
-8.39x + 7.79y + -3.73z <= 950.55
-4.45x + 8.98y + -4.96z <= 221.76
8.09x + -4.78y + -3.92z <= 162.36
-1.01x + 7.15y + -2.11z <= 196.27
-5.41x + -0.4y + 2.45z <= 192.32
-5.48x + 8.35y + -0.81z <= 578.38
0.23x + -2.41y + -4.58z <= 548.09
3.77x + 7.76y + -7.82z <= 472.67
-9.28x + -3.9y + 9.01z <= 917.52
0.82x + -2.91y + 9.46z <= 808.84
5.33x + 7.81y + 8.36z <= 755.66
-2.66x + -2.24y + -6.69z <= 456.2
-5.38x + -9.1y + -6.51z <= 319.51
-5.3x + -3.23y + 0.95z <= 770.99
-0.22x + 8.64y + -7.08z <= 799.94
-3.12x + 8.85y + 2.34z <= 310.93
7.31x + 5.63y + 8.59z <= 154.87
1.46x + -8.81y + 0.55z <= 445.72
4.54x + 8.06y + 0.38z <= 325.09
0.42x + 4.85y + 7.73z <= 353.22
9.6x + -1.46y + 8.82z <= 205.04
1.35x + 0.54y + 9.29z <= 914.17
-6.99x + -2.48y + -1.73z <= 766.02
-8.42x + 4.77y + 7.37z <= 542.91
9.11x + 0.8y + 1.68z <= 718.58
-2.93x + 3.55y + -8.22z <= 623.52
4.25x + 7.21y + 7.72z <= 554.67
9.46x + 0.24y + 8.38z <= 641.41
-8.57x + -0.21y + 2.72z <= 642.6
5.88x + -8.75y + 2.45z <= 246.01
3.4x + 5.89y + 7.1z <= 537.91
3.68x + -4.5y + -9.17z <= 855.58
-2.03x + -4.24y + -5.89z <= 579.86
-9.83x + 3.31y + 5.97z <= 362.28
-3.45x + 0.09y + 1.4z <= 363.33
-1.44x + -9.03y + -8.66z <= 671.5
-8.91x + -0.46y + -8.82z <= 326.13
-2.2x + 8.67y + -8.61z <= 778.87
-9.47x + 3.69y + -1.53z <= 356.46
0.4x + -4.43y + -3.09z <= 128.56
-5.06x + 6.23y + -6.64z <= 262.47
4.97x + -6.78y + 8.07z <= 515.74
1.85x + 9.29y + -3.21z <= 188.47
8.29x + 4.5y + -6.31z <= 238.87
2.37x + -1.86y + 9.43z <= 642.11
0.03x + 0.06y + 5.49z <= 272.62
-2.35x + -2.84y + 5.76z <= 152.94
-1.2x + 1.2y + -3.47z <= 292.99
4.17x + 4.35y + -3.27z <= 776.32
-4.73x + -2.57y + 7.31z <= 551.71
-7.06x + 3.14y + -3.04z <= 368.45
6.24x + 1.59y + 3.88z <= 382.35
-8.47x + -4.04y + -8.42z <= 434.37
9.2x + 6.45y + 6.89z <= 630.55
-9.78x + 1.7y + 9.23z <= 483.92
7.27x + -4.47y + 5.66z <= 336.76
-1.3x + -0.79y + -8.91z <= 262.74
-1.71x + 9.89y + -0.76z <= 690.18
-5.91x + -9.07y + 9.1z <= 319.46
3.57x + -4.37y + -5.09z <= 640.12
-1.86x + 1.74y + 3.52z <= 930.85
4.87x + -7.33y + -3.02z <= 978.92
5.99x + -1.62y + 3.07z <= 303.3
-3.15x + 7.56y + -1.38z <= 505.37
9.55x + 2.04y + 6.81z <= 638.71
-5.54x + -3.55y + -8.68z <= 407.87
1.1x + -8.47y + 7.5z <= 137.05
7.71x + 2.2y + -6.94z <= 469.66
-2.64x + 8.55y + 6.9z <= 991.81
-7.18x + -7.35y + 8.37z <= 394.76
-2.25x + 9.73y + -4.68z <= 795.59
-0.44x + -0.47y + -5.86z <= 269.75
4.23x + -9.16y + 1.35z <= 926.08
-8.44x + -5.77y + -4.82z <= 382.22
7.48x + -6.81y + -9.21z <= 965.25
9.89x + -4.32y + 8.46z <= 548.89
2.39x + -9.58y + -7.39z <= 899.03
-7.31x + 7.69y + 9.61z <= 233.94
-8.72x + -4.89y + 3.41z <= 669.05
9.85x + 5.48y + -8.49z <= 373.23
1.51x + -8.13y + -3.93z <= 760.62
6.32x + -4.82y + 1.71z <= 359.15
8.46x + 2.65y + -1.37z <= 547.85
2.14x + -5.54y + -9.51z <= 454.18
-2.03x + 2.87y + 3.05z <= 145.03
-8.7x + -9.97y + 7.85z <= 790.32
-6.15x + 8.51y + 8.4z <= 867.28
-8.67x + -9.64y + 9.79z <= 140.26
-9.24x + 8.29y + -5.38z <= 372.84
8.98x + -1.49y + -2.76z <= 854.75
-7.9x + 2.39y + -9.77z <= 641.08
9.65x + 0.52y + -3.17z <= 457.69
-2.39x + 9.97y + -0.96z <= 961.58
-1.27x + -3.59y + -9.21z <= 992.46
6.25x + 7.78y + 1.71z <= 224.84
6.66x + -7.52y + -5.53z <= 684.63
-0.43x + 4.41y + 6.3z <= 817.82
7.64x + 6.96y + -2.7z <= 420.25
-2.0x + -5.19y + -0.8z <= 653.35
3.14x + -4.35y + 4.52z <= 108.7
0.83x + 0.88y + 0.89z <= 226.07
0.94x + 6.19y + 7.91z <= 356.94
6.45x + -7.0y + 5.5z <= 194.84
-1.38x + 2.55y + 8.51z <= 125.23
7.59x + -3.22y + -9.34z <= 470.44
-1.26x + 1.74y + -6.17z <= 251.35
-0.36x + 1.51y + 5.03z <= 427.46
7.66x + -7.85y + 4.64z <= 658.68
-9.79x + 2.98y + 9.15z <= 489.96
-1.0x + -4.39y + -5.24z <= 935.71
5.71x + 1.08y + 1.34z <= 720.23
-6.21x + 1.2y + -2.52z <= 946.98
6.55x + -4.14y + -0.66z <= 704.68
3.15x + 4.69y + 0.38z <= 652.03
-6.0x + -5.56y + 9.89z <= 864.72
2.59x + -1.55y + 9.69z <= 586.84
7.47x + -1.23y + -6.54z <= 137.8
-3.91x + 0.41y + 8.62z <= 952.2
7.2x + -6.23y + 7.76z <= 689.82
-5.61x + 2.55y + -3.17z <= 932.05
2.76x + 7.5y + -6.22z <= 868.52
-2.65x + -8.5y + -6.07z <= 872.4
1.61x + 4.27y + -0.61z <= 984.44
-2.19x + -1.6y + -3.22z <= 923.88
-6.44x + -4.6y + -1.35z <= 491.46
7.13x + 6.26y + 1.43z <= 414.2
-0.44x + -2.08y + 2.47z <= 951.9
1.49x + 7.04y + -8.9z <= 379.9
-0.52x + 1.5y + -4.73z <= 781.5
-6.37x + 0.9y + -6.83z <= 894.72
7.47x + -3.91y + -2.17z <= 826.11
0.02x + -4.23y + 9.18z <= 330.55
4.37x + 7.53y + 2.79z <= 538.42
-6.08x + 1.38y + -6.14z <= 458.64
-1.16x + 6.51y + -0.29z <= 214.22
1.38x + -2.77y + 8.89z <= 546.53
7.68x + 6.83y + 9.47z <= 572.89
7.8x + 0.39y + -1.28z <= 186.88
9.15x + 2.95y + 7.17z <= 822.98
-8.1x + 3.69y + -0.53z <= 196.94
-9.65x + 8.32y + -1.43z <= 261.71
7.02x + -0.7y + -7.69z <= 254.94
4.92x + 8.53y + 2.49z <= 927.82
-9.69x + 2.67y + 9.04z <= 593.31
-2.3x + 2.73y + -2.26z <= 773.58
2.4x + -5.02y + -9.59z <= 446.21
6.53x + -2.96y + 5.39z <= 227.98
6.8x + 4.38y + -4.72z <= 899.3
2.44x + -9.36y + 8.56z <= 669.49
