max -7.92x + -0.77y + -8.39z
-6.8x + -9.83y + 4.2z <= 990.02
3.31x + -2.39y + 0.44z <= 301.42
3.62x + 8.31y + 1.79z <= 215.66
4.76x + -6.07y + 9.6z <= 371.41
5.48x + 1.28y + 4.0z <= 337.57
-9.74x + -3.71y + -5.23z <= 133.45
-0.18x + 4.58y + -7.15z <= 539.73
0.48x + 5.18y + 6.08z <= 637.19
-6.98x + 1.97y + 0.31z <= 831.69
9.03x + 8.5y + -8.8z <= 980.5
-3.45x + -7.7y + -1.86z <= 290.58
-7.61x + 8.07y + 7.89z <= 133.33
3.93x + -3.63y + -9.37z <= 484.05
-5.99x + -5.99y + 4.49z <= 832.05
-2.6x + -4.39y + 8.6z <= 894.48
-4.28x + -6.66y + -5.99z <= 610.28
1.71x + -4.53y + -4.77z <= 154.41
-1.51x + -6.59y + 1.47z <= 901.14
9.95x + 4.13y + 7.29z <= 395.57
1.14x + 4.77y + 7.13z <= 533.04
2.08x + 6.8y + -9.24z <= 295.62
4.96x + 7.82y + -2.04z <= 749.25
5.96x + 5.72y + 1.67z <= 974.51
-2.03x + -4.65y + 8.81z <= 699.59
3.26x + 0.74y + -6.64z <= 906.0
-6.93x + 6.44y + -6.7z <= 515.17
0.98x + 5.57y + 5.36z <= 357.77
-1.76x + 8.73y + 0.83z <= 817.55
-8.01x + 5.8y + 0.11z <= 971.32
5.34x + 8.59y + 2.29z <= 624.62
-9.1x + 5.23y + 4.12z <= 540.46
-3.18x + -4.77y + -0.73z <= 926.53
4.01x + 3.26y + -9.32z <= 923.95
-8.93x + -4.37y + -2.54z <= 571.35
3.73x + -0.58y + 5.48z <= 224.86
7.36x + -5.37y + 0.58z <= 936.13
-9.96x + -2.5y + 6.0z <= 324.85
-2.27x + 6.23y + -9.39z <= 963.46
-6.61x + -8.87y + 3.79z <= 541.48
-6.29x + 8.97y + -1.27z <= 171.73
4.92x + -0.83y + 1.88z <= 389.8
-6.11x + -8.97y + 4.83z <= 654.17
8.17x + 4.12y + 3.52z <= 671.96
1.46x + 9.9y + 6.07z <= 409.21
-3.87x + -7.02y + 7.07z <= 879.76
6.99x + -8.48y + -2.96z <= 307.64
3.37x + -2.66y + -3.08z <= 393.25
-7.95x + -4.93y + 2.69z <= 868.44
-2.67x + 6.57y + 5.12z <= 134.55
2.47x + 0.48y + 4.13z <= 906.97
6.65x + 6.11y + 4.46z <= 850.26
1.34x + -5.59y + 9.52z <= 916.43
-0.46x + 7.56y + -9.85z <= 922.96
7.87x + 3.59y + 2.69z <= 702.79
-5.75x + 3.31y + -9.75z <= 576.65
7.71x + -2.77y + -5.97z <= 266.15
-8.56x + -3.57y + -0.79z <= 344.74
-6.45x + 6.48y + 9.35z <= 512.17
3.6x + 1.64y + 3.64z <= 889.32
-5.95x + -0.72y + 3.06z <= 697.69
2.49x + -4.66y + 4.72z <= 901.93
2.55x + -5.99y + 2.21z <= 832.87
2.14x + 5.12y + -9.65z <= 534.38
-2.14x + -8.01y + -3.15z <= 612.07
9.87x + 1.29y + 0.08z <= 588.88
-1.83x + 7.24y + 4.34z <= 505.41
3.34x + -3.72y + 0.9z <= 335.87
7.98x + 7.51y + 0.3z <= 537.75
-0.62x + -2.88y + -5.09z <= 556.32
-6.9x + -0.04y + 0.28z <= 195.35
-5.42x + 3.75y + 5.7z <= 572.26
7.73x + 0.07y + 3.03z <= 534.13
1.57x + -2.53y + -9.59z <= 861.55
6.78x + 7.41y + 9.24z <= 215.91
-6.32x + 8.7y + 8.44z <= 468.59
-4.17x + -1.94y + 7.45z <= 285.65
-8.45x + 9.11y + -0.7z <= 785.62
3.46x + -2.7y + 7.41z <= 385.92
4.55x + 5.23y + -5.36z <= 851.5
-0.99x + -8.57y + 1.91z <= 265.48
-5.15x + -1.63y + -7.95z <= 371.75
-4.06x + 8.45y + 1.91z <= 890.77
-5.59x + -5.57y + 1.16z <= 503.22
1.62x + -2.41y + 9.42z <= 755.19
0.07x + 5.73y + -9.64z <= 212.44
3.15x + 2.49y + -0.96z <= 162.09
1.49x + -0.19y + -2.83z <= 666.37
-0.05x + -9.4y + 9.48z <= 651.88
-5.66x + -7.48y + -2.54z <= 712.21
-4.8x + -3.9y + -9.91z <= 247.22
-2.91x + -6.5y + -6.27z <= 777.28
8.45x + -2.42y + -4.58z <= 555.21
-5.89x + 6.89y + 2.14z <= 960.41
8.23x + 0.64y + -7.57z <= 513.05
8.63x + 6.67y + -9.91z <= 984.33
9.2x + 6.64y + 9.92z <= 304.41
-1.69x + 1.18y + -6.03z <= 420.92
3.66x + 0.62y + 3.67z <= 488.74
1.58x + 6.52y + 1.55z <= 707.04
9.61x + -7.33y + 3.37z <= 292.95
1.97x + 9.64y + 3.01z <= 910.82
4.6x + -4.95y + -7.69z <= 154.98
9.94x + 7.37y + 7.55z <= 108.56
0.92x + 3.11y + -2.07z <= 836.56
-4.97x + 4.83y + 7.52z <= 966.77
0.74x + -7.95y + -4.73z <= 653.64
1.46x + 6.64y + 7.44z <= 158.79
0.83x + 9.25y + -0.11z <= 258.77
-1.12x + -6.33y + -3.45z <= 554.12
0.06x + 1.07y + 0.49z <= 443.51
-1.31x + -7.25y + -1.31z <= 431.65
-1.73x + -0.04y + 7.68z <= 573.96
-8.38x + 0.77y + -9.22z <= 543.87
-0.44x + 1.41y + -7.37z <= 574.78
-2.75x + -3.86y + 4.02z <= 928.96
-4.03x + -6.19y + 9.7z <= 215.43
2.26x + 4.33y + -9.76z <= 530.6
-6.55x + 7.25y + 8.6z <= 296.93
-3.26x + 6.1y + 5.16z <= 599.04
-9.43x + 5.5y + -3.51z <= 494.64
1.04x + -8.7y + -4.74z <= 181.22
6.05x + 3.1y + -4.87z <= 118.76
-4.91x + 8.41y + -2.86z <= 127.09
4.69x + -4.97y + -8.2z <= 823.13
4.81x + -2.68y + -5.61z <= 702.35
6.83x + -4.09y + 8.57z <= 977.18
3.49x + -0.4y + 8.2z <= 493.99
5.18x + 7.34y + -1.41z <= 382.53
-7.78x + -4.72y + -0.96z <= 458.43
2.63x + 5.34y + 3.82z <= 901.33
7.75x + -8.68y + -8.36z <= 198.69
0.91x + -2.29y + -4.33z <= 438.37
-9.99x + -2.98y + 6.31z <= 814.48
5.66x + -4.05y + 8.1z <= 180.65
-3.85x + 8.24y + 8.47z <= 790.17
5.85x + -8.84y + -5.81z <= 204.91
0.64x + 3.15y + -7.23z <= 175.45
-4.06x + 7.85y + -4.55z <= 975.89
6.53x + -6.56y + -7.2z <= 357.83
-9.26x + 2.91y + -9.26z <= 815.82
-1.11x + -0.65y + 3.87z <= 599.59
-6.97x + -3.91y + 7.21z <= 151.26
6.62x + 2.81y + 5.97z <= 781.17
-1.14x + 2.48y + 9.57z <= 338.19
-8.18x + 3.1y + -4.73z <= 749.89
8.66x + -2.38y + -6.15z <= 368.75
-7.57x + -4.04y + -0.48z <= 942.56
-0.72x + -0.31y + 1.8z <= 539.78
-4.84x + 0.71y + -8.59z <= 555.28
-8.96x + -0.54y + -0.57z <= 293.26
-1.96x + -8.47y + -7.99z <= 375.1
-4.16x + -8.74y + 8.12z <= 726.43
9.64x + -6.29y + 4.35z <= 300.68
-1.77x + -6.83y + 1.68z <= 567.78
2.7x + -8.95y + 0.14z <= 309.98
6.65x + -2.7y + 1.91z <= 151.75
-3.7x + 7.42y + 9.33z <= 222.3
-8.33x + 3.54y + -8.54z <= 678.46
-9.47x + -9.16y + 6.0z <= 197.5
5.74x + 6.41y + -6.71z <= 346.49
-1.32x + -6.26y + 5.48z <= 678.66
-4.65x + -4.95y + -4.26z <= 868.91
5.14x + -2.92y + 6.99z <= 432.54
-3.83x + -8.19y + 6.79z <= 650.27
-5.55x + -0.67y + 9.3z <= 531.67
8.79x + -2.04y + 0.23z <= 721.02
-8.06x + 4.58y + -0.84z <= 474.25
3.17x + 8.02y + -0.91z <= 273.3
4.96x + 0.89y + -7.87z <= 840.43
1.2x + 4.61y + -1.76z <= 760.94
-2.56x + -5.5y + -7.93z <= 434.83
-1.48x + -2.46y + 7.14z <= 646.65
8.65x + 1.08y + 8.91z <= 489.72
-4.38x + 2.45y + -1.27z <= 897.14
-6.43x + -5.89y + -4.07z <= 473.54
-6.44x + -7.24y + 8.0z <= 585.75
7.77x + -2.58y + 7.81z <= 766.33
-1.53x + 5.68y + -1.68z <= 375.88
-7.18x + 9.69y + -7.42z <= 906.63
4.97x + -0.07y + 3.38z <= 365.43
6.33x + 1.08y + -4.33z <= 182.5
2.72x + -7.72y + -6.99z <= 497.36
7.77x + -0.97y + -9.87z <= 653.94
-5.9x + 9.84y + -1.34z <= 782.37
-3.9x + -2.7y + -8.97z <= 654.33
-2.75x + -5.92y + -0.89z <= 329.09
6.51x + 8.06y + -4.23z <= 816.25
-7.4x + -9.77y + -8.99z <= 467.41
9.45x + 2.67y + 2.78z <= 419.67
9.33x + -9.27y + 9.3z <= 409.37
3.15x + -4.58y + -2.0z <= 204.84
4.29x + -9.83y + 7.53z <= 922.9
1.27x + -5.38y + 7.2z <= 387.97
-5.06x + -1.25y + -0.87z <= 877.66
-3.36x + -5.52y + -1.61z <= 690.14
-7.23x + 8.59y + -6.02z <= 501.91
10.0x + -0.52y + 6.2z <= 334.26
0.06x + -1.31y + 0.88z <= 192.45
-2.33x + -4.82y + 7.46z <= 130.82
-4.38x + -5.23y + -9.24z <= 819.84
-4.39x + -5.17y + -5.55z <= 212.34
2.16x + 5.37y + -6.59z <= 784.93
-8.51x + -8.83y + -2.39z <= 257.5
-2.89x + 9.91y + -1.56z <= 186.0
-9.64x + -1.35y + -4.24z <= 218.9
-5.94x + 8.33y + -7.62z <= 922.38
-4.97x + -4.74y + 9.6z <= 362.64
-8.55x + 4.83y + 0.3z <= 555.22
-3.73x + 0.12y + -7.01z <= 768.04
-8.05x + -8.45y + 1.46z <= 187.96
-3.78x + 8.71y + -3.88z <= 368.63
-9.13x + -7.39y + 9.84z <= 256.02
-8.59x + 9.89y + 6.55z <= 219.41
3.98x + 8.47y + 4.37z <= 757.19
9.78x + -3.59y + 7.59z <= 284.84
-0.97x + -4.55y + -6.21z <= 398.61
2.71x + -4.79y + 6.81z <= 230.63
-3.98x + 2.05y + 1.06z <= 724.55
-3.72x + -9.7y + 0.97z <= 613.39
-0.39x + 2.26y + -5.69z <= 747.12
-7.8x + -5.98y + 9.79z <= 666.44
-0.02x + -5.07y + 6.37z <= 102.61
0.64x + 8.01y + -5.51z <= 829.16
-9.13x + 1.67y + -8.71z <= 144.83
7.55x + -7.48y + 9.87z <= 667.73
2.16x + 7.05y + 9.59z <= 810.7
5.94x + -6.46y + 1.46z <= 412.52
-5.78x + -1.03y + 3.67z <= 835.67
4.12x + 8.08y + -6.08z <= 971.88
-8.42x + -5.97y + -4.66z <= 973.87
6.85x + 3.58y + -3.26z <= 621.09
-8.79x + -0.12y + -7.72z <= 798.52
4.78x + 1.8y + 8.05z <= 273.63
6.79x + -4.65y + -0.7z <= 878.89
-2.31x + 8.77y + -6.86z <= 989.27
-4.36x + -6.11y + -8.35z <= 970.88
-5.28x + 2.21y + 5.51z <= 923.57
-7.79x + -2.02y + -5.55z <= 223.89
0.72x + 9.02y + -7.8z <= 422.25
1.38x + -9.65y + 0.41z <= 808.8
-9.64x + -8.95y + 3.74z <= 220.29
8.81x + -7.13y + 7.62z <= 617.64
-4.04x + -0.55y + 5.65z <= 971.45
7.02x + 9.46y + -2.89z <= 732.06
2.41x + -0.75y + 4.72z <= 774.06
4.22x + 4.25y + -7.48z <= 350.05
6.2x + 6.71y + -9.45z <= 804.13
-8.95x + -1.76y + 3.38z <= 106.39
-7.75x + -0.53y + -6.04z <= 199.23
-8.49x + -8.38y + -9.97z <= 696.5
2.17x + -3.02y + 4.01z <= 318.34
9.77x + 1.57y + 2.24z <= 683.18
9.21x + -7.37y + 3.7z <= 511.13
7.69x + 5.11y + -3.14z <= 938.98
-6.55x + 5.1y + 0.83z <= 394.52
-7.86x + -9.5y + -4.33z <= 258.25
5.48x + -5.02y + -7.6z <= 123.55
-4.94x + 7.83y + -4.06z <= 440.6
-1.45x + -1.19y + 3.4z <= 900.18
5.11x + -4.24y + 0.69z <= 406.17
-8.21x + -8.31y + 2.38z <= 942.73
-5.82x + 8.42y + -0.14z <= 244.55
7.22x + 2.27y + 0.83z <= 131.92
1.84x + 7.26y + -0.26z <= 616.89
2.72x + -4.6y + 4.85z <= 717.93
-2.41x + 6.52y + 2.57z <= 557.75
-9.19x + 7.47y + -1.51z <= 170.32
8.16x + -0.59y + 9.05z <= 719.79
-4.9x + 2.82y + 8.75z <= 750.93
-5.69x + 2.25y + 1.96z <= 682.67
-5.8x + -5.63y + -0.54z <= 197.27
6.0x + 7.28y + -2.74z <= 922.11
0.11x + 3.25y + 10.0z <= 616.04
-7.85x + -7.64y + 9.93z <= 633.17
-5.38x + 2.67y + 5.3z <= 360.17
2.74x + 8.76y + -7.33z <= 124.02
7.79x + 1.66y + 4.18z <= 449.86
-6.77x + -4.82y + 3.22z <= 535.54
8.53x + -5.4y + 4.45z <= 465.47
-0.26x + -9.48y + -2.12z <= 935.38
6.74x + -5.63y + -5.51z <= 428.93
7.01x + 0.41y + -0.14z <= 720.6
1.6x + -4.51y + -7.56z <= 250.05
-6.37x + 5.87y + -1.66z <= 147.96
-3.01x + -0.31y + 0.74z <= 674.42
-0.13x + -4.5y + -1.58z <= 531.06
-4.7x + 3.0y + 6.02z <= 688.58
-1.02x + 3.94y + -4.48z <= 742.07
-5.19x + 2.0y + 3.73z <= 475.48
-4.36x + -2.72y + 8.41z <= 364.75
5.56x + -8.51y + 9.84z <= 812.77
2.88x + -2.35y + -7.85z <= 513.57
3.02x + -4.81y + 4.86z <= 821.78
7.34x + -4.71y + -7.41z <= 994.11
-2.51x + -9.55y + -6.54z <= 593.88
0.81x + 5.33y + -4.91z <= 265.77
2.75x + 3.03y + 8.46z <= 673.74
-2.65x + 7.53y + 7.71z <= 924.09
-8.6x + 4.15y + 0.45z <= 473.19
-0.17x + 9.82y + 1.26z <= 706.22
6.73x + -6.33y + 4.95z <= 959.62
-9.63x + -7.77y + -8.73z <= 198.97
4.96x + 1.29y + 2.5z <= 312.48
-5.18x + -6.85y + -6.78z <= 576.08
-6.92x + 2.62y + -1.28z <= 635.92
6.5x + -2.07y + 8.35z <= 377.29
3.43x + 2.3y + 7.71z <= 426.77
2.67x + 4.26y + -2.56z <= 380.66
1.45x + 4.71y + 1.99z <= 886.28
5.72x + 0.42y + 7.97z <= 929.65
3.0x + -2.23y + 3.92z <= 402.86
-7.47x + -7.19y + -9.16z <= 675.3
-3.64x + -5.91y + -8.26z <= 740.06
-7.67x + -4.4y + -1.31z <= 432.28
6.09x + 0.54y + 9.51z <= 112.41
-7.51x + 5.68y + 4.31z <= 321.58
-6.96x + -0.58y + -8.74z <= 936.05
3.01x + -3.1y + 0.67z <= 455.43
-8.74x + 8.89y + -4.46z <= 217.92
5.99x + -9.16y + -2.12z <= 995.13
-6.15x + 1.85y + 8.08z <= 163.18
0.47x + 0.38y + -9.61z <= 675.63
-8.37x + 3.67y + -1.53z <= 517.67
-7.0x + -2.3y + 6.78z <= 847.07
-8.03x + 2.0y + 9.91z <= 677.17
-7.48x + 9.14y + -8.9z <= 419.08
1.63x + -7.44y + -5.03z <= 507.34
-4.72x + -1.19y + 9.76z <= 381.22
-4.36x + 1.5y + -1.88z <= 962.36
-0.19x + -3.14y + 9.71z <= 586.41
-2.33x + 9.31y + 8.34z <= 757.63
4.59x + 1.31y + 2.21z <= 580.78
-5.17x + -8.79y + 2.01z <= 716.37
1.38x + 2.43y + 1.83z <= 330.1
3.48x + 7.81y + -4.25z <= 682.41
0.49x + -9.52y + 4.84z <= 365.04
-2.12x + 2.71y + 3.08z <= 424.87
-6.49x + -3.8y + -2.51z <= 245.74
-0.24x + -7.63y + 4.3z <= 210.69
-9.3x + -5.28y + 8.31z <= 381.98
5.72x + -8.68y + 9.12z <= 628.85
2.83x + 1.99y + -5.97z <= 965.15
-9.85x + 2.22y + -2.36z <= 242.11
-7.35x + -8.4y + -2.12z <= 454.3
6.85x + -8.89y + -3.14z <= 888.91
4.99x + 4.55y + -9.29z <= 605.42
6.82x + 2.84y + -8.45z <= 854.9
2.6x + 2.93y + 3.27z <= 733.17
-8.91x + -4.54y + -6.01z <= 827.27
1.21x + -3.29y + -3.82z <= 613.08
2.81x + 4.48y + 6.74z <= 122.65
-6.19x + -4.53y + 4.87z <= 713.62
-8.07x + 8.54y + 7.16z <= 349.02
-1.15x + 5.1y + 0.77z <= 511.35
-0.3x + -9.87y + -0.72z <= 213.96
4.37x + 2.79y + -3.99z <= 108.63
-9.57x + -6.73y + -6.52z <= 683.96
-7.58x + -2.33y + -6.43z <= 479.95
-4.18x + 2.99y + -4.66z <= 348.75
-0.6x + 2.75y + -6.63z <= 336.06
7.68x + -3.02y + 0.63z <= 676.84
-7.13x + -0.37y + -8.36z <= 754.49
4.59x + -5.99y + -9.11z <= 847.76
7.16x + -3.06y + 4.71z <= 663.98
8.04x + 8.28y + -8.81z <= 176.64
-5.83x + 3.4y + -6.1z <= 141.31
-7.3x + 1.07y + 1.03z <= 549.64
-4.35x + -7.9y + 6.53z <= 702.88
-9.79x + 3.03y + -6.63z <= 108.61
3.2x + -2.67y + 9.34z <= 834.66
-5.05x + -1.91y + 2.11z <= 663.21
-3.37x + -6.05y + -3.33z <= 305.68
9.58x + 4.45y + 3.03z <= 945.57
8.66x + -7.17y + -8.75z <= 414.61
-5.22x + -2.66y + -2.8z <= 910.75
2.74x + -1.63y + -8.35z <= 312.76
-1.4x + 0.57y + -1.86z <= 379.73
-3.8x + 4.67y + 5.71z <= 281.48
0.45x + 1.54y + 3.43z <= 425.18
0.54x + 3.19y + 3.67z <= 532.72
3.4x + -9.48y + -2.51z <= 777.16
1.94x + 0.08y + 1.45z <= 975.7
9.93x + -8.8y + 0.94z <= 220.28
5.72x + -4.37y + -7.85z <= 979.14
6.75x + 1.3y + -3.62z <= 350.58
-0.09x + -8.55y + -8.29z <= 179.09
-2.37x + -3.47y + -1.26z <= 567.31
-7.29x + 9.93y + 7.72z <= 372.99
1.04x + 3.41y + 5.2z <= 925.9
-1.46x + -0.86y + -9.05z <= 732.22
-2.53x + 5.48y + -4.16z <= 297.31
1.44x + -9.3y + 8.28z <= 810.87
-4.17x + 7.58y + 6.97z <= 477.76
-5.77x + -5.84y + 8.4z <= 494.68
4.68x + 6.44y + 9.9z <= 646.51
-5.05x + -9.25y + -3.16z <= 634.35
-2.46x + -8.38y + -4.48z <= 753.13
-4.84x + 0.68y + 4.66z <= 762.71
-9.83x + 9.77y + -9.52z <= 910.03
-2.21x + -4.76y + -3.51z <= 218.44
-9.79x + -6.25y + 8.86z <= 416.75
-8.28x + 9.74y + 5.1z <= 814.84
7.87x + 6.16y + -9.11z <= 836.64
-9.69x + 7.8y + -9.71z <= 221.76
0.92x + 2.21y + -7.47z <= 399.81
9.67x + 5.52y + -1.83z <= 185.22
2.53x + 1.92y + 3.65z <= 242.66
-6.46x + 6.03y + -4.13z <= 535.99
-1.21x + 4.52y + 7.12z <= 802.1
9.68x + 6.39y + -4.51z <= 536.65
8.57x + -4.5y + 6.71z <= 805.42
9.3x + -1.65y + 4.31z <= 881.15
-0.76x + 6.95y + -8.29z <= 975.01
0.39x + 3.11y + 7.12z <= 585.73
1.29x + -0.15y + -5.74z <= 113.14
-8.35x + 4.32y + 9.12z <= 541.14
4.53x + -8.13y + -0.34z <= 642.46
1.64x + -2.5y + -6.84z <= 959.55
-5.06x + -3.9y + 9.0z <= 756.33
-3.03x + 1.16y + -8.95z <= 357.61
5.47x + -2.44y + 7.95z <= 390.74
6.05x + -3.29y + -0.5z <= 993.19
6.51x + -3.89y + 3.57z <= 880.52
-6.43x + -5.02y + 2.66z <= 628.0
-9.23x + -4.77y + 4.07z <= 844.04
-2.75x + -6.27y + 2.24z <= 588.24
7.22x + -6.16y + 2.26z <= 858.14
-1.89x + -0.02y + 3.89z <= 410.58
-3.28x + -4.09y + -1.2z <= 783.12
-6.57x + 6.23y + -3.91z <= 514.5
6.95x + -3.49y + 4.87z <= 982.24
0.98x + -5.16y + 8.98z <= 870.3
5.85x + -1.01y + 2.61z <= 728.32
1.29x + 1.46y + 8.43z <= 355.17
-2.06x + -6.35y + 8.76z <= 727.45
-2.78x + 7.86y + 3.38z <= 515.63
0.76x + 1.23y + -6.77z <= 451.38
0.41x + 2.66y + -7.71z <= 883.28
6.88x + -5.75y + -4.39z <= 236.5
1.76x + 7.09y + 4.9z <= 617.25
4.91x + 0.21y + -5.48z <= 938.43
0.32x + -5.15y + 2.14z <= 812.62
6.43x + -6.02y + -0.34z <= 924.18
6.01x + -4.52y + -2.27z <= 413.48
-4.24x + 4.21y + -4.94z <= 152.48
0.84x + 9.19y + 6.59z <= 350.5
9.56x + 3.26y + -5.13z <= 163.72
1.43x + 1.36y + -6.95z <= 827.23
8.95x + 4.98y + 1.76z <= 388.3
2.35x + 4.09y + -7.45z <= 991.18
8.44x + 0.22y + -1.58z <= 729.77
-5.36x + 6.27y + 1.28z <= 823.48
-2.54x + 2.3y + -7.43z <= 427.5
4.92x + -1.72y + -8.76z <= 959.68
9.24x + -8.26y + -9.79z <= 320.51
-3.29x + 5.03y + -6.0z <= 526.72
6.64x + -9.32y + 7.78z <= 199.45
-5.75x + -0.09y + 3.68z <= 925.05
6.51x + 7.41y + 2.33z <= 521.25
-6.81x + -3.96y + -0.63z <= 656.87
0.27x + 3.61y + -8.7z <= 210.79
7.02x + -6.14y + -8.12z <= 454.96
3.08x + 9.6y + 0.13z <= 396.55
0.82x + 9.82y + 0.63z <= 382.03
-0.73x + 9.26y + -2.28z <= 338.52
-4.59x + -5.96y + 5.88z <= 201.91
-8.89x + -5.19y + 7.19z <= 809.72
6.11x + -1.13y + 7.51z <= 506.28
-0.07x + 1.72y + 9.34z <= 455.64
2.36x + -0.26y + 9.83z <= 160.21
7.96x + -1.32y + 0.5z <= 367.22
-9.93x + -5.32y + 2.8z <= 752.08
-2.05x + -2.23y + -7.39z <= 215.6
-8.63x + -0.36y + 2.76z <= 458.93
-2.07x + -4.13y + 6.34z <= 926.69
-1.92x + -1.2y + -1.35z <= 679.16
2.71x + 8.47y + -7.91z <= 169.25
5.87x + -5.78y + -6.76z <= 361.88
9.12x + -1.93y + 3.06z <= 468.49
5.01x + -3.82y + 6.28z <= 441.52
-4.66x + -3.88y + 7.62z <= 732.67
-3.13x + 2.77y + 8.6z <= 909.98
-7.11x + -5.68y + 6.0z <= 871.48
-6.2x + 9.61y + 5.24z <= 313.58
0.43x + 3.27y + 6.18z <= 474.87
-0.33x + 3.29y + 9.24z <= 219.16
5.59x + -8.01y + 3.03z <= 612.57
5.28x + -0.74y + -9.01z <= 491.48
2.22x + 3.45y + -8.77z <= 130.37
-2.74x + -3.91y + -6.74z <= 302.52
-6.03x + -1.58y + -3.31z <= 305.13
4.16x + 0.62y + 0.04z <= 729.83
-8.19x + -4.0y + -1.91z <= 893.71
-5.56x + -6.7y + 8.1z <= 146.27
-7.12x + 9.87y + -0.22z <= 981.73
-3.39x + -6.43y + 6.18z <= 645.33
6.58x + -5.9y + 7.66z <= 483.18
3.9x + 4.89y + -1.85z <= 499.68
-2.6x + -3.16y + 5.59z <= 497.56
-6.87x + 5.82y + -5.44z <= 512.82
4.13x + 6.13y + -5.93z <= 887.71
-9.45x + -2.1y + 2.53z <= 572.18
-4.24x + 1.61y + 1.58z <= 764.74
-5.26x + 6.63y + -4.07z <= 911.26
-6.05x + 7.61y + -4.03z <= 593.42
-0.25x + 9.62y + -6.59z <= 729.92
-3.54x + 2.73y + 8.75z <= 115.94
-7.25x + 8.04y + 3.66z <= 923.91
-0.8x + -2.84y + -4.66z <= 577.89
-5.61x + -2.68y + 1.37z <= 789.13
3.24x + -6.53y + 5.09z <= 243.22
7.99x + -0.09y + -6.91z <= 441.26
5.79x + 3.04y + -5.11z <= 647.57
4.93x + -0.33y + 2.38z <= 683.26
5.64x + 0.78y + -5.42z <= 543.82
6.61x + -5.71y + 5.71z <= 147.07
-3.48x + -5.78y + -0.09z <= 526.18
3.31x + 1.86y + 4.68z <= 488.3
1.81x + -5.65y + 1.17z <= 484.8
-9.75x + 3.6y + -4.32z <= 438.11
8.04x + 6.65y + -9.91z <= 215.0
-8.06x + 8.43y + 1.1z <= 154.17
9.31x + 4.66y + -3.58z <= 603.03
9.64x + 2.14y + 8.11z <= 364.42
-0.2x + 7.76y + -9.36z <= 664.08
-6.4x + -9.73y + 4.25z <= 814.86
-5.25x + 2.97y + 5.57z <= 669.03
4.33x + -7.69y + 7.19z <= 787.52
-7.63x + 9.61y + 0.09z <= 739.02
3.74x + 8.55y + -9.62z <= 209.99
2.83x + -8.72y + 1.96z <= 378.07
-7.04x + -5.38y + -8.53z <= 203.16
-0.38x + -2.97y + -2.04z <= 933.77
6.26x + 2.53y + 8.84z <= 145.4
5.1x + -3.47y + 0.8z <= 502.49
5.28x + 6.54y + -2.43z <= 965.91
0.12x + -4.18y + -1.35z <= 594.88
0.58x + 3.34y + 4.08z <= 244.95
9.7x + -0.3y + 8.5z <= 760.34
6.33x + -7.84y + 2.34z <= 718.89
8.69x + -4.26y + -0.05z <= 513.41
-0.4x + 0.97y + -2.28z <= 827.09
2.53x + -0.75y + 8.21z <= 447.14
5.49x + -7.46y + -8.18z <= 984.11
5.22x + 3.36y + 2.63z <= 993.58
5.45x + 0.54y + -8.04z <= 691.9
0.14x + 3.65y + -2.68z <= 556.06
2.48x + 2.66y + -1.64z <= 732.06
-2.73x + -3.65y + -4.01z <= 714.71
-0.92x + 7.4y + 7.32z <= 398.44
-4.59x + 5.34y + -1.64z <= 685.75
7.27x + 9.11y + 1.82z <= 889.71
9.15x + 1.84y + 5.86z <= 630.45
7.56x + -5.24y + -3.21z <= 237.8
4.6x + -0.56y + 4.18z <= 810.19
1.81x + 5.12y + -4.67z <= 991.42
7.52x + 8.08y + -4.02z <= 828.01
-0.29x + 2.97y + -1.32z <= 817.01
5.96x + -9.13y + -7.51z <= 828.93
2.92x + -0.64y + 6.4z <= 268.54
5.95x + 3.93y + -4.36z <= 351.26
2.69x + -1.64y + -6.36z <= 685.6
-0.5x + 5.81y + -1.49z <= 476.35
-1.66x + -3.51y + 1.19z <= 261.06
3.46x + 1.16y + -6.11z <= 818.45
-9.97x + -1.14y + 5.97z <= 316.6
1.12x + 5.78y + 1.25z <= 536.37
7.72x + -7.49y + -3.51z <= 972.61
-8.69x + -4.34y + -9.87z <= 635.74
-6.2x + 2.15y + -8.02z <= 187.81
-2.69x + -4.95y + -9.95z <= 873.81
-3.17x + 2.5y + 3.0z <= 694.38
-9.82x + -7.63y + 4.57z <= 605.3
-6.27x + -6.18y + -5.59z <= 463.88
0.91x + -4.94y + -4.61z <= 327.0
-9.57x + -7.69y + -0.46z <= 614.29
8.76x + -0.4y + 3.96z <= 904.0
6.71x + 8.17y + 8.32z <= 727.36
4.59x + 8.02y + 1.54z <= 155.34
4.96x + -2.92y + 0.69z <= 649.76
-4.35x + 6.91y + -9.53z <= 634.98
-7.74x + -0.13y + -8.94z <= 429.68
5.65x + 3.44y + -9.31z <= 153.6
-4.57x + -7.26y + -8.09z <= 542.84
-8.89x + 2.44y + -1.4z <= 497.9
1.52x + -7.3y + -2.78z <= 718.07
8.25x + -4.86y + -3.48z <= 999.58
-8.84x + 8.02y + 8.5z <= 997.13
8.84x + 1.76y + 1.32z <= 650.06
-1.15x + -4.9y + 1.54z <= 278.02
0.32x + 9.35y + -5.82z <= 734.56
7.93x + -3.25y + -4.93z <= 236.4
5.51x + 1.71y + -1.21z <= 765.2
-2.19x + -0.3y + 9.23z <= 213.8
