max 7.72x + -4.04y + 3.37z
4.05x + -2.95y + 2.8z <= 302.95
4.96x + 0.58y + 7.47z <= 157.3
2.89x + -2.36y + 8.12z <= 873.48
3.51x + -7.93y + 4.77z <= 894.56
-7.55x + 2.08y + -4.83z <= 476.76
-0.68x + -2.01y + 4.67z <= 964.72
-2.59x + -4.64y + -0.64z <= 919.97
7.05x + 5.0y + -2.9z <= 522.7
7.48x + -7.18y + -1.57z <= 351.89
-3.51x + -8.32y + -8.83z <= 604.05
0.61x + 0.53y + 8.1z <= 586.29
-9.93x + -2.32y + -0.4z <= 186.47
-3.62x + -3.32y + 4.37z <= 195.25
1.45x + 6.12y + 3.28z <= 719.07
-6.1x + 7.09y + 1.45z <= 256.54
2.56x + 8.27y + 8.55z <= 609.85
3.06x + 8.92y + 2.59z <= 809.61
7.11x + 6.59y + -3.23z <= 615.46
0.52x + -5.02y + -4.08z <= 829.88
-7.4x + 1.49y + 2.46z <= 730.06
-3.73x + -4.92y + 5.49z <= 149.37
-0.49x + 3.12y + -8.41z <= 174.51
5.07x + -5.3y + 1.82z <= 548.26
3.31x + 2.83y + -9.05z <= 740.65
-9.53x + -1.25y + -0.78z <= 232.31
3.11x + 1.9y + 9.41z <= 338.42
-6.2x + -7.46y + 2.17z <= 798.08
-7.83x + -7.35y + -6.13z <= 339.29
4.76x + -1.14y + -4.31z <= 406.08
6.53x + 4.35y + 7.61z <= 664.29
-7.71x + 4.74y + 3.85z <= 294.58
-2.59x + 1.38y + -2.56z <= 905.36
9.43x + 4.87y + -2.31z <= 270.84
0.61x + 5.48y + 4.15z <= 580.47
-4.25x + -0.43y + 3.78z <= 986.02
6.92x + 0.25y + 8.3z <= 244.73
3.55x + -5.36y + -5.57z <= 713.07
-2.03x + 6.86y + 3.04z <= 386.22
8.33x + 5.61y + 5.02z <= 587.21
-6.05x + -7.07y + -2.58z <= 572.18
-7.21x + 3.36y + 1.36z <= 482.97
-6.8x + -1.78y + 1.5z <= 885.99
-9.57x + 4.24y + 1.88z <= 819.77
-2.8x + -8.24y + 5.87z <= 441.45
-6.62x + -6.81y + -8.77z <= 911.28
-3.77x + -8.03y + -1.69z <= 979.59
-2.52x + 9.4y + -8.36z <= 577.06
-6.46x + 1.19y + -6.92z <= 224.39
-6.9x + -6.7y + -1.47z <= 360.84
-6.12x + 6.44y + 4.83z <= 677.14
-1.14x + -2.89y + 2.67z <= 550.4
9.55x + 8.13y + -2.03z <= 519.3
-1.02x + -7.3y + 2.4z <= 955.3
7.18x + -4.1y + -8.13z <= 156.39
-4.67x + -1.04y + 9.67z <= 793.52
-8.75x + 1.16y + -7.56z <= 314.13
-1.69x + -4.73y + -1.68z <= 201.19
4.13x + 3.72y + -7.27z <= 480.57
2.9x + 2.69y + 4.92z <= 856.96
2.91x + 5.59y + 5.07z <= 857.05
-8.35x + -5.97y + -5.82z <= 786.8
2.25x + 9.31y + 1.71z <= 607.81
4.33x + -1.7y + -4.7z <= 533.44
-3.9x + -6.24y + -0.3z <= 626.33
-2.92x + 9.02y + 0.96z <= 616.62
4.02x + 4.18y + 9.01z <= 783.72
-5.37x + 0.3y + -3.98z <= 220.98
3.31x + -0.07y + 1.26z <= 814.17
3.98x + 3.32y + -1.54z <= 650.36
-7.83x + 6.06y + -3.67z <= 560.32
-2.92x + 5.86y + -9.07z <= 329.52
-7.92x + 5.59y + 2.65z <= 535.8
0.11x + 1.54y + -6.56z <= 975.08
3.38x + -9.49y + -1.34z <= 929.88
6.44x + -5.86y + -1.72z <= 491.81
-9.64x + 4.89y + 7.71z <= 987.33
-1.67x + -3.22y + -5.95z <= 997.14
-1.84x + -1.48y + 6.92z <= 492.54
-0.3x + -0.04y + -1.68z <= 190.19
-3.77x + -9.31y + 4.02z <= 605.15
-0.33x + 8.89y + -1.49z <= 337.78
3.91x + -2.01y + 9.72z <= 896.11
3.03x + 0.56y + 6.19z <= 372.56
6.85x + -2.99y + -3.3z <= 869.18
-5.72x + 9.89y + -2.55z <= 934.84
-3.43x + 9.29y + -3.3z <= 534.6
-7.52x + -1.76y + -2.69z <= 675.04
-6.06x + 4.33y + 6.91z <= 116.23
7.04x + 8.63y + -1.05z <= 907.66
-7.62x + -3.11y + 8.36z <= 152.53
8.96x + 6.69y + -2.1z <= 364.31
4.18x + 6.58y + -7.17z <= 451.91
0.43x + -5.14y + -9.98z <= 931.77
3.62x + -3.23y + -1.24z <= 855.81
-2.43x + 0.33y + -0.55z <= 355.97
-5.26x + -5.9y + 6.71z <= 897.89
3.05x + -7.16y + -1.37z <= 283.13
9.94x + -1.07y + -3.42z <= 594.23
9.55x + -4.2y + 7.18z <= 899.87
-9.23x + 5.04y + 7.96z <= 463.97
-6.01x + 0.12y + 9.72z <= 156.77
-6.78x + 9.16y + 0.09z <= 688.6
3.25x + 1.22y + -2.14z <= 607.05
-2.56x + -7.04y + 8.32z <= 263.0
-5.17x + 1.69y + -5.23z <= 212.3
-3.88x + 2.59y + -6.41z <= 798.15
8.78x + 7.93y + -8.46z <= 481.93
-7.33x + 6.38y + 3.59z <= 278.73
4.24x + -4.93y + -9.78z <= 747.91
9.3x + -0.32y + 4.41z <= 192.99
2.43x + -7.84y + -6.0z <= 347.01
5.6x + 6.35y + 6.39z <= 322.51
-3.86x + 3.53y + -9.28z <= 822.07
-6.88x + 2.57y + -6.62z <= 916.92
9.73x + -1.39y + -7.66z <= 170.91
1.84x + 2.68y + -8.94z <= 272.0
-4.2x + -5.34y + 6.68z <= 128.5
-9.01x + -7.26y + -3.45z <= 332.18
-9.57x + 7.77y + -2.39z <= 672.05
3.11x + 3.18y + -3.01z <= 329.89
2.87x + -4.32y + -6.84z <= 954.01
-9.7x + -3.67y + -7.51z <= 572.64
7.39x + -3.08y + -2.98z <= 498.46
-5.07x + -0.5y + -4.56z <= 149.08
5.0x + 6.0y + -9.44z <= 929.66
1.54x + 3.72y + -9.93z <= 212.11
-4.33x + 0.7y + -6.85z <= 449.7
-5.21x + 3.78y + -3.22z <= 658.11
-8.34x + -1.42y + -2.0z <= 295.67
-2.12x + -2.06y + 9.43z <= 252.58
-5.4x + 7.08y + -0.3z <= 363.61
2.27x + -1.05y + -7.31z <= 477.42
-5.45x + 7.12y + -0.98z <= 261.46
4.37x + 3.21y + -2.7z <= 466.63
9.92x + 2.91y + -7.33z <= 890.38
5.22x + -5.62y + 5.75z <= 154.38
7.44x + -8.59y + -2.43z <= 489.93
9.8x + -7.05y + 7.67z <= 748.12
-7.89x + 9.73y + 4.02z <= 557.56
-4.32x + -3.97y + -6.36z <= 755.54
-3.19x + -6.77y + 5.74z <= 467.71
0.12x + 3.82y + 8.07z <= 542.04
-6.15x + 7.2y + -1.58z <= 122.92
8.15x + 7.6y + -0.47z <= 708.95
3.4x + -3.72y + -7.36z <= 431.09
6.88x + -9.35y + 4.17z <= 503.68
-3.58x + 1.62y + 1.97z <= 740.24
5.9x + -8.54y + 2.2z <= 922.99
0.04x + -3.02y + 8.36z <= 344.17
-7.63x + -4.89y + -4.98z <= 730.67
-0.63x + -9.21y + 3.72z <= 705.87
-9.01x + -7.46y + -3.51z <= 421.19
-2.63x + 5.16y + -9.21z <= 608.59
1.93x + 4.78y + -4.17z <= 510.09
-8.05x + -8.94y + -6.92z <= 695.2
6.77x + -6.93y + -4.79z <= 763.22
4.53x + 8.41y + -8.94z <= 486.04
4.15x + 4.65y + 0.12z <= 852.32
-4.84x + 1.73y + 3.94z <= 799.62
5.86x + -4.69y + 3.04z <= 390.63
0.45x + 6.88y + -6.1z <= 648.68
-7.21x + -6.12y + -6.29z <= 959.8
-5.04x + -3.43y + 9.93z <= 900.54
-3.51x + -2.19y + 7.97z <= 619.73
-6.84x + 1.36y + 7.53z <= 828.7
2.71x + -1.53y + -1.53z <= 869.38
-6.39x + -1.27y + -3.37z <= 833.43
9.1x + -2.37y + 2.45z <= 889.24
9.54x + 8.31y + -0.93z <= 956.65
7.79x + 9.51y + -0.12z <= 746.66
-2.13x + 6.13y + 3.62z <= 148.32
-4.27x + 9.49y + -7.4z <= 608.43
-3.99x + 3.64y + -4.5z <= 673.3
0.25x + -2.2y + -2.08z <= 750.25
-9.58x + 0.71y + 4.31z <= 789.84
-7.61x + -5.06y + 0.56z <= 165.53
4.6x + -7.28y + -4.89z <= 121.75
-0.14x + -9.29y + 6.21z <= 682.98
6.57x + -2.63y + 2.57z <= 326.58
-5.81x + -5.85y + -4.29z <= 314.07
-6.76x + -2.93y + 5.41z <= 811.19
6.64x + -5.34y + 0.52z <= 248.95
2.26x + 0.23y + 0.82z <= 327.4
-1.84x + 6.4y + -4.54z <= 628.99
-5.68x + 5.02y + 7.81z <= 180.39
8.45x + 0.59y + 9.85z <= 509.46
4.76x + 6.23y + 6.36z <= 870.59
7.53x + 0.98y + -8.58z <= 124.83
-0.54x + 4.37y + -8.53z <= 839.53
0.76x + -1.08y + -6.49z <= 101.83
-7.98x + -1.06y + -3.9z <= 578.65
-8.28x + -3.49y + 7.1z <= 994.66
1.29x + -1.03y + 3.66z <= 101.3
8.61x + -2.17y + -4.48z <= 779.32
4.12x + -2.85y + 6.12z <= 509.97
-1.65x + -0.13y + 4.09z <= 780.7
8.1x + -8.09y + -9.3z <= 942.38
5.78x + -5.08y + -4.39z <= 421.91
3.14x + 4.16y + 2.16z <= 224.83
2.81x + 6.42y + -9.05z <= 212.08
8.35x + 3.38y + 9.65z <= 557.02
-6.58x + 3.3y + -3.95z <= 789.44
2.71x + -4.46y + 8.82z <= 629.19
-5.45x + 4.74y + -2.5z <= 728.56
8.18x + -3.85y + -4.94z <= 988.05
7.3x + 6.98y + 5.15z <= 891.73
3.59x + 2.51y + -1.08z <= 827.14
1.21x + 4.04y + -1.99z <= 238.05
-2.23x + 2.71y + -6.75z <= 776.33
1.34x + 5.9y + -9.83z <= 655.87
-5.52x + 3.0y + 1.68z <= 377.32
7.59x + -5.76y + -4.86z <= 798.79
2.89x + 4.17y + 1.35z <= 597.19
-6.63x + -4.42y + -5.55z <= 214.04
-0.09x + 3.0y + -0.62z <= 754.44
5.35x + -9.72y + 9.08z <= 610.75
6.29x + -9.74y + -4.48z <= 250.73
6.23x + -9.57y + -9.24z <= 842.85
-4.96x + 7.79y + -4.94z <= 626.45
-0.26x + 2.22y + -1.76z <= 252.01
0.86x + 3.4y + -1.65z <= 596.28
-8.33x + -8.0y + 4.57z <= 884.55
3.76x + -0.37y + 0.39z <= 117.33
5.62x + 5.32y + -0.89z <= 911.12
3.03x + 3.04y + 3.66z <= 798.91
0.91x + -8.74y + 9.31z <= 407.75
6.28x + 8.19y + -7.9z <= 628.23
-6.06x + -5.13y + -4.33z <= 857.04
-3.59x + 9.71y + 0.31z <= 869.3
-3.73x + -7.11y + 8.85z <= 322.15
2.45x + -8.42y + 1.01z <= 343.77
-6.47x + -9.38y + 5.89z <= 512.13
3.84x + -0.09y + 2.83z <= 717.47
-0.65x + 1.67y + -1.96z <= 413.16
-2.24x + 1.23y + 7.79z <= 710.58
-8.8x + 4.97y + -1.83z <= 825.97
7.2x + -3.95y + -2.32z <= 958.29
7.76x + 3.38y + 2.28z <= 226.86
-8.71x + 8.54y + -1.22z <= 515.31
5.68x + 0.75y + -7.01z <= 346.81
-0.24x + 1.89y + -3.62z <= 656.09
1.13x + -6.27y + 8.26z <= 402.46
9.42x + 2.3y + 9.59z <= 630.66
0.98x + 0.77y + -7.44z <= 660.07
-5.74x + 6.1y + 8.94z <= 583.44
-6.81x + 4.44y + 3.74z <= 851.84
-0.92x + 1.88y + 7.97z <= 688.33
2.31x + 9.42y + 1.02z <= 936.85
-8.03x + -7.52y + 8.9z <= 495.45
7.39x + 2.24y + -2.2z <= 154.65
3.82x + -8.45y + 8.21z <= 663.87
-8.4x + -1.33y + -8.29z <= 851.6
-8.97x + -4.82y + 7.2z <= 737.82
3.19x + 8.12y + 8.55z <= 176.54
-9.52x + 2.51y + -4.42z <= 961.72
7.98x + 6.19y + 6.66z <= 702.95
0.92x + -1.07y + 0.79z <= 397.18
-1.46x + -6.31y + 6.11z <= 718.27
-4.8x + -3.02y + -4.93z <= 212.4
-7.49x + -2.59y + -7.74z <= 942.8
-1.18x + -9.42y + 6.57z <= 366.37
-9.01x + 3.52y + 2.39z <= 974.04
0.94x + 1.07y + -5.92z <= 248.26
7.16x + 5.67y + 6.12z <= 443.67
-1.68x + 8.91y + 0.69z <= 224.43
-6.61x + -7.73y + -8.93z <= 108.7
2.87x + -1.66y + 5.45z <= 601.22
7.0x + 9.53y + -5.17z <= 635.7
1.86x + -8.42y + 0.86z <= 190.94
0.62x + 5.15y + -3.67z <= 337.9
6.61x + -3.48y + 0.59z <= 841.39
0.83x + -4.0y + -1.42z <= 884.12
1.16x + 6.83y + -8.67z <= 744.72
5.81x + -0.01y + -4.12z <= 229.04
8.87x + -3.48y + 7.42z <= 961.87
7.07x + 4.29y + -9.58z <= 554.27
0.27x + -3.83y + 0.75z <= 183.22
-0.65x + 5.11y + -6.7z <= 879.8
-3.54x + -9.43y + 4.07z <= 478.35
-1.71x + 2.02y + -2.86z <= 840.22
-7.82x + 1.5y + 5.89z <= 465.39
-1.42x + 4.59y + 7.57z <= 756.29
0.97x + -0.06y + -0.97z <= 964.11
-7.08x + 0.42y + 7.39z <= 987.32
4.86x + 9.96y + -0.64z <= 996.04
6.75x + -9.9y + 7.85z <= 353.97
-8.1x + -6.49y + -8.72z <= 416.22
1.51x + 7.25y + -1.38z <= 146.69
7.85x + 9.43y + 3.31z <= 472.21
-6.86x + -9.63y + 9.66z <= 761.0
-0.99x + -8.94y + 9.29z <= 345.27
7.52x + 1.44y + -3.48z <= 365.34
-5.82x + -0.46y + -6.2z <= 662.12
-7.75x + -0.86y + -2.72z <= 457.05
1.72x + 4.35y + 9.61z <= 627.72
-0.93x + -4.8y + -2.65z <= 939.36
-3.69x + 3.32y + 2.53z <= 597.69
-2.06x + -8.08y + 0.13z <= 768.36
1.73x + -9.38y + 8.02z <= 830.75
-4.0x + 9.55y + -7.78z <= 658.57
-5.29x + 5.11y + 0.06z <= 181.43
4.71x + 8.35y + 4.39z <= 204.73
6.02x + -7.47y + -1.88z <= 402.18
5.24x + 4.2y + -6.9z <= 378.07
0.89x + 4.95y + -6.42z <= 437.08
3.09x + 0.75y + 8.58z <= 403.79
3.4x + -7.33y + 5.44z <= 865.69
-5.11x + -5.29y + 8.8z <= 187.55
-8.23x + -9.25y + -7.5z <= 791.12
-2.89x + -0.53y + 8.84z <= 951.84
8.22x + -7.31y + 5.73z <= 744.97
-1.46x + -9.42y + 6.76z <= 750.9
-0.5x + -8.87y + 0.89z <= 597.05
-2.29x + 7.61y + -8.39z <= 359.52
-8.5x + 4.5y + 8.01z <= 183.01
-8.64x + 7.36y + 3.93z <= 334.81
-6.81x + 3.26y + 0.22z <= 173.97
8.07x + 4.43y + -2.22z <= 330.28
7.01x + -5.05y + 0.79z <= 905.82
-7.52x + -0.86y + 5.21z <= 817.47
2.13x + 9.77y + 2.46z <= 340.58
1.31x + -6.3y + 9.33z <= 296.91
2.58x + -1.25y + 4.52z <= 433.26
-0.94x + -7.94y + -1.97z <= 327.58
0.99x + 6.82y + 1.44z <= 831.78
-2.25x + -8.07y + 3.05z <= 265.5
-0.55x + -4.18y + -1.37z <= 310.0
-4.61x + 9.24y + 0.64z <= 996.34
-7.98x + -6.2y + -7.95z <= 195.18
-6.19x + -2.61y + 0.82z <= 245.32
1.83x + 7.61y + -8.8z <= 872.98
-9.53x + -4.02y + -0.64z <= 780.12
1.24x + -9.16y + -8.3z <= 613.46
3.51x + 2.33y + -8.13z <= 411.27
5.95x + 3.99y + -0.66z <= 577.09
-5.31x + -8.22y + -8.12z <= 872.15
8.28x + 1.06y + -7.56z <= 493.8
6.83x + -3.64y + 4.72z <= 248.92
-5.43x + -9.21y + 9.28z <= 842.19
1.4x + -8.98y + 2.53z <= 971.04
5.19x + 7.76y + 1.41z <= 594.11
-6.46x + -7.61y + -6.44z <= 387.19
0.63x + -2.08y + -6.17z <= 244.9
-0.74x + 7.02y + 0.04z <= 393.04
-9.03x + -4.48y + -3.71z <= 790.97
-4.23x + 3.29y + 0.07z <= 625.43
0.15x + -8.6y + 9.26z <= 398.73
6.46x + 3.19y + 2.67z <= 280.15
1.68x + -2.77y + 8.83z <= 213.14
-9.61x + -9.23y + 7.06z <= 935.88
9.59x + 3.26y + -7.54z <= 800.74
3.18x + 9.84y + -3.52z <= 407.61
-6.44x + -6.85y + -0.9z <= 722.8
0.72x + 8.84y + -9.38z <= 937.27
8.7x + -1.36y + 2.65z <= 722.93
-1.64x + -5.73y + -5.37z <= 659.92
3.0x + -8.2y + 5.85z <= 963.82
-2.05x + -3.23y + -2.21z <= 728.68
9.59x + -6.75y + -9.78z <= 302.07
8.48x + 7.3y + 2.95z <= 939.92
2.89x + 5.07y + 5.75z <= 498.11
-5.35x + -6.63y + 0.84z <= 952.35
-2.71x + 7.65y + 3.43z <= 792.61
-8.88x + -4.51y + 1.2z <= 805.69
-3.36x + 9.26y + -5.36z <= 386.24
-6.17x + 7.1y + -4.2z <= 234.78
4.37x + -8.58y + 0.76z <= 392.24
-2.21x + -4.18y + 3.91z <= 595.1
-0.41x + 3.34y + 7.04z <= 768.14
-2.36x + 6.66y + 9.14z <= 647.06
6.79x + 0.3y + 2.27z <= 367.84
4.62x + 6.61y + 9.04z <= 981.51
0.18x + 8.33y + 9.61z <= 896.4
9.57x + -9.35y + -1.53z <= 690.88
-5.5x + 1.65y + 4.84z <= 418.67
-5.37x + 8.07y + -0.27z <= 884.29
-9.71x + 2.45y + -5.29z <= 895.01
1.01x + -3.21y + 0.76z <= 647.71
4.06x + -4.72y + -3.14z <= 542.47
3.53x + -8.9y + -5.17z <= 694.34
2.68x + 8.79y + -8.38z <= 170.59
-4.11x + 3.18y + -4.42z <= 957.84
-1.81x + -8.53y + 2.32z <= 551.01
-5.85x + 3.06y + -5.14z <= 704.75
-8.69x + -3.14y + 2.07z <= 954.15
-2.99x + 1.54y + -9.09z <= 272.6
-7.97x + 0.58y + -1.56z <= 450.1
3.76x + 5.12y + 6.14z <= 503.55
-0.29x + -3.15y + 9.79z <= 370.78
-8.32x + 5.54y + 0.2z <= 862.56
-3.75x + -2.26y + 4.61z <= 513.87
-3.49x + 6.98y + 0.73z <= 188.72
0.14x + -6.38y + -0.72z <= 418.78
0.45x + -6.07y + -7.38z <= 634.43
8.97x + 9.71y + -8.46z <= 812.74
4.99x + 5.28y + -0.97z <= 419.24
-0.93x + -1.02y + 0.6z <= 771.04
8.0x + 2.47y + 6.51z <= 289.63
-8.18x + -3.83y + -4.81z <= 116.6
4.73x + -7.74y + 5.35z <= 161.6
6.87x + -7.18y + -8.75z <= 474.06
0.14x + -2.05y + 7.47z <= 387.21
6.52x + -8.8y + 0.98z <= 313.25
5.6x + -1.71y + 9.33z <= 192.83
-7.23x + -4.5y + 8.32z <= 834.01
-4.25x + -7.58y + -4.85z <= 626.44
-9.99x + 2.77y + -9.76z <= 116.29
-8.14x + 5.06y + -3.88z <= 782.95
-0.01x + 8.28y + 5.78z <= 859.11
6.43x + 4.53y + -8.31z <= 811.6
0.18x + 9.31y + -7.15z <= 589.1
-3.65x + -9.34y + 2.48z <= 630.33
-5.92x + 4.97y + 1.32z <= 296.09
-9.47x + -9.65y + -5.78z <= 646.31
-6.42x + -6.43y + 2.27z <= 354.07
-9.58x + -6.08y + -1.24z <= 683.68
1.22x + -1.79y + 6.4z <= 619.83
-6.1x + -7.2y + -4.78z <= 934.57
-3.3x + 2.95y + 1.87z <= 947.22
5.3x + 5.68y + 9.99z <= 815.26
4.75x + -2.94y + 0.84z <= 362.05
0.62x + -1.78y + -8.14z <= 692.15
1.14x + 0.15y + 5.08z <= 345.66
8.11x + 4.06y + 6.37z <= 811.57
-5.11x + -8.54y + -8.88z <= 853.37
8.35x + -5.77y + 9.85z <= 777.03
2.59x + 3.03y + 1.99z <= 633.03
-3.81x + 3.5y + 3.92z <= 330.15
-0.13x + -1.27y + 8.0z <= 794.19
-8.93x + 5.95y + 0.83z <= 518.46
9.69x + 9.04y + -0.36z <= 247.69
-3.75x + 7.98y + -6.11z <= 869.77
-6.86x + -4.18y + -5.89z <= 588.1
-1.97x + 7.6y + 4.04z <= 658.55
8.57x + -9.55y + -5.41z <= 747.29
0.01x + -5.84y + -7.49z <= 734.61
-3.61x + -8.84y + -5.75z <= 736.32
2.26x + 5.95y + 3.18z <= 212.99
-2.09x + 3.47y + 8.9z <= 951.14
-3.73x + 1.94y + -5.38z <= 477.66
-0.33x + 8.42y + 5.64z <= 573.78
4.66x + -8.8y + -5.16z <= 234.48
5.64x + -3.24y + 1.74z <= 168.93
-4.58x + -9.59y + -4.51z <= 969.82
8.54x + 8.67y + 6.24z <= 411.71
-8.42x + -2.72y + -9.26z <= 621.76
3.91x + -1.2y + 0.59z <= 646.99
-1.63x + 8.25y + -1.57z <= 240.8
7.88x + 1.26y + 5.45z <= 360.33
9.84x + -0.38y + 0.05z <= 111.22
8.63x + -3.8y + 1.72z <= 130.62
3.52x + 5.41y + 5.87z <= 174.08
-5.23x + -5.01y + -7.94z <= 517.05
7.45x + -3.45y + -4.23z <= 473.95
4.03x + 1.11y + -3.46z <= 508.6
0.36x + -9.44y + 3.36z <= 185.03
-1.93x + 5.66y + -2.03z <= 350.2
-9.59x + 4.03y + 3.25z <= 295.36
-2.43x + 1.21y + -5.68z <= 775.89
-7.51x + -3.45y + -6.51z <= 758.67
6.97x + 0.07y + 6.79z <= 525.38
-7.16x + -6.31y + -3.23z <= 952.28
7.93x + 2.03y + -3.89z <= 632.88
0.67x + -1.44y + -7.2z <= 850.95
-6.35x + 0.45y + -5.78z <= 772.15
3.28x + 7.44y + -9.6z <= 954.36
-1.24x + -2.05y + 8.08z <= 587.68
6.94x + -1.42y + 8.12z <= 164.91
5.7x + 7.14y + -4.84z <= 390.36
2.29x + 0.54y + -6.7z <= 200.07
6.61x + 6.99y + -0.33z <= 135.96
-4.57x + -7.27y + -5.89z <= 212.61
-8.75x + 2.91y + -7.7z <= 233.4
-2.8x + 2.57y + -8.02z <= 843.65
-9.64x + -8.4y + -6.85z <= 375.83
-9.58x + -2.5y + -5.75z <= 732.69
6.13x + 6.6y + -2.74z <= 248.21
7.09x + 9.09y + 5.66z <= 414.01
-7.24x + -0.77y + -5.57z <= 204.76
2.68x + 4.77y + -9.8z <= 837.65
-0.49x + 7.67y + -1.9z <= 325.75
-2.67x + -5.63y + 7.62z <= 497.18
-2.72x + -3.5y + 7.51z <= 950.31
-0.83x + 1.19y + 0.42z <= 890.09
2.25x + 9.83y + 6.96z <= 358.91
7.01x + -7.71y + -3.73z <= 826.68
5.03x + -9.82y + -0.66z <= 849.89
-3.94x + 1.11y + 9.93z <= 392.42
3.43x + 4.09y + 5.16z <= 281.21
-1.02x + -0.35y + -7.38z <= 368.76
-5.05x + -6.3y + 8.39z <= 577.57
2.66x + 6.74y + 4.87z <= 145.27
-8.71x + -0.73y + -9.92z <= 917.34
6.13x + -8.92y + -1.44z <= 531.44
-8.91x + -0.3y + -0.06z <= 152.35
4.14x + -1.5y + -3.77z <= 526.89
5.78x + -2.97y + -5.44z <= 759.81
0.86x + 7.46y + 9.57z <= 493.77
3.12x + 9.72y + -9.9z <= 763.3
-3.12x + 9.82y + 2.41z <= 666.68
5.5x + 0.29y + -1.16z <= 765.36
9.47x + 5.07y + -8.91z <= 511.3
-2.61x + -9.24y + 2.65z <= 505.39
8.54x + 1.17y + -5.96z <= 890.68
-5.75x + -0.78y + 3.32z <= 661.5
9.39x + -3.12y + -7.15z <= 338.14
0.57x + 9.01y + -5.32z <= 996.2
-6.77x + -4.36y + 6.65z <= 952.27
-1.53x + 0.34y + -9.28z <= 930.58
9.54x + 9.82y + 4.19z <= 922.34
-2.41x + 8.12y + 3.69z <= 943.36
2.58x + 5.32y + -0.68z <= 401.35
5.23x + 0.7y + -0.12z <= 445.94
1.38x + 4.11y + 0.49z <= 626.9
-3.44x + 5.53y + 3.57z <= 592.26
9.43x + 7.89y + 8.17z <= 318.58
7.53x + 3.78y + -3.85z <= 259.37
9.94x + 5.27y + 9.32z <= 994.62
-7.31x + 5.96y + -3.04z <= 681.98
5.77x + 8.24y + 0.18z <= 465.86
-7.85x + -7.5y + 7.53z <= 375.73
-1.66x + -8.07y + 7.01z <= 685.67
1.46x + -6.71y + -0.8z <= 770.51
3.13x + 2.05y + -7.68z <= 549.28
-7.62x + 4.04y + 8.4z <= 634.57
3.83x + -3.56y + -6.65z <= 668.13
-8.13x + 5.84y + -1.0z <= 284.78
5.63x + 7.29y + 2.75z <= 346.12
-7.99x + -9.92y + -4.27z <= 749.46
0.28x + 4.46y + 7.34z <= 664.54
5.98x + -9.9y + -1.96z <= 328.36
-1.66x + 2.31y + -0.76z <= 301.22
4.24x + 3.42y + 4.93z <= 944.1
-4.53x + 8.2y + 7.49z <= 522.06
-0.35x + -8.0y + -9.49z <= 298.61
1.89x + -2.15y + -1.21z <= 647.12
5.43x + -5.39y + 2.82z <= 989.27
-7.93x + -5.97y + -1.57z <= 643.43
-2.53x + -1.51y + 7.72z <= 628.9
-4.19x + 0.03y + 2.8z <= 120.73
-8.42x + -1.72y + -4.91z <= 626.83
-3.41x + 1.06y + 8.73z <= 552.23
9.2x + -2.95y + -8.92z <= 993.33
-7.03x + 8.23y + 4.64z <= 870.0
-5.28x + 1.74y + 2.98z <= 928.62
1.19x + 2.51y + 9.72z <= 601.9
-0.76x + -0.97y + -8.88z <= 483.95
0.58x + 0.55y + -8.08z <= 249.83
3.04x + -0.34y + -5.14z <= 858.0
-0.63x + -6.34y + 7.89z <= 460.4
5.13x + 7.29y + -8.5z <= 954.87
-8.23x + 8.87y + 7.28z <= 222.21
-0.89x + -1.26y + 8.16z <= 546.68
9.18x + -1.78y + 1.93z <= 176.73
-0.04x + -7.08y + 8.75z <= 989.31
-8.88x + 0.69y + 4.1z <= 978.67
8.08x + 1.45y + 1.51z <= 621.47
-1.02x + -1.62y + 8.52z <= 817.51
-8.37x + 4.49y + 0.37z <= 298.89
4.97x + -2.72y + 5.23z <= 955.07
-3.13x + 6.99y + 6.86z <= 637.44
3.43x + -6.58y + -2.57z <= 831.85
-6.58x + -6.84y + -9.61z <= 172.92
8.79x + 6.0y + 4.0z <= 870.87
-7.43x + 3.62y + 3.66z <= 144.01
-3.13x + 0.02y + 6.59z <= 911.3
3.11x + -9.91y + 0.77z <= 553.4
9.7x + -0.86y + 1.03z <= 137.47
-8.08x + 8.37y + -4.1z <= 142.82
8.04x + -9.27y + 1.75z <= 355.67
0.73x + -0.46y + 2.4z <= 276.28
0.4x + 0.02y + 0.67z <= 627.18
-8.49x + 6.36y + -4.27z <= 663.53
6.16x + -8.16y + -8.13z <= 894.76
-6.15x + -5.46y + 5.6z <= 559.05
7.53x + 7.33y + 7.93z <= 123.62
-6.6x + 4.12y + 1.44z <= 701.6
7.07x + -2.3y + -7.03z <= 341.36
-4.61x + -0.16y + -7.61z <= 119.36
-2.72x + -1.7y + -7.26z <= 892.45
-8.38x + -7.57y + -3.21z <= 106.34
6.71x + 3.39y + 8.55z <= 812.1
-7.29x + 7.77y + 9.24z <= 869.55
6.9x + 6.04y + -5.83z <= 636.05
8.6x + 9.67y + -4.89z <= 991.02
-8.63x + -3.17y + -5.3z <= 954.95
3.42x + -7.74y + -8.53z <= 836.12
-9.78x + -3.07y + -8.63z <= 777.97
-9.78x + 1.06y + 9.98z <= 584.31
4.07x + -6.62y + 8.01z <= 506.18
-0.95x + 7.15y + -4.79z <= 947.57
-9.59x + 1.03y + -0.9z <= 744.72
-4.12x + -8.54y + 3.97z <= 510.13
-0.57x + 3.59y + 9.58z <= 726.09
