max 5.36x + 8.96y + 6.0z
3.94x + -5.85y + -8.44z <= 866.89
2.84x + 8.42y + 7.67z <= 988.39
-3.75x + 6.37y + 1.01z <= 737.06
-7.8x + 3.48y + 4.8z <= 806.82
-0.9x + 3.8y + -8.9z <= 634.73
-1.15x + 5.66y + 9.26z <= 184.04
9.56x + -7.57y + 6.51z <= 696.76
-4.31x + -1.35y + 9.19z <= 278.39
-3.55x + -0.8y + -0.4z <= 838.01
4.99x + -7.67y + -3.88z <= 505.74
-3.67x + -3.86y + 4.29z <= 485.16
-7.01x + -0.57y + 0.35z <= 378.98
7.19x + 1.23y + -1.24z <= 938.29
4.46x + 4.06y + -9.18z <= 678.09
-4.07x + -9.15y + -0.65z <= 781.11
3.28x + -1.93y + 7.98z <= 585.98
-0.32x + 1.61y + -1.25z <= 636.04
0.9x + 9.68y + 3.56z <= 710.2
-8.39x + -3.25y + -4.68z <= 976.78
-4.09x + 2.1y + 0.84z <= 961.61
3.54x + -3.73y + -1.95z <= 376.79
7.94x + -3.29y + -4.17z <= 553.68
8.54x + 3.38y + -6.83z <= 330.58
-4.51x + 0.82y + 3.63z <= 325.27
2.27x + -3.69y + 9.03z <= 316.06
-3.64x + 3.68y + 2.0z <= 279.28
-3.24x + -6.78y + -2.84z <= 914.36
-1.86x + 1.63y + -7.73z <= 398.17
4.46x + -9.12y + 6.29z <= 953.57
-0.65x + 3.61y + -9.87z <= 300.94
-4.33x + 0.19y + 7.06z <= 788.27
5.75x + -6.91y + 4.61z <= 195.82
4.71x + -1.67y + -0.03z <= 779.46
9.83x + 2.66y + 7.08z <= 632.69
-6.31x + 3.63y + -1.69z <= 615.99
-1.22x + -9.49y + 7.26z <= 957.32
5.58x + 0.73y + -4.14z <= 837.76
7.24x + 7.29y + -6.07z <= 393.8
2.44x + -6.18y + -5.48z <= 846.36
-8.36x + 8.02y + -7.12z <= 638.84
-3.92x + 5.42y + 3.67z <= 260.54
1.27x + 3.77y + 4.2z <= 766.75
7.27x + 3.17y + -8.6z <= 720.12
-0.42x + -8.75y + -5.4z <= 208.5
-0.57x + -0.18y + 5.33z <= 193.25
5.43x + -0.12y + 2.89z <= 679.65
1.98x + 6.48y + 6.06z <= 343.73
8.49x + -9.98y + -0.26z <= 832.61
9.8x + 7.79y + 6.11z <= 576.18
-9.79x + -6.62y + 2.89z <= 218.16
-4.49x + -8.57y + -0.9z <= 799.56
2.43x + -0.41y + -0.32z <= 841.33
5.33x + -1.37y + 7.02z <= 417.72
-3.2x + -1.61y + -1.35z <= 234.43
-1.79x + 3.32y + -9.2z <= 787.26
5.83x + -0.05y + -5.43z <= 744.31
-4.19x + -7.15y + -0.01z <= 568.96
-0.07x + 3.67y + -7.0z <= 342.83
0.68x + -7.59y + -6.13z <= 210.09
9.36x + -2.34y + -7.63z <= 560.79
6.12x + 5.05y + 2.5z <= 988.15
3.13x + 1.38y + -5.29z <= 684.56
3.62x + -7.68y + 9.83z <= 460.53
4.5x + 3.0y + 6.62z <= 401.51
-4.4x + -0.44y + 0.68z <= 663.46
6.9x + -2.86y + 3.51z <= 899.84
0.74x + -0.7y + 0.2z <= 295.83
-4.74x + 0.59y + 8.62z <= 677.59
5.9x + -6.4y + 8.52z <= 493.02
5.87x + 4.78y + -8.8z <= 168.08
6.64x + 7.74y + 5.99z <= 644.3
-6.29x + -0.94y + -1.5z <= 164.51
-5.86x + -4.69y + -9.57z <= 450.63
-2.33x + -5.01y + 1.68z <= 659.92
5.45x + -3.72y + -0.85z <= 514.7
9.38x + -5.02y + 2.45z <= 217.29
4.01x + 2.43y + -3.82z <= 621.44
-6.22x + 4.25y + 7.86z <= 963.16
8.25x + -2.81y + 9.91z <= 586.82
-4.58x + 6.55y + 7.88z <= 693.48
2.12x + 4.82y + 7.99z <= 567.99
-5.87x + -5.92y + -4.59z <= 522.66
5.34x + -3.64y + 8.01z <= 736.28
-2.09x + 2.81y + 6.84z <= 841.25
3.23x + 7.85y + -5.25z <= 318.89
5.22x + -4.6y + 2.36z <= 365.82
9.0x + 0.51y + 5.28z <= 229.08
-2.48x + 3.77y + 0.28z <= 926.41
-3.93x + 9.92y + -9.63z <= 568.68
-4.58x + -2.29y + -6.48z <= 596.64
3.02x + -5.95y + 2.91z <= 309.53
-9.59x + -8.73y + -3.21z <= 858.85
2.25x + -9.77y + -8.17z <= 932.02
6.76x + -0.46y + 7.05z <= 489.01
4.59x + -0.79y + 8.15z <= 351.98
-9.81x + 5.02y + -8.77z <= 395.24
-5.91x + 8.58y + -1.96z <= 784.37
-1.3x + -2.83y + 2.27z <= 189.33
-6.65x + -7.2y + 7.23z <= 629.42
-6.41x + -7.0y + -2.95z <= 783.64
5.85x + 1.55y + 6.42z <= 891.2
7.77x + -10.0y + 5.03z <= 623.78
7.88x + 6.33y + 1.77z <= 784.28
-0.54x + 2.45y + 7.79z <= 603.87
-5.86x + 1.92y + -0.39z <= 453.94
4.76x + 7.01y + 0.46z <= 589.73
7.28x + 5.78y + 7.94z <= 176.26
-0.18x + -0.64y + 8.28z <= 403.49
-8.05x + 9.8y + 4.65z <= 857.42
-7.95x + -5.75y + 8.14z <= 289.32
2.05x + 3.83y + 3.08z <= 310.51
7.1x + 6.78y + -4.34z <= 557.95
9.83x + 0.42y + -3.23z <= 447.86
-1.79x + -4.24y + -3.77z <= 567.35
-7.18x + 6.03y + 6.53z <= 879.36
-9.21x + -5.07y + -9.76z <= 102.96
-6.71x + -6.44y + -6.03z <= 164.62
9.25x + 5.82y + -5.85z <= 909.98
3.44x + 2.51y + 9.78z <= 135.76
-5.13x + -7.23y + -3.31z <= 661.49
7.86x + 5.72y + 9.58z <= 382.93
6.22x + 7.43y + 6.36z <= 141.52
0.66x + 1.29y + 3.67z <= 416.09
1.87x + 2.67y + -5.01z <= 938.88
6.19x + 9.22y + 3.65z <= 273.16
-6.22x + 2.66y + -6.11z <= 387.6
-9.55x + -6.53y + -4.78z <= 921.37
-7.9x + -8.29y + -3.87z <= 298.1
-9.85x + -0.79y + 4.48z <= 301.16
8.01x + 6.9y + -9.83z <= 245.42
5.25x + 0.56y + -3.48z <= 246.86
4.04x + 6.29y + -6.06z <= 504.84
-7.39x + -3.79y + 8.42z <= 767.79
3.56x + -9.78y + -4.14z <= 308.7
8.18x + -5.18y + -1.62z <= 494.58
-3.78x + -5.15y + -6.3z <= 169.14
3.46x + 6.73y + 5.33z <= 186.92
-0.56x + -5.53y + -0.98z <= 865.02
-1.75x + 6.79y + -0.99z <= 904.04
-9.09x + 1.62y + -3.5z <= 465.04
-5.12x + 0.34y + -3.58z <= 303.86
9.63x + 8.28y + 9.4z <= 883.81
3.97x + 1.33y + -6.83z <= 196.4
1.2x + -8.96y + 2.31z <= 597.26
-4.97x + -2.36y + 4.08z <= 680.26
9.08x + -2.17y + -2.22z <= 184.25
-6.16x + -0.03y + 5.35z <= 888.1
-0.82x + 0.92y + -9.04z <= 738.46
-7.42x + 1.93y + -2.06z <= 908.89
-9.61x + -6.73y + 7.64z <= 787.47
-1.54x + 2.33y + 5.56z <= 807.43
1.79x + 6.94y + 8.02z <= 983.29
8.84x + 8.63y + 3.12z <= 295.92
2.64x + -1.87y + -1.07z <= 417.56
-1.2x + 5.23y + 6.64z <= 214.57
8.32x + -0.26y + 1.34z <= 236.54
-9.64x + -5.12y + 4.24z <= 816.08
9.36x + 9.04y + -2.08z <= 615.6
-8.13x + 5.63y + -9.04z <= 505.1
9.68x + 9.83y + 4.3z <= 395.71
-2.23x + -6.81y + 2.16z <= 201.2
-5.76x + 0.33y + -5.34z <= 913.63
4.46x + 9.45y + 9.41z <= 213.61
-5.55x + 1.09y + 4.51z <= 194.09
-4.2x + 6.59y + 5.4z <= 267.21
8.93x + 5.2y + -0.11z <= 267.6
-8.96x + 1.49y + -7.78z <= 822.01
0.33x + 0.28y + 7.77z <= 660.42
4.39x + 7.8y + -6.33z <= 493.27
9.57x + 7.59y + -7.42z <= 983.69
6.37x + -8.55y + -1.71z <= 415.81
2.17x + -6.44y + 4.87z <= 311.19
-5.88x + -7.57y + -7.38z <= 385.29
-5.6x + 8.23y + 9.21z <= 945.22
9.71x + -3.27y + 9.02z <= 281.55
7.57x + 6.85y + 2.63z <= 413.5
5.13x + -0.61y + -5.16z <= 814.51
-7.79x + 7.1y + -7.6z <= 255.69
8.12x + 7.41y + -9.61z <= 766.96
9.86x + -4.92y + 8.32z <= 635.08
4.67x + 9.24y + 1.34z <= 477.92
-0.98x + 6.06y + 4.81z <= 649.07
-6.67x + -3.26y + -1.61z <= 988.67
6.29x + -6.09y + 1.33z <= 926.08
2.66x + -7.26y + 1.66z <= 654.36
-4.89x + 6.24y + -1.05z <= 964.99
-0.35x + -4.81y + 4.72z <= 228.31
-7.13x + 7.63y + 3.43z <= 312.7
-4.32x + 6.43y + -6.72z <= 814.48
-6.43x + 1.9y + -2.97z <= 590.29
-9.29x + 4.33y + 1.14z <= 816.53
2.97x + 0.66y + 5.84z <= 715.35
-7.72x + 2.8y + 5.75z <= 593.96
0.74x + 3.22y + 4.57z <= 757.32
4.31x + -2.79y + 8.53z <= 612.72
7.2x + -5.01y + 4.51z <= 630.01
-5.2x + 7.86y + 7.01z <= 878.71
-0.67x + -2.83y + 0.29z <= 568.05
4.14x + -3.32y + -7.54z <= 377.28
-3.93x + 1.48y + 2.23z <= 785.06
-6.19x + 5.69y + -8.72z <= 548.31
7.87x + 1.81y + 9.97z <= 402.07
-9.17x + 1.26y + 9.33z <= 637.16
-0.88x + -2.31y + -0.7z <= 242.22
-2.24x + 1.93y + 3.5z <= 906.26
-8.39x + -3.95y + 3.21z <= 351.69
-1.07x + -8.6y + 1.56z <= 519.75
8.44x + 0.81y + 2.79z <= 568.89
-7.58x + 9.58y + -3.95z <= 690.73
1.97x + 8.55y + -9.71z <= 584.36
-8.77x + -6.11y + -8.39z <= 298.92
4.58x + -2.64y + -5.11z <= 133.46
-6.81x + 5.06y + -6.84z <= 412.34
-1.44x + 4.74y + -2.76z <= 354.16
-6.36x + -6.3y + 0.82z <= 141.15
4.68x + 1.1y + -4.89z <= 586.75
7.29x + 6.42y + 2.79z <= 504.93
9.49x + 7.86y + -1.46z <= 398.2
-2.22x + -7.46y + -4.27z <= 906.79
-5.28x + 2.25y + -2.97z <= 732.6
4.64x + 6.94y + 0.98z <= 277.91
3.28x + -4.91y + 3.84z <= 594.4
8.34x + 9.27y + -1.89z <= 749.63
-1.71x + -3.68y + 9.03z <= 108.25
-7.64x + -9.43y + 9.5z <= 873.49
-4.24x + -2.59y + -1.53z <= 252.28
-2.79x + 1.02y + 1.94z <= 745.18
-9.59x + -5.5y + 4.15z <= 439.91
1.81x + -7.76y + -0.85z <= 426.27
-0.28x + -2.56y + 8.15z <= 411.08
0.65x + 6.67y + -0.74z <= 408.37
0.59x + 0.69y + -0.6z <= 733.86
6.18x + 8.37y + 5.16z <= 168.26
1.35x + -6.89y + -4.94z <= 945.84
-3.64x + 1.1y + -2.88z <= 680.24
4.45x + -6.14y + 1.97z <= 465.08
-2.73x + -9.3y + 0.26z <= 789.79
-6.89x + -5.63y + 9.02z <= 613.3
9.9x + -4.51y + -3.33z <= 773.58
3.66x + -1.91y + -3.94z <= 318.92
-6.86x + 3.36y + -3.15z <= 436.81
1.4x + 8.73y + 0.38z <= 536.07
9.93x + 8.28y + 1.99z <= 351.32
8.86x + -4.04y + -1.58z <= 750.22
0.78x + 1.01y + 0.77z <= 851.56
-3.08x + 1.48y + 0.28z <= 496.7
7.72x + 8.99y + 5.98z <= 150.15
-6.7x + 3.53y + -9.85z <= 364.38
-0.87x + 1.25y + 9.75z <= 282.78
-2.27x + 6.72y + 4.22z <= 977.1
-2.55x + 8.83y + 9.08z <= 228.69
-4.5x + -6.31y + 5.68z <= 205.68
-4.27x + 8.81y + -8.9z <= 140.84
1.02x + 9.15y + 1.84z <= 752.42
1.6x + -2.19y + 7.0z <= 611.07
-7.38x + 8.15y + 3.74z <= 793.94
0.58x + -8.23y + 4.57z <= 706.75
-3.89x + -1.89y + 1.03z <= 930.99
-4.43x + 0.6y + 2.64z <= 214.74
5.71x + -5.63y + -0.59z <= 363.0
-3.4x + 3.71y + -5.87z <= 889.43
0.61x + 4.36y + 5.82z <= 277.66
-6.44x + 5.53y + 3.15z <= 665.91
-0.59x + 3.41y + -0.21z <= 576.69
9.15x + 3.48y + 5.46z <= 718.14
3.87x + -1.78y + -5.9z <= 485.88
7.22x + -3.03y + 3.34z <= 183.08
6.89x + 0.75y + 9.1z <= 730.58
-8.69x + 7.5y + 2.62z <= 402.91
-9.05x + 2.97y + 7.58z <= 142.52
0.72x + 8.35y + 3.03z <= 819.69
6.89x + 2.38y + -6.8z <= 476.53
-2.65x + 7.83y + 7.74z <= 853.39
0.72x + 4.64y + 7.49z <= 581.65
-4.93x + -3.34y + -9.22z <= 628.27
5.55x + -7.46y + -8.92z <= 132.04
-1.68x + 4.17y + 3.52z <= 507.9
-0.58x + 7.66y + 0.78z <= 939.73
-2.59x + 3.51y + 7.64z <= 948.15
4.69x + -2.24y + 0.23z <= 880.3
-2.86x + -9.6y + -2.9z <= 323.33
-9.32x + 3.22y + -1.99z <= 452.5
-4.81x + 6.57y + -7.99z <= 901.19
-7.41x + 0.14y + -6.52z <= 754.81
3.91x + -6.21y + 6.54z <= 817.3
-6.42x + -1.61y + 2.15z <= 323.34
-6.43x + -2.73y + -2.45z <= 426.97
-6.51x + 2.12y + -3.75z <= 507.69
-3.07x + -4.05y + -0.45z <= 629.99
-0.57x + 6.14y + 6.64z <= 911.61
-1.16x + 0.92y + -8.65z <= 436.94
-6.9x + 5.19y + -0.27z <= 826.91
-8.92x + 5.67y + 7.97z <= 551.14
-0.61x + 9.63y + 3.8z <= 476.72
-0.62x + 4.81y + 3.14z <= 652.14
7.56x + -3.32y + -5.94z <= 102.98
9.5x + -5.62y + -8.97z <= 117.34
-1.19x + 3.5y + -5.96z <= 918.75
-2.89x + -0.62y + -8.31z <= 887.19
-9.28x + 0.74y + 4.23z <= 656.3
-1.97x + 9.89y + 3.86z <= 119.59
0.03x + 2.07y + -0.15z <= 531.06
-5.5x + 8.26y + -4.18z <= 920.25
1.15x + -2.2y + 1.95z <= 707.43
-8.76x + 3.64y + -0.05z <= 322.31
-4.39x + -2.25y + -2.21z <= 898.54
4.21x + 8.45y + -4.89z <= 579.76
7.87x + -3.46y + 4.26z <= 834.29
1.03x + 3.79y + 0.96z <= 835.32
5.55x + -2.79y + 0.11z <= 991.58
-1.94x + 7.04y + 1.54z <= 701.49
1.86x + 5.4y + -1.5z <= 852.35
-2.91x + -7.24y + 2.1z <= 399.13
-1.61x + -6.85y + 6.59z <= 981.0
8.54x + 4.27y + 0.25z <= 565.67
-0.67x + -7.09y + 2.78z <= 262.35
4.88x + -0.83y + -8.87z <= 441.31
7.78x + 6.86y + 6.44z <= 257.85
-5.88x + 9.41y + 5.15z <= 109.82
5.77x + 3.29y + 0.32z <= 241.08
-7.96x + -1.79y + -4.2z <= 808.91
0.7x + -0.86y + -0.77z <= 147.84
7.31x + -8.94y + -1.39z <= 205.65
7.56x + 0.63y + -3.24z <= 745.92
9.09x + 4.42y + 3.83z <= 727.72
-6.14x + -8.87y + 2.31z <= 764.85
1.34x + 1.29y + 2.42z <= 102.56
6.62x + -2.06y + 1.35z <= 400.15
2.5x + 7.68y + 5.64z <= 356.21
9.69x + -1.01y + -3.19z <= 520.26
2.77x + -9.31y + -1.75z <= 623.28
-3.87x + -7.16y + -0.45z <= 775.79
1.42x + -5.06y + 9.07z <= 711.97
-4.56x + -0.51y + 6.27z <= 982.27
4.13x + 2.27y + 7.96z <= 559.32
2.91x + -3.3y + 3.93z <= 323.19
8.26x + -2.13y + 9.92z <= 964.97
-9.47x + 4.36y + -3.19z <= 415.28
5.78x + -1.9y + 1.59z <= 248.94
3.58x + 6.72y + -4.18z <= 391.0
-0.16x + -3.33y + -8.31z <= 788.79
6.59x + -8.51y + -2.82z <= 415.08
-5.85x + -1.91y + 1.9z <= 776.32
1.61x + -7.37y + 3.73z <= 472.93
3.75x + -7.6y + 7.37z <= 545.4
9.6x + 4.41y + -6.58z <= 431.84
-3.61x + -7.43y + -5.52z <= 666.24
-1.06x + -7.89y + -2.31z <= 850.75
-7.66x + 6.39y + 1.45z <= 179.6
6.53x + -0.38y + 8.88z <= 128.69
-8.04x + 4.59y + 9.09z <= 784.45
-1.74x + 9.91y + 4.75z <= 558.42
5.52x + -2.78y + -7.5z <= 382.68
-3.81x + 7.67y + 2.62z <= 884.5
-9.98x + -2.76y + -6.09z <= 920.83
-1.38x + -2.52y + -4.79z <= 155.74
-9.18x + 3.98y + 6.67z <= 466.83
-8.43x + -8.22y + 5.08z <= 721.29
-6.89x + -2.96y + -0.75z <= 395.91
8.59x + -8.88y + 1.19z <= 303.86
-6.13x + -4.93y + -1.97z <= 853.84
3.38x + 9.12y + -9.82z <= 564.49
3.39x + -2.45y + 3.36z <= 644.13
-2.84x + -4.71y + -6.15z <= 346.84
-2.73x + 0.79y + 3.21z <= 348.59
9.9x + -4.9y + -7.6z <= 950.22
6.73x + 9.74y + -3.62z <= 405.65
7.55x + -3.94y + -3.36z <= 660.42
4.45x + 9.36y + -5.54z <= 353.23
8.53x + -5.78y + 9.56z <= 168.1
4.7x + -0.75y + 9.17z <= 721.94
4.82x + -4.11y + 2.66z <= 914.79
-0.49x + -6.58y + -4.93z <= 188.24
0.98x + -1.34y + 9.43z <= 966.49
0.09x + 6.69y + 0.91z <= 585.39
-6.79x + 0.4y + -4.74z <= 413.68
1.57x + -2.04y + 3.58z <= 937.85
8.4x + -6.52y + -7.98z <= 261.08
3.4x + -8.36y + 1.76z <= 588.69
0.65x + 3.73y + 7.49z <= 117.85
-0.25x + 0.93y + 8.88z <= 710.15
-6.79x + -6.45y + -0.39z <= 988.69
0.2x + 2.63y + -6.75z <= 491.0
8.52x + -3.35y + -3.83z <= 711.5
5.51x + -0.45y + -5.26z <= 539.5
-4.11x + -1.68y + -3.9z <= 299.12
6.8x + -8.39y + 4.89z <= 887.82
9.7x + 0.94y + -7.68z <= 269.72
3.78x + -2.0y + -4.17z <= 637.85
-4.47x + -7.54y + -9.43z <= 736.73
-4.27x + -6.09y + -0.51z <= 455.65
-2.14x + 7.04y + 4.09z <= 300.01
2.03x + -1.98y + -6.49z <= 514.2
-5.65x + 5.42y + -5.49z <= 325.45
-0.21x + 0.33y + -4.42z <= 328.72
8.69x + 4.91y + -9.53z <= 363.69
-8.4x + 3.26y + 9.16z <= 894.61
-9.91x + 5.04y + 4.87z <= 253.26
-5.94x + -8.91y + 1.85z <= 659.62
-1.54x + -6.7y + 2.09z <= 442.51
-4.72x + 8.5y + -5.44z <= 232.15
-7.88x + 8.06y + 0.69z <= 835.16
6.25x + 0.24y + -5.92z <= 919.35
-9.1x + 9.4y + 0.07z <= 659.84
-0.53x + -2.24y + 3.84z <= 761.62
-6.79x + 2.37y + 8.25z <= 377.03
-8.6x + -2.08y + -7.9z <= 699.97
0.23x + -4.92y + 2.05z <= 712.69
0.76x + 2.0y + -4.91z <= 234.75
-1.88x + -5.29y + -2.56z <= 280.84
-9.57x + -10.0y + 2.55z <= 949.91
-2.83x + 9.41y + -6.69z <= 400.84
1.99x + 0.02y + -1.46z <= 628.92
-1.81x + 5.0y + 2.56z <= 204.82
6.73x + 8.52y + -7.77z <= 438.68
-1.98x + -2.94y + -4.18z <= 875.23
-4.42x + -8.66y + 3.32z <= 608.79
-5.94x + 2.55y + -1.63z <= 999.05
7.01x + -3.37y + 0.1z <= 597.52
-3.77x + 0.21y + -6.12z <= 714.96
-7.39x + -7.03y + -7.9z <= 202.89
0.5x + -2.08y + 1.77z <= 621.21
6.17x + 6.08y + 3.07z <= 592.72
-3.55x + -6.66y + 9.29z <= 622.55
-4.98x + 8.26y + 7.21z <= 789.54
-7.24x + -7.51y + 7.56z <= 279.5
4.33x + -5.48y + 6.99z <= 391.26
9.18x + -3.52y + -2.86z <= 110.92
-8.34x + 9.93y + -7.89z <= 760.73
6.57x + -3.4y + 0.22z <= 116.24
8.36x + 1.45y + -9.36z <= 964.38
-0.15x + -7.92y + 2.6z <= 362.45
-8.07x + 7.46y + -1.09z <= 117.75
7.16x + -2.46y + 5.46z <= 319.67
-4.63x + -6.45y + -7.46z <= 140.22
-4.65x + 0.78y + 7.54z <= 999.6
-5.69x + -2.95y + -6.37z <= 645.93
-3.5x + 8.13y + 9.0z <= 883.85
-4.42x + 5.92y + -6.04z <= 610.12
6.36x + -8.94y + 9.89z <= 737.17
-9.03x + -0.1y + 1.43z <= 255.48
-5.64x + 9.03y + -7.28z <= 214.38
0.18x + -5.68y + -9.59z <= 378.87
7.9x + 0.01y + -8.92z <= 248.81
7.28x + 4.95y + 0.98z <= 439.02
-0.7x + -8.34y + 9.47z <= 761.63
7.78x + 6.16y + -5.16z <= 324.96
9.69x + 8.36y + -0.34z <= 419.58
0.74x + 9.41y + 0.29z <= 993.71
-4.99x + -6.01y + -6.84z <= 234.25
-3.24x + -9.19y + 4.77z <= 125.49
-6.11x + -0.92y + -9.51z <= 478.47
-7.59x + -3.5y + -2.25z <= 234.19
-8.09x + 8.3y + 8.7z <= 825.31
0.7x + 7.06y + -0.41z <= 185.53
-8.87x + 1.05y + -5.35z <= 853.73
-8.05x + 1.34y + 3.28z <= 424.19
-2.63x + 1.52y + 1.8z <= 639.58
2.52x + 9.87y + -7.46z <= 831.13
0.35x + -4.98y + -5.5z <= 487.53
-8.74x + 5.48y + -4.24z <= 317.66
-8.21x + 4.75y + 4.56z <= 528.75
-7.66x + -0.19y + 7.24z <= 782.01
8.07x + 9.64y + 4.79z <= 944.0
-7.56x + 2.59y + -4.08z <= 102.5
9.3x + 6.38y + 4.94z <= 589.15
-6.6x + 0.69y + 3.78z <= 275.08
-0.34x + 5.98y + 8.79z <= 456.16
0.46x + -6.14y + -7.27z <= 522.96
-5.45x + -8.22y + -3.4z <= 631.28
1.74x + 8.85y + 4.44z <= 914.57
4.67x + 9.47y + 9.96z <= 969.66
3.6x + 2.74y + 1.06z <= 896.65
-7.72x + 3.05y + 3.94z <= 946.03
-4.1x + -1.45y + 9.39z <= 761.27
4.97x + 9.96y + -4.85z <= 897.35
3.31x + 4.46y + 8.04z <= 758.51
-5.52x + -7.09y + -8.01z <= 940.86
-0.83x + -4.69y + -5.68z <= 297.75
8.69x + -1.91y + 8.73z <= 165.89
-5.18x + -4.42y + 7.78z <= 498.7
-0.72x + 2.67y + 7.79z <= 146.78
-4.19x + 6.49y + 0.85z <= 451.37
-5.74x + 8.94y + -7.72z <= 221.55
1.07x + -3.22y + -5.64z <= 454.9
-2.23x + -5.85y + -6.49z <= 909.22
9.7x + 4.86y + -3.09z <= 346.66
-0.69x + -1.29y + 4.88z <= 770.56
-7.82x + 2.48y + -6.03z <= 765.44
1.81x + 2.42y + 2.74z <= 178.07
6.7x + -3.37y + -9.4z <= 957.96
6.97x + -9.09y + 8.23z <= 217.98
7.27x + 9.71y + 8.92z <= 716.8
-8.34x + 0.61y + -9.09z <= 884.64
1.14x + 3.62y + 9.19z <= 204.05
0.57x + 8.94y + 8.14z <= 979.79
0.49x + -9.98y + 8.0z <= 679.52
-4.07x + 5.86y + 0.07z <= 866.7
-4.21x + 4.07y + -9.13z <= 480.5
-5.67x + -4.77y + -2.59z <= 602.15
-9.21x + 0.12y + -3.4z <= 130.82
-0.47x + 4.89y + 8.16z <= 496.57
9.64x + 2.07y + 4.43z <= 376.02
-8.61x + 5.7y + 9.5z <= 226.83
-1.63x + 0.16y + -7.04z <= 768.19
4.77x + 2.99y + 1.07z <= 974.75
1.57x + 8.07y + -0.04z <= 217.04
-2.47x + -7.8y + -4.72z <= 527.84
8.86x + 2.44y + 3.15z <= 707.15
-5.14x + 4.28y + -9.53z <= 859.99
-8.13x + 4.51y + 6.72z <= 383.14
-7.73x + 9.96y + -9.94z <= 967.64
-7.09x + -3.32y + -8.87z <= 526.39
0.24x + 3.09y + 6.48z <= 607.73
-2.67x + 1.61y + 3.26z <= 514.29
8.2x + -0.63y + 6.22z <= 141.17
4.42x + 8.45y + -5.69z <= 149.63
-5.0x + 4.66y + 6.49z <= 244.32
1.98x + -2.73y + -3.47z <= 262.99
-5.92x + 7.2y + -0.64z <= 719.64
4.03x + 8.79y + 2.85z <= 458.52
-5.01x + 0.76y + -6.54z <= 193.73
6.11x + -2.35y + -4.32z <= 747.63
0.41x + -4.32y + -6.1z <= 387.03
7.49x + 1.92y + -2.66z <= 672.95
-3.7x + -4.71y + 9.1z <= 732.1
0.2x + 7.24y + -0.94z <= 437.84
-9.74x + 9.17y + -3.78z <= 449.89
-10.0x + 0.15y + -4.38z <= 142.77
-5.35x + 9.82y + 3.62z <= 444.51
6.82x + 1.07y + -3.47z <= 539.97
-5.87x + 6.4y + -4.23z <= 544.69
5.92x + -3.95y + 0.71z <= 568.05
-0.45x + -7.47y + 8.91z <= 424.51
0.97x + -5.11y + 2.83z <= 413.99
-8.4x + -3.19y + 3.73z <= 797.46
8.09x + 9.79y + -0.82z <= 737.51
4.88x + -5.5y + 6.58z <= 536.66
9.02x + -4.49y + 5.96z <= 585.15
-6.35x + 7.57y + 0.26z <= 483.39
1.57x + -7.62y + -9.53z <= 114.69
7.2x + -0.16y + -3.05z <= 188.46
-5.72x + 1.26y + 4.05z <= 996.44
4.28x + -5.15y + -5.66z <= 664.05
6.38x + 7.17y + 3.65z <= 504.51
-8.5x + 2.94y + -8.91z <= 155.53
3.76x + 3.17y + -4.78z <= 645.72
-7.5x + -5.17y + 9.69z <= 606.96
-7.47x + -1.99y + 9.77z <= 498.8
4.7x + 8.61y + -0.91z <= 959.99
-6.39x + 4.83y + -2.6z <= 175.31
0.36x + -9.09y + 3.49z <= 695.84
3.09x + 9.72y + 4.6z <= 396.88
-1.15x + -5.87y + -4.29z <= 302.9
-4.96x + 0.9y + 4.29z <= 940.83
-5.09x + 9.72y + -0.46z <= 502.35
9.49x + -3.17y + 1.55z <= 595.23
-6.03x + 4.63y + -1.4z <= 182.73
1.47x + 2.72y + -3.32z <= 172.36
-2.62x + 3.16y + 9.59z <= 338.85
-4.53x + -3.58y + -8.95z <= 677.11
-5.25x + -0.71y + 2.4z <= 757.75
5.87x + -9.51y + -7.35z <= 441.06
-9.0x + -3.26y + -7.34z <= 261.71
-0.73x + 2.05y + 8.09z <= 314.31
-0.37x + 9.76y + -0.56z <= 482.87
6.59x + -4.78y + 9.89z <= 916.25
-8.67x + -8.0y + 3.35z <= 336.14
3.01x + -8.0y + -5.14z <= 371.64
-5.13x + -6.86y + 9.59z <= 378.61
-0.62x + -9.22y + 3.72z <= 769.21
3.14x + 6.18y + -1.72z <= 918.41
-4.18x + -8.98y + 2.82z <= 799.66
-7.35x + -6.24y + 7.36z <= 496.91
-1.72x + 4.64y + -8.35z <= 636.75
9.61x + 0.11y + 1.29z <= 676.43
4.38x + 7.57y + 0.27z <= 272.07
-3.94x + -6.75y + -5.08z <= 694.95
-0.75x + 7.27y + -9.39z <= 962.98
5.97x + 4.62y + -3.84z <= 916.67
8.85x + -8.27y + -8.84z <= 293.27
1.8x + -5.86y + 4.29z <= 918.01
7.31x + 7.81y + -0.9z <= 624.48
-7.93x + -5.72y + -1.48z <= 238.88
-3.79x + -0.01y + 1.05z <= 594.83
4.57x + 1.75y + 9.01z <= 342.24
-1.38x + -9.96y + 5.32z <= 555.58
6.17x + -5.01y + 8.33z <= 259.91
5.97x + 6.85y + 3.02z <= 776.91
-7.72x + 5.62y + -6.1z <= 852.14
-1.94x + 6.23y + -3.11z <= 575.01
-6.88x + -6.37y + 8.62z <= 704.8
9.82x + 7.6y + 6.07z <= 413.71
5.17x + -9.01y + 3.17z <= 594.8
